Movie,Year,IMDb,Rating,Runtime,Genre,Release Date,Production Budget,Domestic Gross,Worldwide Gross
The Hunger Games: Catching Fire,2013,7.5,PG-13,146,"Action, Adventure, Mystery","Nov 15, 2013",130000000,424668047,864868047
The Lion King,1994,8.5,G,88,"Animation, Adventure, Drama","Jun 15, 1994",79300000,421785283,986214868
Jurassic World: Fallen Kingdom,2018,6.2,PG-13,128,"Action, Adventure, Sci-Fi","Jun 6, 2018",170000000,417719760,1308470988
Toy Story 3,2010,8.3,G,103,"Animation, Adventure, Comedy","Jun 18, 2010",200000000,415004880,1068879522
Wonder Woman,2017,7.4,PG-13,141,"Action, Adventure, Fantasy","May 29, 2017",150000000,412563408,821133378
Captain America: Civil War,2016,7.8,PG-13,147,"Action, Adventure, Sci-Fi","Apr 22, 2016",250000000,408084349,1153284349
The Hunger Games,2012,7.2,PG-13,142,"Action, Adventure, Sci-Fi","Mar 8, 2012",80000000,408010692,677923379
Jumanji: Welcome to the Jungle,2017,6.9,PG-13,119,"Action, Adventure, Comedy","Dec 20, 2017",90000000,404508916,964496193
Spider-Man,2002,7.3,PG-13,121,"Action, Adventure, Sci-Fi","May 3, 2002",139000000,403706375,821706375
Jurassic Park,1993,8.1,PG-13,127,"Action, Adventure, Sci-Fi","Jun 11, 1993",63000000,402523348,1045627627
Transformers: Revenge of the Fallen,2009,6.0,PG-13,149,"Action, Adventure, Sci-Fi","Jun 24, 2009",210000000,402111870,836519699
Frozen,2013,7.4,PG,102,"Animation, Adventure, Comedy","Nov 22, 2013",150000000,400738009,1268746174
Finding Nemo,2003,8.1,G,100,"Animation, Adventure, Comedy","May 30, 2003",94000000,380529370,936181011
The Lord of the Rings: The Return of the King,2003,8.9,PG-13,201,"Adventure, Drama, Fantasy","Dec 17, 2003",94000000,377845905,1120224046
Spider-Man 2,2004,7.3,PG-13,127,"Action, Adventure, Sci-Fi","Jun 30, 2004",200000000,373524485,794697557
The Secret Life of Pets,2016,6.5,PG,87,"Animation, Adventure, Comedy","May 8, 2016",75000000,368384330,886606412
Despicable Me 2,2013,7.3,PG,98,"Animation, Adventure, Comedy","Jun 26, 2013",76000000,368065385,975216835
The Jungle Book,2016,7.4,PG,106,"Adventure, Drama, Family","Apr 7, 2016",175000000,364001123,960360109
Deadpool,2016,8.0,R,108,"Action, Adventure, Comedy","Feb 9, 2016",58000000,363070709,785025593
Inside Out,2015,8.1,PG,95,"Animation, Adventure, Comedy","Jun 12, 2015",175000000,356461711,855210203
Aladdin,2019,7.0,PG,128,"Adventure, Family, Fantasy","May 22, 2019",182000000,355559216,1050959216
Furious 7,2015,7.1,PG-13,137,"Action, Adventure, Thriller","Apr 1, 2015",190000000,353007020,1518722794
Transformers: Dark of the Moon,2011,6.2,PG-13,154,"Action, Adventure, Sci-Fi","Jun 29, 2011",195000000,352390543,1123794079
American Sniper,2014,7.3,R,133,"Action, Biography, Drama","Dec 25, 2014",58000000,350126372,547326372
The Lord of the Rings: The Two Towers,2002,8.7,PG-13,179,"Adventure, Drama, Fantasy","Dec 18, 2002",94000000,342548984,927598249
Zootopia,2016,8.0,PG,108,"Animation, Adventure, Comedy","Feb 10, 2016",150000000,341268248,1023784195
The Hunger Games: Mockingjay - Part 1,2014,6.6,PG-13,123,"Action, Adventure, Sci-Fi","Nov 19, 2014",125000000,337135885,766575131
Spider-Man 3,2007,6.2,PG-13,139,"Action, Adventure, Sci-Fi","May 4, 2007",258000000,336530303,894860230
Minions,2015,6.4,PG,91,"Animation, Adventure, Comedy","Jun 17, 2015",74000000,336045770,1159631140
Joker,2019,8.5,R,122,"Crime, Drama, Thriller","Oct 2, 2019",55000000,335451311,1072722593
Aquaman,2018,7.0,PG-13,143,"Action, Adventure, Fantasy","Dec 6, 2018",160000000,335061807,1143966520
Spider-Man: Homecoming,2017,7.4,PG-13,133,"Action, Adventure, Sci-Fi","Jul 5, 2017",175000000,334201140,880166350
Alice in Wonderland,2010,6.4,PG,108,"Adventure, Family, Fantasy","Mar 5, 2010",200000000,334191110,1025491110
Guardians of the Galaxy,2014,8.0,PG-13,121,"Action, Adventure, Comedy","Jul 31, 2014",170000000,333172112,771137007
Batman v Superman: Dawn of Justice,2016,6.4,PG-13,152,"Action, Adventure, Sci-Fi","Mar 23, 2016",263000000,330360194,872395091
Forrest Gump,1994,8.8,PG-13,142,"Drama, Romance","Jul 6, 1994",55000000,330151138,679838260
It,2017,7.3,R,135,Horror,"Aug 31, 2017",35000000,328828874,701720047
Suicide Squad,2016,6.0,PG-13,123,"Action, Adventure, Fantasy","Aug 2, 2016",175000000,325100054,746846894
Deadpool 2,2018,7.7,R,119,"Action, Adventure, Comedy","May 11, 2018",110000000,324591735,786680557
Shrek the Third,2007,6.1,PG,93,"Animation, Adventure, Comedy","May 17, 2007",160000000,322719944,807330936
Transformers,2007,7.0,PG-13,144,"Action, Adventure, Sci-Fi","Jul 2, 2007",151000000,319246193,708272592
Iron Man,2008,7.9,PG-13,126,"Action, Adventure, Sci-Fi","May 2, 2008",186000000,318604126,585171547
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,PG-13,122,"Action, Adventure","May 22, 2008",185000000,317101119,786635413
Jumanji: The Next Level,2019,6.7,PG-13,123,"Action, Adventure, Comedy","Dec 4, 2019",125000000,316831246,796579674
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,178,"Action, Adventure, Drama","Dec 19, 2001",109000000,315544750,887210985
Thor: Ragnarok,2017,7.9,PG-13,130,"Action, Adventure, Comedy","Oct 25, 2017",180000000,315058289,853958289
Iron Man 2,2010,7.0,PG-13,124,"Action, Adventure, Sci-Fi","May 7, 2010",170000000,312433331,621156389
Independence Day,1996,7.0,PG-13,145,"Action, Adventure, Sci-Fi","Jul 2, 1996",75000000,306169255,817400878
Skyfall,2012,7.7,PG-13,143,"Action, Adventure, Thriller","Oct 26, 2012",200000000,304360277,1110526981
The Hobbit: An Unexpected Journey,2012,7.8,PG-13,169,"Adventure, Family, Fantasy","Dec 11, 2012",200000000,303003568,1017003568
Harry Potter and the Half-Blood Prince,2009,7.6,PG,153,"Action, Adventure, Family","Jul 15, 2009",250000000,302089278,935213767
The Twilight Saga: Eclipse,2010,5.0,PG-13,124,"Adventure, Drama, Fantasy","Jun 30, 2010",68000000,300531751,706102828
The Twilight Saga: New Moon,2009,4.7,PG-13,130,"Adventure, Drama, Fantasy","Nov 19, 2009",50000000,296623634,687557727
The Sixth Sense,1999,8.1,PG-13,107,"Drama, Mystery, Thriller","Aug 6, 1999",40000000,293506292,672806292
Up,2009,8.2,PG,96,"Animation, Adventure, Comedy","May 28, 2009",175000000,293004164,731463377
Inception,2010,8.8,PG-13,148,"Action, Adventure, Sci-Fi","Jul 16, 2010",160000000,292576195,832551961
Harry Potter and the Order of the Phoenix,2007,7.5,PG-13,138,"Action, Adventure, Family","Jul 11, 2007",150000000,292137260,943076457
Man of Steel,2013,7.0,PG-13,143,"Action, Adventure, Sci-Fi","Jun 14, 2013",225000000,291045518,667999518
Harry Potter and the Goblet of Fire,2005,7.7,PG-13,157,"Adventure, Family, Fantasy","Nov 18, 2005",150000000,290201752,897099794
"Monsters, Inc.",2001,8.0,G,92,"Animation, Adventure, Comedy","Nov 2, 2001",115000000,289423425,559757719
Home Alone,1990,7.6,PG,103,"Comedy, Family","Nov 16, 1990",15000000,285761243,476684675
The Hunger Games: Mockingjay - Part 2,2015,6.5,PG-13,137,"Action, Adventure, Sci-Fi","Nov 18, 2015",160000000,281723902,648986787
The Matrix Reloaded,2003,7.2,R,138,"Action, Sci-Fi","May 15, 2003",150000000,281553689,738576929
Meet the Fockers,2004,6.3,PG-13,115,"Comedy, Romance","Dec 22, 2004",60000000,279167575,516567575
The Hangover,2009,7.7,R,100,Comedy,"Jun 5, 2009",35000000,277322503,465487583
Gravity,2013,7.7,PG-13,91,"Drama, Sci-Fi, Thriller","Oct 3, 2013",110000000,274092705,689742192
Sing,2016,7.1,PG,108,"Animation, Comedy, Family","Nov 24, 2016",75000000,270329045,634454789
Monsters University,2013,7.3,G,104,"Animation, Adventure, Comedy","Jun 21, 2013",200000000,268488329,743588329
Shrek,2001,7.8,PG,90,"Animation, Adventure, Comedy","May 18, 2001",50000000,267655011,491812794
Despicable Me 3,2017,6.3,PG,89,"Animation, Adventure, Comedy","Jun 14, 2017",75000000,264624300,1034639202
The Amazing Spider-Man,2012,6.9,PG-13,136,"Action, Adventure, Sci-Fi","Jun 27, 2012",220000000,262030663,757890267
Harry Potter and the Chamber of Secrets,2002,7.4,PG,161,"Adventure, Family, Fantasy","Nov 15, 2002",100000000,262233381,879225135
The Incredibles,2004,8.0,PG,115,"Animation, Action, Adventure","Oct 22, 2004",92000000,261441092,631441092
How the Grinch Stole Christmas,2000,6.2,PG,104,"Comedy, Family, Fantasy","Nov 17, 2000",123000000,260044825,345141403
Jaws,1975,8.0,PG,124,"Adventure, Thriller","Jun 20, 1975",12000000,260000000,470700000
Captain America: The Winter Soldier,2014,7.7,PG-13,136,"Action, Adventure, Sci-Fi","Mar 28, 2014",170000000,259746958,714401889
The Hobbit: The Desolation of Smaug,2013,7.8,PG-13,161,"Adventure, Fantasy","Dec 12, 2013",250000000,258241522,960238087
The Lego Movie,2014,7.7,PG,100,"Animation, Action, Adventure","Feb 6, 2014",60000000,257784718,468084718
Star Trek,2009,7.9,PG-13,127,"Action, Adventure, Sci-Fi","May 8, 2009",140000000,257730019,386839614
The Blind Side,2009,7.6,PG-13,129,"Biography, Drama, Sport","Nov 20, 2009",35000000,255959475,305705794
The Hobbit: The Battle of the Five Armies,2014,7.4,PG-13,144,"Adventure, Fantasy","Dec 10, 2014",250000000,255119788,945577621
The Hangover Part II,2011,6.4,R,102,Comedy,"May 26, 2011",80000000,254464305,586464305
Despicable Me,2010,7.6,PG,95,"Animation, Comedy, Family","Jul 9, 2010",69000000,251513985,543464573
Batman,1989,7.5,PG-13,126,"Action, Adventure","Jun 23, 1989",35000000,251188924,411348924
Night at the Museum,2006,6.4,PG,108,"Adventure, Comedy, Family","Dec 22, 2006",110000000,250863268,579446407
Men in Black,1997,7.3,PG-13,98,"Action, Adventure, Comedy","Jul 1, 1997",90000000,250690539,587790539
Harry Potter and the Prisoner of Azkaban,2004,7.9,PG,142,"Adventure, Family, Fantasy","Jun 3, 2004",130000000,249757726,794020264
Moana,2016,7.6,PG,107,"Animation, Adventure, Comedy","Jan 27, 2016",150000000,248757044,636627423
Raiders of the Lost Ark,1981,8.4,PG,115,"Action, Adventure","Jun 12, 1981",20000000,225686079,367452079
Toy Story 2,1999,7.9,G,92,"Animation, Adventure, Comedy","Nov 19, 1999",90000000,245852179,511358276
Transformers: Age of Extinction,2014,5.6,PG-13,165,"Action, Adventure, Sci-Fi","Jun 25, 2014",210000000,245439076,1104054072
Cars,2006,7.1,G,117,"Animation, Comedy, Family","May 1, 2006",70000000,244082982,461630558
Bruce Almighty,2003,6.8,PG-13,101,"Comedy, Drama, Fantasy","May 23, 2003",81000000,242704995,484468608
Twister,1996,6.4,PG-13,113,"Action, Adventure, Thriller","May 10, 1996",88000000,241688385,495700000
My Big Fat Greek Wedding,2002,6.5,PG,95,"Comedy, Drama, Romance","Apr 19, 2002",5000000,241438208,374890034
Maleficent,2014,7.0,PG,97,"Action, Adventure, Family","May 28, 2014",180000000,241407328,758536735
Pirates of the Caribbean: On Stranger Tides,2011,6.6,PG-13,136,"Action, Adventure, Fantasy","May 20, 2011",379000000,241063875,1045663875
Ghostbusters,1984,7.8,PG,105,"Action, Comedy, Fantasy","Jun 8, 1984",30000000,242212467,295212467
Shrek Forever After,2010,6.3,PG,93,"Animation, Adventure, Comedy","May 21, 2010",165000000,238736787,756244673
Brave,2012,7.1,PG,93,"Animation, Adventure, Comedy","Jun 21, 2012",185000000,237282182,554606532
Beverly Hills Cop,1984,7.3,R,105,"Action, Comedy, Crime","Dec 5, 1984",15000000,234760478,316300000
X-Men: The Last Stand,2006,6.7,PG-13,104,"Action, Adventure, Sci-Fi","May 26, 2006",210000000,234362462,459260946
War of the Worlds,2005,6.5,PG-13,116,"Adventure, Sci-Fi, Thriller","Jun 29, 2005",132000000,234280354,606836535
Fantastic Beasts and Where to Find Them,2016,7.3,PG-13,132,"Adventure, Family, Fantasy","Nov 14, 2016",180000000,234037575,814037575
X-Men: Days of Future Past,2014,8.0,PG-13,132,"Action, Adventure, Sci-Fi","May 21, 2014",200000000,233921534,747862775
Cast Away,2000,7.8,PG-13,143,"Adventure, Drama, Romance","Dec 22, 2000",85000000,233632142,427230516
The Exorcist,1973,8.0,R,122,Horror,"Dec 26, 1973",12000000,230347346,428214478
Doctor Strange,2016,7.5,PG-13,115,"Action, Adventure, Fantasy","Oct 24, 2016",165000000,232641920,676404566
The Lost World: Jurassic Park,1997,6.6,PG-13,129,"Action, Adventure, Sci-Fi","May 22, 1997",75000000,229086679,618638999
Justice League,2017,6.4,PG-13,120,"Action, Adventure, Fantasy","Nov 13, 2017",300000000,229024295,655945209
Star Trek Into Darkness,2013,7.7,PG-13,132,"Action, Adventure, Sci-Fi","May 16, 2013",190000000,228778661,467381584
The Martian,2015,8.0,PG-13,144,"Adventure, Drama, Sci-Fi","Sep 30, 2015",108000000,228433663,655271443
Signs,2002,6.7,PG-13,106,"Drama, Mystery, Sci-Fi","Aug 2, 2002",70702619,227969295,408250578
Hancock,2008,6.4,PG-13,92,"Action, Fantasy","Jul 1, 2008",150000000,227946274,624234272
The Bourne Ultimatum,2007,8.0,PG-13,115,"Action, Mystery, Thriller","Aug 3, 2007",130000000,227471070,444043396
Logan,2017,8.1,R,137,"Action, Drama, Sci-Fi","Feb 23, 2017",127000000,226277068,614228432
Rush Hour 2,2001,6.6,PG-13,90,"Action, Comedy, Crime","Aug 3, 2001",90000000,226164286,347425832
The Fate of the Furious,2017,6.7,PG-13,136,"Action, Adventure, Crime","Apr 7, 2017",250000000,225764765,1238764765
Big Hero 6,2014,7.8,PG,102,"Animation, Action, Adventure","Oct 25, 2014",165000000,222527828,652127828
Alvin and the Chipmunks: The Squeakquel,2009,4.5,PG,88,"Animation, Comedy, Family","Dec 23, 2009",70000000,219614612,443483213
Mrs. Doubtfire,1993,7.0,PG-13,125,"Comedy, Drama, Family","Nov 24, 1993",25000000,219195051,441286003
Beauty and the Beast,1991,8.0,G,84,"Animation, Family, Fantasy","Nov 13, 1991",20000000,206333165,438707031
Ted,2012,6.9,R,106,Comedy,"Jun 29, 2012",50000000,218665740,556016627
King Kong,2005,7.2,PG-13,187,"Action, Adventure, Drama","Dec 14, 2005",207000000,218080025,550517357
Ghost,1990,7.0,PG-13,127,"Drama, Fantasy, Romance","Jul 13, 1990",22000000,217631306,517600000
How to Train Your Dragon,2010,8.1,PG,98,"Animation, Action, Adventure","Mar 26, 2010",165000000,217581232,494870992
The Da Vinci Code,2006,6.6,PG-13,149,"Mystery, Thriller","May 19, 2006",125000000,217536138,767820459
Aladdin,1992,8.0,G,90,"Animation, Adventure, Comedy","Nov 11, 1992",28000000,217350219,504050219
Alvin and the Chipmunks,2007,5.2,PG,92,"Animation, Comedy, Family","Dec 14, 2007",55000000,217326974,362605033
Ant-Man and the Wasp,2018,7.1,PG-13,118,"Action, Adventure, Comedy","Jul 3, 2018",130000000,216648740,623144660
Saving Private Ryan,1998,8.6,R,169,"Drama, War","Jul 24, 1998",65000000,216335085,485035085
Bohemian Rhapsody,2018,8.0,PG-13,134,"Biography, Drama, Music","Oct 26, 2018",55000000,216303339,900805359
Madagascar 3: Europe's Most Wanted,2012,6.8,PG,93,"Animation, Adventure, Comedy","Jun 8, 2012",145000000,216391482,746921271
Kung Fu Panda,2008,7.5,PG,92,"Animation, Action, Adventure","Jun 6, 2008",130000000,215434591,631910531
Solo: A Star Wars Story,2018,6.9,PG-13,135,"Action, Adventure, Sci-Fi","May 23, 2018",275000000,213767512,393151347
Venom,2018,6.7,PG-13,112,"Action, Adventure, Sci-Fi","Oct 2, 2018",116000000,213511408,853628605
Austin Powers in Goldmember,2002,6.2,PG-13,94,"Action, Adventure, Comedy","Jul 25, 2002",63000000,213117789,296338663
Back to the Future,1985,8.5,PG,116,"Adventure, Comedy, Sci-Fi","Jul 3, 1985",19000000,212259762,385524118
Fast Five,2011,7.3,PG-13,130,"Action, Adventure, Crime","Apr 29, 2011",125000000,210031325,630163454
Coco,2017,8.4,PG,105,"Animation, Adventure, Family","Oct 27, 2017",175000000,209726015,799976015
Wedding Crashers,2005,6.9,R,119,"Comedy, Romance","Jul 15, 2005",40000000,209218368,283218368
Sherlock Holmes,2009,7.6,PG-13,128,"Action, Adventure, Mystery","Dec 25, 2009",90000000,209028679,498438212
Dawn of the Planet of the Apes,2014,7.6,PG-13,130,"Action, Adventure, Drama","Jul 9, 2014",170000000,208545589,710644566
Batman Begins,2005,8.2,PG-13,140,"Action, Adventure","Jun 15, 2005",150000000,205343774,359142722
Charlie and the Chocolate Factory,2005,6.6,PG,115,"Adventure, Comedy, Family","Jul 15, 2005",150000000,206459076,475825484
Ratatouille,2007,8.0,G,111,"Animation, Adventure, Comedy","Jun 29, 2007",150000000,206445654,626549695
Thor: The Dark World,2013,6.9,PG-13,112,"Action, Adventure, Fantasy","Oct 30, 2013",150000000,206362140,644602516
Austin Powers: The Spy Who Shagged Me,1999,6.6,PG-13,95,"Action, Adventure, Comedy","Jun 10, 1999",35000000,206040085,312383487
Terminator 2: Judgment Day,1991,8.5,R,137,"Action, Sci-Fi","Jan 2, 1991",100000000,203464105,515392660
Bad Boys For Life,2020,6.7,R,124,"Action, Comedy, Crime","Jan 15, 2020",90000000,204417855,417650237
The Amazing Spider-Man 2,2014,6.6,PG-13,142,"Action, Adventure, Sci-Fi","Apr 16, 2014",200000000,202853933,708996336
World War Z,2013,7.0,PG-13,116,"Action, Adventure, Horror","Jun 19, 2013",190000000,202359711,531514650
The Mummy Returns,2001,6.3,PG-13,130,"Action, Adventure, Fantasy","May 4, 2001",98000000,202007640,435040395
Armageddon,1998,6.7,PG-13,151,"Action, Adventure, Sci-Fi","Jul 1, 1998",140000000,201578182,554600000
Cinderella,2015,6.9,PG,105,"Drama, Family, Fantasy","Mar 6, 2015",95000000,201151353,534551353
Tangled,2010,7.7,PG,100,"Animation, Adventure, Comedy","Nov 24, 2010",260000000,200821936,585727091
Godzilla,2014,6.4,PG-13,123,"Action, Adventure, Sci-Fi","May 14, 2014",160000000,200676069,529076069
Superman Returns,2006,6.0,PG-13,154,"Action, Sci-Fi","Jun 28, 2006",232000000,200120000,391081192
Spectre,2015,6.8,PG-13,148,"Action, Adventure, Thriller","Oct 6, 2015",300000000,200074175,879500760
Gone with the Wind,1939,8.1,Passed,238,"Drama, History, Romance","Dec 15, 1939",3900000,198680470,390525192
Pearl Harbor,2001,6.2,PG-13,183,"Action, Drama, History","May 25, 2001",151500000,198539855,449239853
Monsters vs. Aliens,2009,6.4,PG,94,"Animation, Action, Adventure","Mar 27, 2009",175000000,198351526,381687380
Happy Feet,2006,6.4,PG,108,"Animation, Adventure, Comedy","Nov 17, 2006",85000000,198000317,385000317
Indiana Jones and the Last Crusade,1989,8.2,PG-13,127,"Action, Adventure","May 24, 1989",48000000,197171806,474171806
Ice Age: Dawn of the Dinosaurs,2009,6.9,PG,94,"Animation, Adventure, Comedy","Jul 1, 2009",90000000,196573705,859701857
Ice Age: The Meltdown,2006,6.8,PG,91,"Animation, Adventure, Comedy","Mar 31, 2006",75000000,195330621,651899282
Madagascar,2005,6.9,PG,86,"Animation, Adventure, Comedy","May 27, 2005",75000000,193595521,556559566
Toy Story,1995,8.3,G,81,"Animation, Adventure, Comedy","Nov 22, 1995",30000000,191796233,364543951
22 Jump Street,2014,7.0,R,112,"Action, Comedy, Crime","Jun 5, 2014",50000000,191719337,331333876
Twilight,2008,5.2,PG-13,122,"Drama, Fantasy, Romance","Nov 21, 2008",37000000,192769854,402280159
Cars 2,2011,6.1,G,106,"Animation, Adventure, Comedy","Jun 23, 2011",200000000,191450875,560155383
Teenage Mutant Ninja Turtles,2014,5.8,PG-13,101,"Action, Adventure, Comedy","Aug 8, 2014",125000000,191204754,485004754
Wreck-It Ralph,2012,7.7,PG,101,"Animation, Adventure, Comedy","Nov 1, 2012",165000000,189412677,496511521
Grease,1978,7.2,PG,110,"Musical, Romance","Jun 16, 1978",6000000,181813770,387508097
Dunkirk,2017,7.9,PG-13,106,"Action, Drama, History","Jul 18, 2017",150000000,190068280,527268280
A Quiet Place,2018,7.5,PG-13,90,"Drama, Horror, Sci-Fi","Apr 4, 2018",17000000,188024361,336151692
Interstellar,2014,8.6,PG-13,169,"Adventure, Drama, Sci-Fi","Nov 5, 2014",165000000,188017894,664597759
Gladiator,2000,8.5,R,155,"Action, Adventure, Drama","May 5, 2000",103000000,187683805,457683805
The Croods,2013,7.2,PG,98,"Animation, Action, Adventure","Mar 15, 2013",135000000,187168425,573068425
Sherlock Holmes: A Game of Shadows,2011,7.5,PG-13,129,"Action, Adventure, Mystery","Dec 16, 2011",125000000,186848418,535663443
The Day After Tomorrow,2004,6.4,PG-13,124,"Action, Adventure, Sci-Fi","May 27, 2004",125000000,186740799,555840117
Snow White and the Seven Dwarfs,1937,7.6,Approved,83,"Animation, Family, Fantasy","Dec 21, 1937",1488000,184925486,184925486
Pitch Perfect 2,2015,6.4,PG-13,115,"Comedy, Music","May 7, 2015",29000000,184296230,287625468
Dances with Wolves,1990,8.0,PG-13,181,"Adventure, Drama, Western","Nov 9, 1990",19000000,184208842,424208842
Batman Forever,1995,5.4,PG-13,121,"Action, Adventure","Jun 16, 1995",100000000,184031112,336529144
The Fugitive,1993,7.8,PG-13,130,"Action, Crime, Drama","Aug 6, 1993",44000000,183875760,353715317
The Revenant,2015,8.0,R,156,"Action, Adventure, Drama","Dec 25, 2015",135000000,183637894,532938302
Ocean's Eleven,2001,7.7,PG-13,116,"Crime, Thriller","Dec 7, 2001",85000000,183417150,450728529
The Polar Express,2004,6.6,G,100,"Animation, Adventure, Comedy","Nov 10, 2004",170000000,188042855,312183437
The Simpsons Movie,2007,7.3,PG-13,87,"Animation, Adventure, Comedy","Jul 27, 2007",72500000,183135014,527071022
What Women Want,2000,6.4,PG-13,127,"Comedy, Fantasy, Romance","Dec 15, 2000",65000000,182805123,374105123
The Perfect Storm,2000,6.4,PG-13,130,"Action, Adventure, Drama","Jun 30, 2000",120000000,182618434,328711434
Lincoln,2012,7.3,PG-13,150,"Biography, Drama, History","Nov 9, 2012",65000000,182207973,273346281
Liar Liar,1997,6.9,PG-13,86,"Comedy, Fantasy","Mar 21, 1997",45000000,181410615,302710615
Jurassic Park III,2001,5.9,PG-13,92,"Action, Adventure, Sci-Fi","Jul 18, 2001",93000000,181166115,365900000
Thor,2011,7.0,PG-13,115,"Action, Adventure, Fantasy","Apr 29, 2011",150000000,181030624,449326618
Mission: Impossible,1996,7.1,PG-13,110,"Action, Adventure, Thriller","May 21, 1996",80000000,180981886,457697994
Ant-Man,2015,7.3,PG-13,117,"Action, Adventure, Comedy","Jul 14, 2015",130000000,180202163,518858449
Planet of the Apes,2001,5.7,PG-13,119,"Action, Adventure, Sci-Fi","Jul 27, 2001",100000000,180011740,362211740
Madagascar: Escape 2 Africa,2008,6.6,PG,89,"Animation, Adventure, Comedy","Nov 7, 2008",150000000,180174880,599680774
X-Men Origins: Wolverine,2009,6.6,PG-13,107,"Action, Adventure, Sci-Fi","May 1, 2009",150000000,179883157,374825760
Indiana Jones and the Temple of Doom,1984,7.6,PG,118,"Action, Adventure","May 23, 1984",28000000,179880271,333080271
Top Gun,1986,6.9,PG,110,"Action, Drama","May 16, 1986",15000000,179800601,356799634
Hitch,2005,6.6,PG-13,118,"Comedy, Romance","Feb 11, 2005",55000000,177784257,366784257
Men in Black 3,2012,6.8,PG-13,106,"Action, Adventure, Comedy","May 23, 2012",215000000,179020854,654213485
Rain Man,1988,8.0,R,133,Drama,"Dec 16, 1988",25000000,172825435,412800000
Pretty Woman,1990,7.0,R,119,"Comedy, Romance","Mar 23, 1990",14000000,178406268,432645872
Home,2015,6.6,PG,94,"Animation, Adventure, Comedy","Mar 19, 2015",130000000,177397510,385997896
Night at the Museum: Battle of the Smithsonian,2009,6.0,PG,105,"Adventure, Comedy, Family","May 22, 2009",150000000,177243721,402231063
Tootsie,1982,7.4,PG,116,"Comedy, Drama, Romance","Dec 17, 1982",15000000,177200000,177200000
How to Train Your Dragon 2,2014,7.8,PG,102,"Animation, Action, Adventure","Jun 5, 2014",145000000,177002924,614586270
Rise of the Planet of the Apes,2011,7.6,PG-13,105,"Action, Drama, Sci-Fi","Aug 5, 2011",93000000,176760185,470986200
Captain America: The First Avenger,2011,6.9,PG-13,124,"Action, Adventure, Sci-Fi","Jul 22, 2011",140000000,176654505,370569776
The Karate Kid,2010,6.2,PG,140,"Action, Drama, Family","Jun 11, 2010",40000000,176591618,351774938
There's Something About Mary,1998,7.1,R,119,"Comedy, Romance","Jul 15, 1998",22000000,176484651,369884651
Ice Age,2002,7.5,PG,81,"Animation, Adventure, Comedy","Mar 15, 2002",65000000,176387405,386116343
The Bourne Supremacy,2004,7.7,PG-13,108,"Action, Mystery, Thriller","Jul 23, 2004",85000000,176087450,311001124
Get Out,2017,7.7,R,104,"Horror, Mystery, Thriller","Feb 24, 2017",5000000,176040665,252778057
The Lego Batman Movie,2017,7.3,PG,104,"Animation, Action, Comedy","Feb 2, 2017",80000000,175750384,310660018
