Movie,Year,IMDb,Rating,Runtime,Genre
Jurassic World: Fallen Kingdom,2018,6.2,PG-13,128,"Action, Adventure, Sci-Fi"
Toy Story 3,2010,8.3,G,103,"Animation, Adventure, Comedy"
Wonder Woman,2017,7.4,PG-13,141,"Action, Adventure, Fantasy"
Iron Man Three,2013,7.2,PG-13,130,"Action, Adventure, Sci-Fi"
Captain America: Civil War,2016,7.8,PG-13,147,"Action, Adventure, Sci-Fi"
The Hunger Games,2012,7.2,PG-13,142,"Action, Adventure, Sci-Fi"
Jumanji: Welcome to the Jungle,2017,6.9,PG-13,119,"Action, Adventure, Comedy"
Spider-Man,2002,7.3,PG-13,121,"Action, Adventure, Sci-Fi"
Jurassic Park,1993,8.1,PG-13,127,"Action, Adventure, Sci-Fi"
Transformers: Revenge of the Fallen,2009,6.0,PG-13,149,"Action, Adventure, Sci-Fi"
Frozen,2013,7.4,PG,102,"Animation, Adventure, Comedy"
Spider-Man: Far from Home,2019,7.5,PG-13,129,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 2,2017,7.6,PG-13,136,"Action, Adventure, Comedy"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,PG-13,130,"Adventure, Drama, Fantasy"
Finding Nemo,2003,8.1,G,100,"Animation, Adventure, Comedy"
Star Wars: Episode III - Revenge of the Sith,2005,7.5,PG-13,140,"Action, Adventure, Fantasy"
The Lord of the Rings: The Return of the King,2003,8.9,PG-13,201,"Adventure, Drama, Fantasy"
Spider-Man 2,2004,7.3,PG-13,127,"Action, Adventure, Sci-Fi"
The Secret Life of Pets,2016,6.5,PG,87,"Animation, Adventure, Comedy"
Despicable Me 2,2013,7.3,PG,98,"Animation, Adventure, Comedy"
The Jungle Book,2016,7.4,PG,106,"Adventure, Drama, Family"
Deadpool,2016,8.0,R,108,"Action, Adventure, Comedy"
Inside Out,2015,8.1,PG,95,"Animation, Adventure, Comedy"
Aladdin,2019,7.0,PG,128,"Adventure, Family, Fantasy"
Furious 7,2015,7.1,PG-13,137,"Action, Adventure, Thriller"
Transformers: Dark of the Moon,2011,6.2,PG-13,154,"Action, Adventure, Sci-Fi"
American Sniper,2014,7.3,R,133,"Action, Biography, Drama"
The Lord of the Rings: The Two Towers,2002,8.7,PG-13,179,"Adventure, Drama, Fantasy"
Zootopia,2016,8.0,PG,108,"Animation, Adventure, Comedy"
The Hunger Games: Mockingjay - Part 1,2014,6.6,PG-13,123,"Action, Adventure, Sci-Fi"
Spider-Man 3,2007,6.2,PG-13,139,"Action, Adventure, Sci-Fi"
Minions,2015,6.4,PG,91,"Animation, Adventure, Comedy"
Joker,2019,8.5,R,122,"Crime, Drama, Thriller"
Aquaman,2018,7.0,PG-13,143,"Action, Adventure, Fantasy"
Spider-Man: Homecoming,2017,7.4,PG-13,133,"Action, Adventure, Sci-Fi"
Alice in Wonderland,2010,6.4,PG,108,"Adventure, Family, Fantasy"
Guardians of the Galaxy,2014,8.0,PG-13,121,"Action, Adventure, Comedy"
Batman v Superman: Dawn of Justice,2016,6.4,PG-13,152,"Action, Adventure, Sci-Fi"
Forrest Gump,1994,8.8,PG-13,142,"Drama, Romance"
It,2017,7.3,R,135,Horror
Suicide Squad,2016,6.0,PG-13,123,"Action, Adventure, Fantasy"
Deadpool 2,2018,7.7,R,119,"Action, Adventure, Comedy"
Star Wars: Episode IV - A New Hope,1977,8.6,PG,121,"Action, Adventure, Fantasy"
Shrek the Third,2007,6.1,PG,93,"Animation, Adventure, Comedy"
Transformers,2007,7.0,PG-13,144,"Action, Adventure, Sci-Fi"
Iron Man,2008,7.9,PG-13,126,"Action, Adventure, Sci-Fi"
Harry Potter and the Sorcerer's Stone,2001,7.6,PG,152,"Adventure, Family, Fantasy"
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,PG-13,122,"Action, Adventure"
Jumanji: The Next Level,2019,6.7,PG-13,123,"Action, Adventure, Comedy"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,178,"Action, Adventure, Drama"
Thor: Ragnarok,2017,7.9,PG-13,130,"Action, Adventure, Comedy"
Iron Man 2,2010,7.0,PG-13,124,"Action, Adventure, Sci-Fi"
Star Wars: Episode II - Attack of the Clones,2002,6.5,PG,142,"Action, Adventure, Fantasy"
Pirates of the Caribbean: At World's End,2007,7.1,PG-13,169,"Action, Adventure, Fantasy"
Star Wars: Episode VI - Return of the Jedi,1983,8.3,PG,131,"Action, Adventure, Fantasy"
Independence Day,1996,7.0,PG-13,145,"Action, Adventure, Sci-Fi"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,PG-13,143,"Action, Adventure, Fantasy"
Skyfall,2012,7.7,PG-13,143,"Action, Adventure, Thriller"
The Hobbit: An Unexpected Journey,2012,7.8,PG-13,169,"Adventure, Family, Fantasy"
Harry Potter and the Half-Blood Prince,2009,7.6,PG,153,"Action, Adventure, Family"
The Twilight Saga: Eclipse,2010,5.0,PG-13,124,"Adventure, Drama, Fantasy"
The Twilight Saga: New Moon,2009,4.7,PG-13,130,"Adventure, Drama, Fantasy"
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,PG-13,146,"Adventure, Family, Fantasy"
The Sixth Sense,1999,8.1,PG-13,107,"Drama, Mystery, Thriller"
Up,2009,8.2,PG,96,"Animation, Adventure, Comedy"
Inception,2010,8.8,PG-13,148,"Action, Adventure, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,PG-13,115,"Adventure, Drama, Fantasy"
Harry Potter and the Order of the Phoenix,2007,7.5,PG-13,138,"Action, Adventure, Family"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,PG,143,"Adventure, Family, Fantasy"
Man of Steel,2013,7.0,PG-13,143,"Action, Adventure, Sci-Fi"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,PG,124,"Action, Adventure, Fantasy"
Harry Potter and the Goblet of Fire,2005,7.7,PG-13,157,"Adventure, Family, Fantasy"
"Monsters, Inc.",2001,8.0,G,92,"Animation, Adventure, Comedy"
Home Alone,1990,7.6,PG,103,"Comedy, Family"
The Hunger Games: Mockingjay - Part 2,2015,6.5,PG-13,137,"Action, Adventure, Sci-Fi"
The Matrix Reloaded,2003,7.2,R,138,"Action, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,PG-13,117,"Adventure, Drama, Fantasy"
Meet the Fockers,2004,6.3,PG-13,115,"Comedy, Romance"
The Hangover,2009,7.7,R,100,Comedy
Gravity,2013,7.7,PG-13,91,"Drama, Sci-Fi, Thriller"
The Grinch,2018,6.3,PG,85,"Animation, Comedy, Family"
Sing,2016,7.1,PG,108,"Animation, Comedy, Family"
Monsters University,2013,7.3,G,104,"Animation, Adventure, Comedy"
Shrek,2001,7.8,PG,90,"Animation, Adventure, Comedy"
Despicable Me 3,2017,6.3,PG,89,"Animation, Adventure, Comedy"
The Amazing Spider-Man,2012,6.9,PG-13,136,"Action, Adventure, Sci-Fi"
Harry Potter and the Chamber of Secrets,2002,7.4,PG,161,"Adventure, Family, Fantasy"
The Incredibles,2004,8.0,PG,115,"Animation, Action, Adventure"
How the Grinch Stole Christmas,2000,6.2,PG,104,"Comedy, Family, Fantasy"
Jaws,1975,8.0,PG,124,"Adventure, Thriller"
Captain America: The Winter Soldier,2014,7.7,PG-13,136,"Action, Adventure, Sci-Fi"
The Hobbit: The Desolation of Smaug,2013,7.8,PG-13,161,"Adventure, Fantasy"
The Lego Movie,2014,7.7,PG,100,"Animation, Action, Adventure"
Star Trek,2009,7.9,PG-13,127,"Action, Adventure, Sci-Fi"
I Am Legend,2007,7.2,PG-13,101,"Action, Adventure, Drama"
The Blind Side,2009,7.6,PG-13,129,"Biography, Drama, Sport"
The Hobbit: The Battle of the Five Armies,2014,7.4,PG-13,144,"Adventure, Fantasy"
The Hangover Part II,2011,6.4,R,102,Comedy
Despicable Me,2010,7.6,PG,95,"Animation, Comedy, Family"
Batman,1989,7.5,PG-13,126,"Action, Adventure"
Night at the Museum,2006,6.4,PG,108,"Adventure, Comedy, Family"
Men in Black,1997,7.3,PG-13,98,"Action, Adventure, Comedy"
Harry Potter and the Prisoner of Azkaban,2004,7.9,PG,142,"Adventure, Family, Fantasy"
Moana,2016,7.6,PG,107,"Animation, Adventure, Comedy"
Raiders of the Lost Ark,1981,8.4,PG,115,"Action, Adventure"
Toy Story 2,1999,7.9,G,92,"Animation, Adventure, Comedy"
Transformers: Age of Extinction,2014,5.6,PG-13,165,"Action, Adventure, Sci-Fi"
Cars,2006,7.1,G,117,"Animation, Comedy, Family"
Bruce Almighty,2003,6.8,PG-13,101,"Comedy, Drama, Fantasy"
Twister,1996,6.4,PG-13,113,"Action, Adventure, Thriller"
My Big Fat Greek Wedding,2002,6.5,PG,95,"Comedy, Drama, Romance"
Maleficent,2014,7.0,PG,97,"Action, Adventure, Family"
Pirates of the Caribbean: On Stranger Tides,2011,6.6,PG-13,136,"Action, Adventure, Fantasy"
Furious 6,2013,7.1,PG-13,130,"Action, Adventure, Thriller"
Ghostbusters,1984,7.8,PG,105,"Action, Comedy, Fantasy"
Shrek Forever After,2010,6.3,PG,93,"Animation, Adventure, Comedy"
Brave,2012,7.1,PG,93,"Animation, Adventure, Comedy"
Oz The Great and Powerful,2013,6.3,PG,130,"Adventure, Family, Fantasy"
Beverly Hills Cop,1984,7.3,R,105,"Action, Comedy, Crime"
X-Men: The Last Stand,2006,6.7,PG-13,104,"Action, Adventure, Sci-Fi"
War of the Worlds,2005,6.5,PG-13,116,"Adventure, Sci-Fi, Thriller"
Fantastic Beasts and Where to Find Them,2016,7.3,PG-13,132,"Adventure, Family, Fantasy"
X-Men: Days of Future Past,2014,8.0,PG-13,132,"Action, Adventure, Sci-Fi"
Cast Away,2000,7.8,PG-13,143,"Adventure, Drama, Romance"
The Exorcist,1973,8.0,R,122,Horror
Doctor Strange,2016,7.5,PG-13,115,"Action, Adventure, Fantasy"
The Lost World: Jurassic Park,1997,6.6,PG-13,129,"Action, Adventure, Sci-Fi"
Justice League,2017,6.4,PG-13,120,"Action, Adventure, Fantasy"
Star Trek Into Darkness,2013,7.7,PG-13,132,"Action, Adventure, Sci-Fi"
The Martian,2015,8.0,PG-13,144,"Adventure, Drama, Sci-Fi"
Signs,2002,6.7,PG-13,106,"Drama, Mystery, Sci-Fi"
Hancock,2008,6.4,PG-13,92,"Action, Fantasy"
The Bourne Ultimatum,2007,8.0,PG-13,115,"Action, Mystery, Thriller"
Logan,2017,8.1,R,137,"Action, Drama, Sci-Fi"
Rush Hour 2,2001,6.6,PG-13,90,"Action, Comedy, Crime"
The Fate of the Furious,2017,6.7,PG-13,136,"Action, Adventure, Crime"
WALL·E,2008,8.4,G,98,"Animation, Adventure, Family"
Big Hero 6,2014,7.8,PG,102,"Animation, Action, Adventure"
Mission: Impossible - Fallout,2018,7.7,PG-13,147,"Action, Adventure, Thriller"
National Treasure: Book of Secrets,2007,6.5,PG,124,"Action, Adventure, Mystery"
Alvin and the Chipmunks: The Squeakquel,2009,4.5,PG,88,"Animation, Comedy, Family"
Mrs. Doubtfire,1993,7.0,PG-13,125,"Comedy, Drama, Family"
Beauty and the Beast,1991,8.0,G,84,"Animation, Family, Fantasy"
Ted,2012,6.9,R,106,Comedy
King Kong,2005,7.2,PG-13,187,"Action, Adventure, Drama"
Ghost,1990,7.0,PG-13,127,"Drama, Fantasy, Romance"
How to Train Your Dragon,2010,8.1,PG,98,"Animation, Action, Adventure"
The Da Vinci Code,2006,6.6,PG-13,149,"Mystery, Thriller"
Aladdin,1992,8.0,G,90,"Animation, Adventure, Comedy"
Alvin and the Chipmunks,2007,5.2,PG,92,"Animation, Comedy, Family"
Ant-Man and the Wasp,2018,7.1,PG-13,118,"Action, Adventure, Comedy"
Saving Private Ryan,1998,8.6,R,169,"Drama, War"
Bohemian Rhapsody,2018,8.0,PG-13,134,"Biography, Drama, Music"
Madagascar 3: Europe's Most Wanted,2012,6.8,PG,93,"Animation, Adventure, Comedy"
Kung Fu Panda,2008,7.5,PG,92,"Animation, Action, Adventure"
Mission: Impossible II,2000,6.1,PG-13,123,"Action, Adventure, Thriller"
A Star Is Born,2018,7.7,R,136,"Drama, Music, Romance"
X2: X-Men United,2003,7.4,PG-13,134,"Action, Sci-Fi, Thriller"
The Lorax,2012,6.4,PG,86,"Animation, Adventure, Comedy"
Solo: A Star Wars Story,2018,6.9,PG-13,135,"Action, Adventure, Sci-Fi"
Venom,2018,6.7,PG-13,112,"Action, Adventure, Sci-Fi"
Austin Powers in Goldmember,2002,6.2,PG-13,94,"Action, Adventure, Comedy"
It Chapter Two,2019,6.6,R,169,"Drama, Fantasy, Horror"
300,2006,7.6,R,117,"Action, Drama"
Back to the Future,1985,8.5,PG,116,"Adventure, Comedy, Sci-Fi"
Fast Five,2011,7.3,PG-13,130,"Action, Adventure, Crime"
Coco,2017,8.4,PG,105,"Animation, Adventure, Family"
Mission: Impossible - Ghost Protocol,2011,7.4,PG-13,132,"Action, Adventure, Thriller"
Wedding Crashers,2005,6.9,R,119,"Comedy, Romance"
Sherlock Holmes,2009,7.6,PG-13,128,"Action, Adventure, Mystery"
Dawn of the Planet of the Apes,2014,7.6,PG-13,130,"Action, Adventure, Drama"
Batman Begins,2005,8.2,PG-13,140,"Action, Adventure"
Charlie and the Chocolate Factory,2005,6.6,PG,115,"Adventure, Comedy, Family"
Ratatouille,2007,8.0,G,111,"Animation, Adventure, Comedy"
Thor: The Dark World,2013,6.9,PG-13,112,"Action, Adventure, Fantasy"
Austin Powers: The Spy Who Shagged Me,1999,6.6,PG-13,95,"Action, Adventure, Comedy"
Terminator 2: Judgment Day,1991,8.5,R,137,"Action, Sci-Fi"
Bad Boys For Life,2020,6.7,R,124,"Action, Comedy, Crime"
The Amazing Spider-Man 2,2014,6.6,PG-13,142,"Action, Adventure, Sci-Fi"
World War Z,2013,7.0,PG-13,116,"Action, Adventure, Horror"
The Mummy Returns,2001,6.3,PG-13,130,"Action, Adventure, Fantasy"
Armageddon,1998,6.7,PG-13,151,"Action, Adventure, Sci-Fi"
Cinderella,2015,6.9,PG,105,"Drama, Family, Fantasy"
Ralph Breaks the Internet,2018,7.1,PG,112,"Animation, Adventure, Comedy"
Tangled,2010,7.7,PG,100,"Animation, Adventure, Comedy"
Godzilla,2014,6.4,PG-13,123,"Action, Adventure, Sci-Fi"
Superman Returns,2006,6.0,PG-13,154,"Action, Sci-Fi"
Spectre,2015,6.8,PG-13,148,"Action, Adventure, Thriller"
Gone with the Wind,1939,8.1,Passed,238,"Drama, History, Romance"
Pearl Harbor,2001,6.2,PG-13,183,"Action, Drama, History"
Monsters vs. Aliens,2009,6.4,PG,94,"Animation, Action, Adventure"
Happy Feet,2006,6.4,PG,108,"Animation, Adventure, Comedy"
Indiana Jones and the Last Crusade,1989,8.2,PG-13,127,"Action, Adventure"
Ice Age: Dawn of the Dinosaurs,2009,6.9,PG,94,"Animation, Adventure, Comedy"
Ice Age: The Meltdown,2006,6.8,PG,91,"Animation, Adventure, Comedy"
Mission: Impossible - Rogue Nation,2015,7.4,PG-13,131,"Action, Adventure, Thriller"
Madagascar,2005,6.9,PG,86,"Animation, Adventure, Comedy"
Toy Story,1995,8.3,G,81,"Animation, Adventure, Comedy"
22 Jump Street,2014,7.0,R,112,"Action, Comedy, Crime"
Twilight,2008,5.2,PG-13,122,"Drama, Fantasy, Romance"
Cars 2,2011,6.1,G,106,"Animation, Adventure, Comedy"
Teenage Mutant Ninja Turtles,2014,5.8,PG-13,101,"Action, Adventure, Comedy"
Men in Black II,2002,6.2,PG-13,88,"Action, Adventure, Comedy"
Spider-Man: Into the Spider-Verse,2018,8.4,PG,117,"Animation, Action, Adventure"
Wreck-It Ralph,2012,7.7,PG,101,"Animation, Adventure, Comedy"
Grease,1978,7.2,PG,110,"Musical, Romance"
Dunkirk,2017,7.9,PG-13,106,"Action, Drama, History"
A Quiet Place,2018,7.5,PG-13,90,"Drama, Horror, Sci-Fi"
Interstellar,2014,8.6,PG-13,169,"Adventure, Drama, Sci-Fi"
Gladiator,2000,8.5,R,155,"Action, Adventure, Drama"
The Croods,2013,7.2,PG,98,"Animation, Action, Adventure"
Sherlock Holmes: A Game of Shadows,2011,7.5,PG-13,129,"Action, Adventure, Mystery"
The Day After Tomorrow,2004,6.4,PG-13,124,"Action, Adventure, Sci-Fi"
Mr. & Mrs. Smith,2005,6.5,PG-13,120,"Action, Comedy, Crime"
Snow White and the Seven Dwarfs,1937,7.6,Approved,83,"Animation, Family, Fantasy"
Pitch Perfect 2,2015,6.4,PG-13,115,"Comedy, Music"
Dances with Wolves,1990,8.0,PG-13,181,"Adventure, Drama, Western"
Batman Forever,1995,5.4,PG-13,121,"Action, Adventure"
The Fugitive,1993,7.8,PG-13,130,"Action, Crime, Drama"
The Revenant,2015,8.0,R,156,"Action, Adventure, Drama"
Ocean's Eleven,2001,7.7,PG-13,116,"Crime, Thriller"
The Polar Express,2004,6.6,G,100,"Animation, Adventure, Comedy"
The Simpsons Movie,2007,7.3,PG-13,87,"Animation, Adventure, Comedy"
What Women Want,2000,6.4,PG-13,127,"Comedy, Fantasy, Romance"
The Perfect Storm,2000,6.4,PG-13,130,"Action, Adventure, Drama"
Lincoln,2012,7.3,PG-13,150,"Biography, Drama, History"
Liar Liar,1997,6.9,PG-13,86,"Comedy, Fantasy"
Jurassic Park III,2001,5.9,PG-13,92,"Action, Adventure, Sci-Fi"
Thor,2011,7.0,PG-13,115,"Action, Adventure, Fantasy"
Mission: Impossible,1996,7.1,PG-13,110,"Action, Adventure, Thriller"
Ant-Man,2015,7.3,PG-13,117,"Action, Adventure, Comedy"
Planet of the Apes,2001,5.7,PG-13,119,"Action, Adventure, Sci-Fi"
Madagascar: Escape 2 Africa,2008,6.6,PG,89,"Animation, Adventure, Comedy"
X-Men Origins: Wolverine,2009,6.6,PG-13,107,"Action, Adventure, Sci-Fi"
Indiana Jones and the Temple of Doom,1984,7.6,PG,118,"Action, Adventure"
Top Gun,1986,6.9,PG,110,"Action, Drama"
Hitch,2005,6.6,PG-13,118,"Comedy, Romance"
Men in Black 3,2012,6.8,PG-13,106,"Action, Adventure, Comedy"
Rain Man,1988,8.0,R,133,Drama
Pretty Woman,1990,7.0,R,119,"Comedy, Romance"
Home,2015,6.6,PG,94,"Animation, Adventure, Comedy"
Night at the Museum: Battle of the Smithsonian,2009,6.0,PG,105,"Adventure, Comedy, Family"
Tootsie,1982,7.4,PG,116,"Comedy, Drama, Romance"
How to Train Your Dragon 2,2014,7.8,PG,102,"Animation, Action, Adventure"
Rise of the Planet of the Apes,2011,7.6,PG-13,105,"Action, Drama, Sci-Fi"
Captain America: The First Avenger,2011,6.9,PG-13,124,"Action, Adventure, Sci-Fi"
The Karate Kid,2010,6.2,PG,140,"Action, Drama, Family"
There's Something About Mary,1998,7.1,R,119,"Comedy, Romance"
Ice Age,2002,7.5,PG,81,"Animation, Adventure, Comedy"
The Bourne Supremacy,2004,7.7,PG-13,108,"Action, Mystery, Thriller"
Get Out,2017,7.7,R,104,"Horror, Mystery, Thriller"
The Lego Batman Movie,2017,7.3,PG,104,"Animation, Action, Comedy"
Us,2019,6.9,R,116,"Horror, Mystery, Thriller"
The Boss Baby,2017,6.3,PG,97,"Animation, Adventure, Comedy"
Crocodile Dundee,1986,6.6,PG-13,97,"Action, Adventure, Comedy"
Crazy Rich Asians,2018,6.9,PG-13,120,"Comedy, Drama, Romance"
The Greatest Showman,2017,7.6,PG,105,"Biography, Drama, Musical"
Fast & Furious Presents: Hobbs & Shaw,2019,6.4,PG-13,137,"Action, Adventure, Thriller"
Apollo 13,1995,7.6,PG,140,"Adventure, Drama, History"
Home Alone 2: Lost in New York,1992,6.8,PG,120,"Adventure, Comedy, Crime"
Elf,2003,6.9,PG,97,"Comedy, Family, Fantasy"
National Treasure,2004,6.9,PG,131,"Action, Adventure, Mystery"
Air Force One,1997,6.5,R,124,"Action, Drama, Thriller"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,PG-13,129,"Action, Adventure, Fantasy"
TRON: Legacy,2010,6.8,PG,125,"Action, Adventure, Sci-Fi"
Mary Poppins Returns,2018,6.7,PG,130,"Comedy, Family, Fantasy"
The Matrix,1999,8.7,R,136,"Action, Sci-Fi"
True Grit,2010,7.6,PG-13,110,"Drama, Western"
Tarzan,1999,7.3,G,88,"Animation, Adventure, Family"
John Wick: Chapter 3 - Parabellum,2019,7.5,R,130,"Action, Crime, Thriller"
A Beautiful Mind,2001,8.2,PG-13,135,"Biography, Drama"
Chicago,2002,7.1,PG-13,113,"Comedy, Crime, Musical"
The Help,2011,8.0,PG-13,146,Drama
Hotel Transylvania 2,2015,6.7,PG,89,"Animation, Comedy, Family"
Hidden Figures,2016,7.8,PG,127,"Biography, Drama, History"
Bridesmaids,2011,6.8,R,125,"Comedy, Romance"
Quantum of Solace,2008,6.6,PG-13,106,"Action, Adventure, Thriller"
Wild Hogs,2007,5.8,PG-13,100,"Action, Adventure, Comedy"
Kong: Skull Island,2017,6.6,PG-13,118,"Action, Adventure, Fantasy"
Three Men and a Baby,1987,6.0,PG,102,"Comedy, Drama, Family"
Gone Girl,2014,8.1,R,149,"Drama, Mystery, Thriller"
Hotel Transylvania 3: Summer Vacation,2018,6.3,PG,97,"Animation, Adventure, Comedy"
Casino Royale,2006,8.0,PG-13,144,"Action, Adventure, Thriller"
Meet the Parents,2000,7.0,PG-13,108,"Comedy, Romance"
Fifty Shades of Grey,2015,4.1,R,125,"Drama, Romance, Thriller"
2012,2009,5.8,PG-13,158,"Action, Adventure, Sci-Fi"
Robin Hood: Prince of Thieves,1991,6.9,PG-13,143,"Action, Adventure, Drama"
Knives Out,2019,7.9,PG-13,130,"Comedy, Crime, Drama"
Kung Fu Panda 2,2011,7.2,PG,90,"Animation, Action, Adventure"
Hannibal,2001,6.8,R,131,"Crime, Drama, Thriller"
Catch Me If You Can,2002,8.1,PG-13,141,"Biography, Crime, Drama"
The Proposal,2009,6.7,PG-13,108,"Comedy, Drama, Romance"
The Pursuit of Happyness,2006,8.0,PG-13,117,"Biography, Drama"
Big Daddy,1999,6.4,PG-13,93,"Comedy, Drama"
Clash of the Titans,2010,5.8,PG-13,106,"Action, Adventure, Fantasy"
The Sound of Music,1965,8.0,G,172,"Biography, Drama, Family"
The SpongeBob Movie: Sponge Out of Water,2015,6.0,PG,92,"Animation, Action, Adventure"
Batman Returns,1992,7.0,PG-13,126,"Action, Crime, Fantasy"
Django Unchained,2012,8.4,R,165,"Drama, Western"
A Bug's Life,1998,7.2,G,95,"Animation, Adventure, Comedy"
Jason Bourne,2016,6.6,PG-13,123,"Action, Thriller"
Grown Ups,2010,5.9,PG-13,102,Comedy
The Waterboy,1998,6.1,PG-13,90,"Comedy, Sport"
Ice Age: Continental Drift,2012,6.6,PG,88,"Animation, Adventure, Comedy"
Straight Outta Compton,2015,7.8,R,147,"Biography, Drama, History"
Die Another Day,2002,6.1,PG-13,133,"Action, Adventure, Thriller"
Shark Tale,2004,6.0,PG,90,"Animation, Adventure, Comedy"
How to Train Your Dragon: The Hidden World,2019,7.5,PG,104,"Animation, Action, Adventure"
The Sting,1973,8.3,PG,129,"Comedy, Crime, Drama"
The Heat,2013,6.6,R,117,"Action, Comedy, Crime"
Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,PG-13,134,"Adventure, Family, Fantasy"
Halloween,2018,6.6,R,106,"Crime, Horror, Thriller"
1917,2019,8.3,R,119,"Drama, War"
The Secret Life of Pets 2,2019,6.5,PG,86,"Animation, Adventure, Comedy"
Star Trek Beyond,2016,7.1,PG-13,122,"Action, Adventure, Sci-Fi"
The Firm,1993,6.8,R,154,"Drama, Mystery, Thriller"
The Longest Yard,2005,6.4,PG-13,113,"Comedy, Crime, Sport"
X-Men,2000,7.4,PG-13,104,"Action, Adventure, Sci-Fi"
Scary Movie,2000,6.2,R,88,Comedy
Fatal Attraction,1987,6.9,R,119,"Drama, Thriller"
Who Framed Roger Rabbit,1988,7.7,PG,104,"Animation, Adventure, Comedy"
What Lies Beneath,2000,6.6,PG-13,130,"Drama, Fantasy, Horror"
X-Men: Apocalypse,2016,6.9,PG-13,144,"Action, Adventure, Sci-Fi"
Snow White and the Huntsman,2012,6.1,PG-13,127,"Action, Adventure, Drama"
The Mummy,1999,7.0,PG-13,124,"Action, Adventure, Fantasy"
San Andreas,2015,6.0,PG-13,114,"Action, Adventure, Drama"
Fast & Furious,2009,6.6,PG-13,107,"Action, Thriller"
Over the Hedge,2006,6.7,PG,83,"Animation, Adventure, Comedy"
Fantastic Four,2005,5.7,PG-13,106,"Action, Adventure, Fantasy"
Horton Hears a Who!,2008,6.8,G,86,"Animation, Adventure, Comedy"
Mad Max: Fury Road,2015,8.1,R,120,"Action, Adventure, Sci-Fi"
Jerry Maguire,1996,7.3,R,139,"Comedy, Drama, Romance"
Trolls,2016,6.5,PG,92,"Animation, Adventure, Comedy"
Beverly Hills Cop II,1987,6.5,R,100,"Action, Comedy, Crime"
Scooby-Doo,2002,5.1,PG,86,"Adventure, Comedy, Family"
Cars 3,2017,6.7,G,102,"Animation, Adventure, Comedy"
Sex and the City,2008,5.6,R,145,"Comedy, Drama, Romance"
G.I. Joe: The Rise of Cobra,2009,5.8,PG-13,118,"Action, Adventure, Sci-Fi"
Runaway Bride,1999,5.6,PG,116,"Comedy, Romance"
La La Land,2016,8.0,PG-13,128,"Comedy, Drama, Music"
Divergent,2014,6.7,PG-13,139,"Action, Adventure, Mystery"
