,movie,release_date,release_month,release_day,release_year
39,The Beloved Rogue,1927-03-12,March,Saturday,1927
40,The Ocean Hop,1927-11-14,November,Monday,1927
41,The Love of Sunya,1927-03-11,March,Friday,1927
42,Captain Salvation,1927-05-14,May,Saturday,1927
43,Should Men Walk Home?,1927-01-29,January,Saturday,1927
44,Slipping Wives,1927-04-03,April,Sunday,1927
45,All Wet,1927-10-31,October,Monday,1927
46,Winners Of The Wilderness,1927-01-15,January,Saturday,1927
47,Sensation Seekers,1927-03-21,March,Monday,1927
48,Dress Parade,1927-10-26,October,Wednesday,1927
49,Quality Street,1927-11-01,November,Tuesday,1927
50,Prudence,1927-05-27,May,Friday,1927
51,The Angel of Broadway,1927-10-02,October,Sunday,1927
52,Character Studies,1927-11-20,November,Sunday,1927
53,Alice the Whaler,1927-01-01,January,Saturday,1927
54,Orchids and Ermine,1927-03-06,March,Sunday,1927
55,The Gaucho,1927-11-21,November,Monday,1927
56,Long Pants,1927-03-26,March,Saturday,1927
57,Figures Don't Lie,1927-10-08,October,Saturday,1927
58,The Rough Riders,1927-09-30,September,Friday,1927
59,We're All Gamblers,1927-09-03,September,Saturday,1927
60,The Night of Love,1927-01-22,January,Saturday,1927
61,Great Guns,1927-10-16,October,Sunday,1927
62,The Fighting Eagle,1927-08-28,August,Sunday,1927
63,Breakfast at Sunrise,1927-10-23,October,Sunday,1927
64,The Drop Kick,1927-09-25,September,Sunday,1927
65,The Show,1927-01-22,January,Saturday,1927
66,Women Love Diamonds,1927-02-12,February,Saturday,1927
67,The First Auto,1927-09-18,September,Sunday,1927
68,The Flag: A Story Inspired by the Tradition of Betsy Ross,1927-10-01,October,Saturday,1927
69,Venus of Venice,1927-03-20,March,Sunday,1927
70,The Joy Girl,1927-09-03,September,Saturday,1927
71,The Devil Dancer,1927-11-03,November,Thursday,1927
72,A Million Bid,1927-05-27,May,Friday,1927
73,The Forbidden Woman,1927-10-28,October,Friday,1927
74,The Main Event,1927-11-18,November,Friday,1927
75,Husband Hunters,1927-01-15,January,Saturday,1927
76,Fighting Love,1927-02-14,February,Monday,1927
77,The Sea Tiger,1927-02-27,February,Sunday,1927
78,Tillie the Toiler,1927-06-05,June,Sunday,1927
79,What Happened To Father,1927-06-25,June,Saturday,1927
80,The Circus Ace,1927-06-26,June,Sunday,1927
81,The Last Outlaw,1927-07-01,July,Friday,1927
82,Don't Tell Everything,1927-07-02,July,Saturday,1927
83,Lonesome Ladies,1927-07-03,July,Sunday,1927
84,The Heart of Maryland,1927-07-23,July,Saturday,1927
85,Rose of the Golden West,1927-09-25,September,Sunday,1927
86,American Beauty,1927-10-09,October,Sunday,1927
87,Becky,1927-11-12,November,Saturday,1927
88,The 13th Juror,1927-11-13,November,Sunday,1927
89,Very Confidential,1927-11-06,November,Sunday,1927
90,The Satin Woman,1927-07-24,July,Sunday,1927
91,A Sailor's Sweetheart,1927-09-24,September,Saturday,1927
92,The Love Mart,1927-12-18,December,Sunday,1927
93,The Bugle Call,1927-08-06,August,Saturday,1927
94,Babe Comes Home,1927-05-22,May,Sunday,1927
95,Annie Laurie,1927-05-10,May,Tuesday,1927
96,Fluttering Hearts,1927-06-19,June,Sunday,1927
97,Broadway Nights,1927-05-15,May,Sunday,1927
98,Simple Sis,1927-06-01,June,Wednesday,1927
99,Alice's Channel Swim,1927-06-12,June,Sunday,1927
100,Tarzan and the Golden Lion,1927-03-20,March,Sunday,1927
101,The Scar of Shame,1927-04-28,April,Thursday,1927
102,White Gold,1927-02-24,February,Thursday,1927
103,Hotel Imperial,1927-01-01,January,Saturday,1927
104,The Lady in Ermine,1927-01-01,January,Saturday,1927
105,The Loves of Carmen,1927-09-03,September,Saturday,1927
106,Broke in China,1927-04-23,April,Saturday,1927
107,One Woman to Another,1927-09-17,September,Saturday,1927
108,The Crystal Cup,1927-10-16,October,Sunday,1927
109,"Slide, Kelly, Slide",1927-03-12,March,Saturday,1927
110,Rough House Rosie,1927-05-14,May,Saturday,1927
111,Twelve Miles Out,1927-07-08,July,Friday,1927
112,The Sting of Stings,1927-09-03,September,Saturday,1927
113,The World At Her Feet,1927-05-14,May,Saturday,1927
114,The Callahans and the Murphys,1927-06-18,June,Saturday,1927
115,The Way of All Pants,1927-10-28,October,Friday,1927
116,The City Gone Wild,1927-11-12,November,Saturday,1927
117,Fiddlesticks,1927-11-27,November,Sunday,1927
118,The Dove,1927-12-31,December,Saturday,1927
119,Girls,1927-03-27,March,Sunday,1927
120,Hills of Kentucky,1927-02-19,February,Saturday,1927
121,The Taxi Dancer,1927-02-05,February,Saturday,1927
122,Love My Dog,1927-04-16,April,Saturday,1927
123,Nevada,1927-08-01,August,Monday,1927
124,Alice's Medicine Show,1927-07-10,July,Sunday,1927
125,The Life of Riley,1927-09-03,September,Saturday,1927
126,She's a Sheik,1927-11-12,November,Saturday,1927
127,The Girl from Chicago,1927-11-19,November,Saturday,1927
128,Assistant Wives,1927-08-08,August,Monday,1927
129,Was die Kinder ihren Eltern verschweigen,1927-05-01,May,Sunday,1927
130,A Dog of the Regiment,1927-10-29,October,Saturday,1927
131,Anything Once!,1927-01-02,January,Sunday,1927
132,The Auctioneer,1927-01-16,January,Sunday,1927
133,The Prince of Headwaiters,1927-07-09,July,Saturday,1927
134,"East Side, West Side",1927-10-09,October,Sunday,1927
135,Burnt Fingers,1927-02-20,February,Sunday,1927
136,Chasing Choo Choos,1927-06-21,June,Tuesday,1927
137,The Border Cavalier,1927-09-18,September,Sunday,1927
138,A Wild Roomer,1927-11-01,November,Tuesday,1927
139,Alice's Circus Daze,1927-01-01,January,Saturday,1927
140,Outlaws of Red River,1927-05-08,May,Sunday,1927
141,Alice in the Klondike,1927-06-26,June,Sunday,1927
142,Alice the Collegiate,1927-03-07,March,Monday,1927
143,Border Blackbirds,1927-08-28,August,Sunday,1927
144,Flaming Fathers,1927-12-17,December,Saturday,1927
145,Many a Slip,1927-01-24,January,Monday,1927
146,Breezing Along,1927-05-01,May,Sunday,1927
147,Singed,1927-08-23,August,Tuesday,1927
148,Empty Socks,1927-12-12,December,Monday,1927
149,Heaven on Earth,1927-03-05,March,Saturday,1927
150,Daring Deeds,1927-04-30,April,Saturday,1927
151,Hidden Aces,1927-08-06,August,Saturday,1927
152,The Desired Woman,1927-08-27,August,Saturday,1927
153,Slightly Used,1927-09-03,September,Saturday,1927
154,A Gentleman of Paris,1927-09-30,September,Friday,1927
155,Blondes by Choice,1927-10-01,October,Saturday,1927
156,The College Widow,1927-10-15,October,Saturday,1927
157,Should Second Husbands Come First?,1927-10-23,October,Sunday,1927
158,Wild Geese,1927-11-15,November,Tuesday,1927
159,Spoilers of the West,1927-12-10,December,Saturday,1927
160,The Desert of the Lost,1927-12-17,December,Saturday,1927
161,Love's Greatest Mistake,1927-02-20,February,Sunday,1927
162,Fast and Furious,1927-06-12,June,Sunday,1927
163,The Opening Night,1927-11-14,November,Monday,1927
164,Finger Prints,1927-01-08,January,Saturday,1927
165,A Kiss in a Taxi,1927-02-22,February,Tuesday,1927
166,"Twinkle, Twinkle",1927-04-27,April,Wednesday,1927
167,Walt Disney Treasures: Oswald The Lucky Rabbit,1927-09-05,September,Monday,1927
168,Women's Wares,1927-10-01,October,Saturday,1927
169,Brass Knuckles,1927-12-03,December,Saturday,1927
170,The Shamrock and the Rose,1927-04-14,April,Thursday,1927
171,Alice's Knaughty Knight,1927-05-01,May,Sunday,1927
172,Time to Love,1927-06-18,June,Saturday,1927
173,His Dog,1927-07-24,July,Sunday,1927
174,The Thrill Seekers,1927-09-01,September,Thursday,1927
175,The Enemy,1927-12-08,December,Thursday,1927
176,The Two Fister,1927-01-07,January,Friday,1927
177,Bring Home the Turkey,1927-01-16,January,Sunday,1927
178,Senorita,1927-04-01,April,Friday,1927
179,Body and Soul,1927-10-01,October,Saturday,1927
180,The Private Life of Helen of Troy,1927-12-09,December,Friday,1927
181,Married Alive,1927-07-17,July,Sunday,1927
182,Her Wild Oat,1927-02-25,February,Friday,1927
183,Ko-Ko the Kop,1927-10-01,October,Saturday,1927
184,Tracked by the Police,1927-05-07,May,Saturday,1927
185,The Warning,1927-11-26,November,Saturday,1927
186,The Gorilla,1927-11-13,November,Sunday,1927
187,One Increasing Purpose,1927-01-02,January,Sunday,1927
188,Sally in Our Alley,1927-09-02,September,Friday,1927
189,Young April,1927-02-28,February,Monday,1927
190,The Princess from Hoboken,1927-03-01,March,Tuesday,1927
191,Bitter Apples,1927-04-23,April,Saturday,1927
192,The Heart of Salome,1927-05-08,May,Sunday,1927
193,Alice's Picnic,1927-05-29,May,Sunday,1927
194,Alias The Deacon,1927-06-20,June,Monday,1927
195,Good Time Charley,1927-11-04,November,Friday,1927
196,Blood Will Tell,1927-11-13,November,Sunday,1927
197,So This is Eden,1927-01-01,January,Saturday,1927
198,Thirty Years of Motion Pictures (The March of the Movies),1927-01-01,January,Saturday,1927
199,Technicolor Fashion Parade,1927-01-01,January,Saturday,1927
200,The American,1927-01-01,January,Saturday,1927
201,Stolen Pleasures,1927-01-05,January,Wednesday,1927
202,The Potters,1927-01-15,January,Saturday,1927
203,Wolf's Clothing,1927-01-15,January,Saturday,1927
204,The Masked Woman,1927-01-16,January,Sunday,1927
205,The Fortune Hunter,1927-01-18,January,Tuesday,1927
206,Don't Tell the Wife,1927-01-22,January,Saturday,1927
207,Alice Foils the Pirates,1927-01-24,January,Monday,1927
208,New York,1927-01-30,January,Sunday,1927
209,Van and Schenck 'The Pennant Winning Battery of Songland',1927-02-03,February,Thursday,1927
210,Alice at the Carnival,1927-02-07,February,Monday,1927
211,An Affair of the Follies,1927-02-13,February,Sunday,1927
212,The Broken Gate,1927-02-15,February,Tuesday,1927
213,The Demi-Bride,1927-02-19,February,Saturday,1927
214,The Bachelor's Baby,1927-02-20,February,Sunday,1927
215,The Understanding Heart,1927-02-26,February,Saturday,1927
216,The Gay Old Bird,1927-02-27,February,Sunday,1927
217,Grandpa's Boy,1927-03-06,March,Sunday,1927
218,White Flannels,1927-03-19,March,Saturday,1927
219,What Every Girl Should Know,1927-03-20,March,Sunday,1927
220,Alice in the Alps,1927-03-21,March,Monday,1927
221,The Telephone Girl,1927-03-26,March,Saturday,1927
222,Jungle Belles,1927-04-01,April,Friday,1927
223,Hawaiian Nights,1927-04-01,April,Friday,1927
224,Backstage,1927-04-01,April,Friday,1927
225,Waring's Pennsylvanians,1927-04-03,April,Sunday,1927
226,Matinee Ladies,1927-04-09,April,Saturday,1927
227,The Brute,1927-04-20,April,Wednesday,1927
228,Poor Girls,1927-05-05,May,Thursday,1927
229,The Missing Link,1927-05-06,May,Friday,1927
230,The Eyes of the Totem,1927-05-15,May,Sunday,1927
231,A Man About Town,1927-05-15,May,Sunday,1927
232,Irish Hearts,1927-05-21,May,Saturday,1927
233,Forbidden Daughters,1927-06-02,June,Thursday,1927
234,The Black Diamond Express,1927-06-04,June,Saturday,1927
235,The Romantic Age,1927-06-05,June,Sunday,1927
236,Bulldog Pluck,1927-06-12,June,Sunday,1927
237,Dearie,1927-06-18,June,Saturday,1927
238,The Happiness Boys,1927-06-28,June,Tuesday,1927
239,Phil Ohman & Victor Arden (Piano Duetists),1927-07-10,July,Sunday,1927
240,The Cameraman,1928-09-10,September,Monday,1928
241,The Circus,1928-01-06,January,Friday,1928
242,Steamboat Willie,1928-11-18,November,Sunday,1928
243,The Lodger: A Story of the London Fog,1928-06-10,June,Sunday,1928
244,October (Ten Days that Shook the World),1928-11-02,November,Friday,1928
245,The Docks of New York,1928-09-16,September,Sunday,1928
246,The Last Command,1928-01-21,January,Saturday,1928
247,Die Nibelungen: Kriemhilds Rache,1928-10-15,October,Monday,1928
248,The Man Who Laughs,1928-04-27,April,Friday,1928
249,The Wind,1928-10-12,October,Friday,1928
250,Speedy,1928-04-07,April,Saturday,1928
251,Four Sons,1928-02-13,February,Monday,1928
252,Lilac Time,1928-10-18,October,Thursday,1928
253,There It Is,1928-01-01,January,Sunday,1928
254,Lonesome,1928-06-20,June,Wednesday,1928
255,The End of St. Petersburg,1928-05-30,May,Wednesday,1928
256,Street Angel,1928-04-09,April,Monday,1928
257,Hangman's House,1928-05-13,May,Sunday,1928
258,Lights of New York,1928-07-18,July,Wednesday,1928
259,Pass the Gravy,1928-01-07,January,Saturday,1928
260,The Patsy,1928-04-22,April,Sunday,1928
261,The Hands of Orlac,1928-06-03,June,Sunday,1928
262,The Wedding March,1928-10-06,October,Saturday,1928
263,Riley the Cop,1928-11-25,November,Sunday,1928
264,Sadie Thompson,1928-01-07,January,Saturday,1928
265,White Shadows in the South Seas,1928-11-11,November,Sunday,1928
266,Leave 'Em Laughing,1928-01-28,January,Saturday,1928
267,In Old Arizona,1928-12-25,December,Tuesday,1928
268,The Trail of '98,1928-03-20,March,Tuesday,1928
269,Across to Singapore,1928-04-07,April,Saturday,1928
270,West of Zanzibar,1928-11-24,November,Saturday,1928
271,The Gallopin' Gaucho,1928-12-30,December,Sunday,1928
272,Underground,1928-07-01,July,Sunday,1928
273,While the City Sleeps,1928-02-15,February,Wednesday,1928
274,The Matinee Idol,1928-03-14,March,Wednesday,1928
275,You're Darn Tootin',1928-04-21,April,Saturday,1928
276,A Woman of Affairs,1928-12-15,December,Saturday,1928
277,Flying Elephants,1928-02-12,February,Sunday,1928
278,Rival Romeos,1928-03-18,March,Sunday,1928
279,The Mysterious Lady,1928-08-04,August,Saturday,1928
280,The Telltale Heart,1928-01-01,January,Sunday,1928
281,Beggars of Life,1928-09-22,September,Saturday,1928
282,Our Dancing Daughters,1928-09-01,September,Saturday,1928
283,The Fox Chase,1928-06-24,June,Sunday,1928
284,Habeas Corpus,1928-12-01,December,Saturday,1928
285,The Last Warning,1928-12-25,December,Tuesday,1928
286,The Power of the Press,1928-10-30,October,Tuesday,1928
287,"Laugh, Clown, Laugh",1928-04-14,April,Saturday,1928
288,The Cardboard Lover,1928-09-02,September,Sunday,1928
289,The Finishing Touch,1928-02-25,February,Saturday,1928
290,The Fall of the House of Usher,1928-12-31,December,Monday,1928
291,La Tour,1928-03-31,March,Saturday,1928
292,KoKo's Earth Control,1928-03-31,March,Saturday,1928
293,The Viking,1928-11-02,November,Friday,1928
294,Tall Timber,1928-07-08,July,Sunday,1928
295,Midnight Madness,1928-03-25,March,Sunday,1928
296,Early to Bed,1928-10-06,October,Saturday,1928
297,Two Tars,1928-11-03,November,Saturday,1928
298,The Singing Fool,1928-09-19,September,Wednesday,1928
299,Bright Lights,1928-03-05,March,Monday,1928
300,The Beau Brummels,1928-09-01,September,Saturday,1928
301,The Cossacks,1928-06-23,June,Saturday,1928
302,From Soup to Nuts,1928-03-24,March,Saturday,1928
303,A Ship Comes In,1928-01-04,January,Wednesday,1928
304,We Faw Down,1928-12-29,December,Saturday,1928
305,The Big Killing,1928-07-01,July,Sunday,1928
306,The Fleet's In,1928-09-15,September,Saturday,1928
307,Lucrezia Borgia,1928-12-21,December,Friday,1928
308,"Oh, What a Knight",1928-05-27,May,Sunday,1928
309,Should Married Men Go Home?,1928-09-08,September,Saturday,1928
310,Loves of an Actress,1928-08-18,August,Saturday,1928
311,Their Purple Moment,1928-05-19,May,Saturday,1928
312,Skyscraper,1928-04-08,April,Sunday,1928
313,Ozzie of the Mounted,1928-04-29,April,Sunday,1928
314,Fazil,1928-06-04,June,Monday,1928
315,A Lady of Chance,1928-12-01,December,Saturday,1928
316,Doomsday,1928-02-19,February,Sunday,1928
317,Sky Scrappers,1928-06-10,June,Sunday,1928
318,Telling the World,1928-06-30,June,Saturday,1928
319,The Ol' Gray Hoss,1928-10-19,October,Friday,1928
320,The Awakening,1928-03-14,March,Wednesday,1928
321,Shiraz: A Romance of India,1928-09-26,September,Wednesday,1928
322,A Girl in Every Port,1928-02-26,February,Sunday,1928
323,Christmas Day,1928-12-25,December,Tuesday,1928
324,Riding a Tricycle,1928-01-01,January,Sunday,1928
325,So This Is Love,1928-02-06,February,Monday,1928
326,Vamping Venus,1928-05-13,May,Sunday,1928
327,Dream of Love,1928-12-01,December,Saturday,1928
328,The Battle of the Sexes,1928-10-12,October,Friday,1928
329,The Showdown,1928-02-25,February,Saturday,1928
330,The Blue Danube,1928-03-11,March,Sunday,1928
331,The Baby Cyclone,1928-09-26,September,Wednesday,1928
332,The Woman Disputed,1928-09-01,September,Saturday,1928
333,4 Devils,1928-10-03,October,Wednesday,1928
334,Buck Privates,1928-01-29,January,Sunday,1928
335,Red Hair,1928-03-10,March,Saturday,1928
336,The Legion of the Condemned,1928-03-10,March,Saturday,1928
337,Domestic Troubles,1928-03-27,March,Tuesday,1928
338,The Crimson City,1928-04-07,April,Saturday,1928
339,The Lion and the Mouse,1928-05-21,May,Monday,1928
340,Street of Sin,1928-05-26,May,Saturday,1928
341,Clothes Make the Woman,1928-06-04,June,Monday,1928
342,Detectives,1928-06-09,June,Saturday,1928
343,3-Ring Marriage,1928-06-10,June,Sunday,1928
344,The Sex Life of the Polyp,1928-07-25,July,Wednesday,1928
345,A Little Bit of Fluff,1928-07-28,July,Saturday,1928
346,Warming Up,1928-08-04,August,Saturday,1928
347,Poor Papa,1928-08-05,August,Sunday,1928
348,Women They Talk About,1928-08-10,August,Friday,1928
349,Out of the Ruins,1928-08-19,August,Sunday,1928
350,The River Pirate,1928-08-26,August,Sunday,1928
351,Excess Baggage,1928-09-28,September,Friday,1928
352,The House of Shame,1928-10-01,October,Monday,1928
353,Freedom of the Press,1928-10-28,October,Sunday,1928
354,The Shopworn Angel,1928-12-29,December,Saturday,1928
355,Heart to Heart,1928-07-22,July,Sunday,1928
356,The Crash,1928-01-01,January,Sunday,1928
357,Three Sinners,1928-04-13,April,Friday,1928
358,San Francisco Nights,1928-05-01,May,Tuesday,1928
359,Tarzan the Mighty,1928-10-29,October,Monday,1928
360,The Home Towners,1928-11-02,November,Friday,1928
361,His Private Life,1928-11-17,November,Saturday,1928
362,Napoleon's Barber,1928-11-24,November,Saturday,1928
363,The Toilers,1928-10-01,October,Monday,1928
364,The Best Man,1928-02-08,February,Wednesday,1928
365,Companionate Marriage,1928-10-21,October,Sunday,1928
366,Tropic Madness,1928-12-19,December,Wednesday,1928
367,The Vanishing Pioneer,1928-06-23,June,Saturday,1928
368,The Boy Friend,1928-11-10,November,Saturday,1928
369,Hungry Hoboes,1928-05-13,May,Sunday,1928
370,The Michigan Kid,1928-10-20,October,Saturday,1928
371,Mother Machree,1928-01-22,January,Sunday,1928
372,Adoration,1928-12-02,December,Sunday,1928
373,Limousine Love,1928-04-13,April,Friday,1928
374,Fashion News,1928-11-06,November,Tuesday,1928
375,A Perfect Gentleman,1928-01-15,January,Sunday,1928
376,His Unlucky Night,1928-08-12,August,Sunday,1928
377,Beau Sabreur,1928-01-22,January,Sunday,1928
378,Rose-Marie,1928-02-11,February,Saturday,1928
379,Dressed to Kill,1928-03-17,March,Saturday,1928
380,Hello Cheyenne!,1928-05-13,May,Sunday,1928
381,The Sawdust Paradise,1928-06-28,June,Thursday,1928
382,The Garden of Eden,1928-02-04,February,Saturday,1928
383,Sleigh Bells,1928-07-27,July,Friday,1928
384,The Masks of the Devil,1928-11-17,November,Saturday,1928
385,Jazz Mad,1928-11-18,November,Sunday,1928
386,The First Kiss,1928-08-17,August,Friday,1928
387,The Barker,1928-12-09,December,Sunday,1928
388,The Water Hole,1928-08-25,August,Saturday,1928
389,Harem Scarem,1928-01-09,January,Monday,1928
390,The Sunset Legion,1928-04-21,April,Saturday,1928
391,State Street Sadie,1928-08-25,August,Saturday,1928
392,Manhattan Cowboy,1928-10-01,October,Monday,1928
393,The Floating College,1928-11-10,November,Saturday,1928
394,The Midnight Taxi,1928-09-01,September,Saturday,1928
395,Mexican-American Community in Corpus Christi,1928-01-01,January,Sunday,1928
396,Sinners' Parade,1928-09-14,September,Friday,1928
397,Three Weekends,1928-12-08,December,Saturday,1928
398,That Certain Thing,1928-01-01,January,Sunday,1928
399,Lady Be Good,1928-05-06,May,Sunday,1928
400,Pay as You Enter,1928-05-12,May,Saturday,1928
401,Just Married,1928-08-18,August,Saturday,1928
402,Feel My Pulse,1928-02-26,February,Sunday,1928
403,A Blonde for a Night,1928-02-25,February,Saturday,1928
404,The Mating Call,1928-07-21,July,Saturday,1928
405,Africa Before Dark,1928-02-28,February,Tuesday,1928
406,Should Tall Men Marry?,1928-01-15,January,Sunday,1928
407,The Spieler,1928-12-20,December,Thursday,1928
408,The Latest from Paris,1928-02-04,February,Saturday,1928
409,The Woman from Moscow,1928-11-03,November,Saturday,1928
410,Gribiche,1928-12-22,December,Saturday,1928
411,Tempest,1928-05-27,May,Sunday,1928
412,The Red Dance,1928-12-02,December,Sunday,1928
413,Scarlet Seas,1928-01-12,January,Thursday,1928
414,The Magnificent Flirt,1928-06-02,June,Saturday,1928
415,The River Woman,1928-12-01,December,Saturday,1928
416,The Phantom City,1928-12-27,December,Thursday,1928
417,"Easy Come, Easy Go",1928-04-20,April,Friday,1928
418,The Circus Kid,1928-10-07,October,Sunday,1928
419,Thunder Riders,1928-04-07,April,Saturday,1928
420,The Big Hop,1928-08-31,August,Friday,1928
421,The Cavalier,1928-11-01,November,Thursday,1928
422,Harold Teen,1928-04-28,April,Saturday,1928
423,Drums of Love,1928-03-30,March,Friday,1928
424,Skyline Dance,1928-01-01,January,Sunday,1928
425,Four Walls,1928-08-11,August,Saturday,1928
426,The Secret Hour,1928-02-04,February,Saturday,1928
427,Honeymoon,1928-12-29,December,Saturday,1928
428,Coney Island,1928-01-13,January,Friday,1928
429,The Cohens and the Kellys in Paris,1928-01-15,January,Sunday,1928
430,Gentlemen Prefer Blondes,1928-01-22,January,Sunday,1928
431,Came the Dawn,1928-03-03,March,Saturday,1928
432,Beware of Blondes,1928-07-01,July,Sunday,1928
433,Caught in the Fog,1928-08-24,August,Friday,1928
434,Heart Trouble,1928-10-01,October,Monday,1928
435,Abie's Irish Rose,1928-11-03,November,Saturday,1928
436,The Apache,1928-11-19,November,Monday,1928
437,What a Night!,1928-12-22,December,Saturday,1928
438,Manhattan Cocktail,1928-11-24,November,Saturday,1928
439,Night Watch,1928-09-09,September,Sunday,1928
440,Power,1928-09-23,September,Sunday,1928
441,The Last Moment,1928-02-15,February,Wednesday,1928
442,Red Riders of Canada,1928-04-04,April,Wednesday,1928
443,Honor Bound,1928-04-29,April,Sunday,1928
444,The Dragnet,1928-05-01,May,Tuesday,1928
445,The Good-Bye Kiss,1928-07-08,July,Sunday,1928
446,The Man from Headquarters,1928-08-27,August,Monday,1928
447,Conquest,1928-12-22,December,Saturday,1928
448,The Noose,1928-01-29,January,Sunday,1928
449,The Haunted House,1928-11-04,November,Sunday,1928
450,The Terror,1928-09-06,September,Thursday,1928
451,Woman Wise,1928-01-08,January,Sunday,1928
452,A Race for Life,1928-01-28,January,Saturday,1928
453,Under the Tonto Rim,1928-02-04,February,Saturday,1928
454,Melody of Love,1928-10-10,October,Wednesday,1928
455,Fiery Fireman,1928-10-15,October,Monday,1928
456,Finders Keepers,1928-02-18,February,Saturday,1928
457,Smith's Army Life,1928-02-06,February,Monday,1928
458,The Night Bird,1928-09-15,September,Saturday,1928
459,The Glorious Trail,1928-10-27,October,Saturday,1928
460,The Sporting Age,1928-03-02,March,Friday,1928
461,Revenge,1928-10-01,October,Monday,1928
462,Chicago After Midnight,1928-03-04,March,Sunday,1928
463,Scarlet Youth,1928-01-01,January,Sunday,1928
464,The Street of Illusion,1928-09-03,September,Monday,1928
465,Show Girl,1928-09-23,September,Sunday,1928
466,The IX Olympiad in Amsterdam,1928-01-01,January,Sunday,1928
467,"Chaz Chase, The Unique Comedian",1928-10-17,October,Wednesday,1928
468,In the Shadow of the Pole,1928-10-18,October,Thursday,1928
469,The Mysterious Airman,1928-06-01,June,Friday,1928
470,The Tragedy of Youth,1928-03-01,March,Thursday,1928
471,The Law of the Range,1928-01-21,January,Saturday,1928
472,The Desert Bride,1928-03-26,March,Monday,1928
473,Diamond Handcuffs,1928-05-05,May,Saturday,1928
474,Forbidden Hours,1928-06-16,June,Saturday,1928
475,Danger Street,1928-08-26,August,Sunday,1928
476,Beware of Bachelors,1928-10-26,October,Friday,1928
477,The Look Out Girl,1928-11-02,November,Friday,1928
478,Ko-Ko's Haunted House,1928-04-28,April,Saturday,1928
479,No Other Woman,1928-06-10,June,Sunday,1928
480,The Passion of Joan of Arc,1929-03-28,March,Thursday,1929
481,Häxan,1929-05-27,May,Monday,1929
482,Nosferatu,1929-06-03,June,Monday,1929
483,Man with a Movie Camera,1929-05-12,May,Sunday,1929
484,Pandora's Box,1929-12-01,December,Sunday,1929
485,Blackmail,1929-10-06,October,Sunday,1929
486,The Cocoanuts,1929-08-03,August,Saturday,1929
487,The Skeleton Dance,1929-08-29,August,Thursday,1929
488,The Broadway Melody,1929-02-01,February,Friday,1929
489,Weary River,1929-02-10,February,Sunday,1929
490,The Manxman,1929-12-16,December,Monday,1929
491,Spite Marriage,1929-03-24,March,Sunday,1929
492,Hallelujah,1929-08-20,August,Tuesday,1929
493,The Letter,1929-03-17,March,Sunday,1929
494,Spies,1929-03-04,March,Monday,1929
495,The Trespasser,1929-11-11,November,Monday,1929
496,The Mysterious Island,1929-10-05,October,Saturday,1929
497,Queen Kelly,1929-01-01,January,Tuesday,1929
498,Plane Crazy,1929-03-17,March,Sunday,1929
499,Perfect Day,1929-08-10,August,Saturday,1929
500,Sunnyside Up,1929-12-25,December,Wednesday,1929
501,Alibi,1929-04-20,April,Saturday,1929
502,Coquette,1929-03-30,March,Saturday,1929
503,The Last Performance,1929-10-13,October,Sunday,1929
504,They Go Boom!,1929-09-21,September,Saturday,1929
