Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Avengers: Age of Ultron,2015,Chris Evans,"Apr 22, 2015",365000000,459005868,1396099202
Avengers: Age of Ultron,2015,Mark Ruffalo,"Apr 22, 2015",365000000,459005868,1396099202
Avengers: Age of Ultron,2015,Chris Hemsworth,"Apr 22, 2015",365000000,459005868,1396099202
The Dark Knight Rises,2012,Christian Bale,"Jul 19, 2012",230000000,448139099,1082228107
The Dark Knight Rises,2012,Tom Hardy,"Jul 19, 2012",230000000,448139099,1082228107
The Dark Knight Rises,2012,Anne Hathaway,"Jul 19, 2012",230000000,448139099,1082228107
The Dark Knight Rises,2012,Gary Oldman,"Jul 19, 2012",230000000,448139099,1082228107
Shrek 2,2004,Mike Myers,"May 19, 2004",70000000,441226247,935253978
Shrek 2,2004,Eddie Murphy,"May 19, 2004",70000000,441226247,935253978
Shrek 2,2004,Cameron Diaz,"May 19, 2004",70000000,441226247,935253978
Shrek 2,2004,Julie Andrews,"May 19, 2004",70000000,441226247,935253978
Toy Story 4,2019,Tom Hanks,"Jun 20, 2019",200000000,434038008,1073394813
Toy Story 4,2019,Tim Allen,"Jun 20, 2019",200000000,434038008,1073394813
Toy Story 4,2019,Annie Potts,"Jun 20, 2019",200000000,434038008,1073394813
Toy Story 4,2019,Tony Hale,"Jun 20, 2019",200000000,434038008,1073394813
Captain Marvel,2019,Brie Larson,"Mar 6, 2019",175000000,426829839,1129729839
Captain Marvel,2019,Samuel L. Jackson,"Mar 6, 2019",175000000,426829839,1129729839
Captain Marvel,2019,Ben Mendelsohn,"Mar 6, 2019",175000000,426829839,1129729839
Captain Marvel,2019,Jude Law,"Mar 6, 2019",175000000,426829839,1129729839
The Hunger Games: Catching Fire,2013,Jennifer Lawrence,"Nov 15, 2013",130000000,424668047,864868047
The Hunger Games: Catching Fire,2013,Josh Hutcherson,"Nov 15, 2013",130000000,424668047,864868047
The Hunger Games: Catching Fire,2013,Liam Hemsworth,"Nov 15, 2013",130000000,424668047,864868047
The Hunger Games: Catching Fire,2013,Philip Seymour Hoffman,"Nov 15, 2013",130000000,424668047,864868047
The Lion King,1994,Matthew Broderick,"Jun 15, 1994",79300000,421785283,986214868
The Lion King,1994,Jeremy Irons,"Jun 15, 1994",79300000,421785283,986214868
The Lion King,1994,James Earl Jones,"Jun 15, 1994",79300000,421785283,986214868
The Lion King,1994,Whoopi Goldberg,"Jun 15, 1994",79300000,421785283,986214868
Jurassic World: Fallen Kingdom,2018,Chris Pratt,"Jun 6, 2018",170000000,417719760,1308470988
Jurassic World: Fallen Kingdom,2018,Bryce Dallas Howard,"Jun 6, 2018",170000000,417719760,1308470988
Jurassic World: Fallen Kingdom,2018,Rafe Spall,"Jun 6, 2018",170000000,417719760,1308470988
Jurassic World: Fallen Kingdom,2018,Justice Smith,"Jun 6, 2018",170000000,417719760,1308470988
Toy Story 3,2010,Tom Hanks,"Jun 18, 2010",200000000,415004880,1068879522
Toy Story 3,2010,Tim Allen,"Jun 18, 2010",200000000,415004880,1068879522
Toy Story 3,2010,Joan Cusack,"Jun 18, 2010",200000000,415004880,1068879522
Toy Story 3,2010,Ned Beatty,"Jun 18, 2010",200000000,415004880,1068879522
Wonder Woman,2017,Gal Gadot,"May 29, 2017",150000000,412563408,821133378
Wonder Woman,2017,Chris Pine,"May 29, 2017",150000000,412563408,821133378
Wonder Woman,2017,Robin Wright,"May 29, 2017",150000000,412563408,821133378
Wonder Woman,2017,Lucy Davis,"May 29, 2017",150000000,412563408,821133378
Captain America: Civil War,2016,Chris Evans,"Apr 22, 2016",250000000,408084349,1153284349
Captain America: Civil War,2016,Robert Downey Jr.,"Apr 22, 2016",250000000,408084349,1153284349
Captain America: Civil War,2016,Scarlett Johansson,"Apr 22, 2016",250000000,408084349,1153284349
Captain America: Civil War,2016,Sebastian Stan,"Apr 22, 2016",250000000,408084349,1153284349
The Hunger Games,2012,Jennifer Lawrence,"Mar 8, 2012",80000000,408010692,677923379
The Hunger Games,2012,Josh Hutcherson,"Mar 8, 2012",80000000,408010692,677923379
The Hunger Games,2012,Liam Hemsworth,"Mar 8, 2012",80000000,408010692,677923379
The Hunger Games,2012,Stanley Tucci,"Mar 8, 2012",80000000,408010692,677923379
Jumanji: Welcome to the Jungle,2017,Dwayne Johnson,"Dec 20, 2017",90000000,404508916,964496193
Jumanji: Welcome to the Jungle,2017,Karen Gillan,"Dec 20, 2017",90000000,404508916,964496193
Jumanji: Welcome to the Jungle,2017,Kevin Hart,"Dec 20, 2017",90000000,404508916,964496193
Jumanji: Welcome to the Jungle,2017,Jack Black,"Dec 20, 2017",90000000,404508916,964496193
Spider-Man,2002,Tobey Maguire,"May 3, 2002",139000000,403706375,821706375
Spider-Man,2002,Kirsten Dunst,"May 3, 2002",139000000,403706375,821706375
Spider-Man,2002,Willem Dafoe,"May 3, 2002",139000000,403706375,821706375
Spider-Man,2002,James Franco,"May 3, 2002",139000000,403706375,821706375
Jurassic Park,1993,Sam Neill,"Jun 11, 1993",63000000,402523348,1045627627
Jurassic Park,1993,Laura Dern,"Jun 11, 1993",63000000,402523348,1045627627
Jurassic Park,1993,Jeff Goldblum,"Jun 11, 1993",63000000,402523348,1045627627
Jurassic Park,1993,Richard Attenborough,"Jun 11, 1993",63000000,402523348,1045627627
Transformers: Revenge of the Fallen,2009,Shia LaBeouf,"Jun 24, 2009",210000000,402111870,836519699
Transformers: Revenge of the Fallen,2009,Megan Fox,"Jun 24, 2009",210000000,402111870,836519699
Transformers: Revenge of the Fallen,2009,Josh Duhamel,"Jun 24, 2009",210000000,402111870,836519699
Transformers: Revenge of the Fallen,2009,Tyrese Gibson,"Jun 24, 2009",210000000,402111870,836519699
Frozen,2013,Kristen Bell,"Nov 22, 2013",150000000,400738009,1268746174
Frozen,2013,Idina Menzel,"Nov 22, 2013",150000000,400738009,1268746174
Frozen,2013,Jonathan Groff,"Nov 22, 2013",150000000,400738009,1268746174
Frozen,2013,Josh Gad,"Nov 22, 2013",150000000,400738009,1268746174
Finding Nemo,2003,Albert Brooks,"May 30, 2003",94000000,380529370,936181011
Finding Nemo,2003,Ellen DeGeneres,"May 30, 2003",94000000,380529370,936181011
Finding Nemo,2003,Alexander Gould,"May 30, 2003",94000000,380529370,936181011
Finding Nemo,2003,Willem Dafoe,"May 30, 2003",94000000,380529370,936181011
The Lord of the Rings: The Return of the King,2003,Elijah Wood,"Dec 17, 2003",94000000,377845905,1120224046
The Lord of the Rings: The Return of the King,2003,Viggo Mortensen,"Dec 17, 2003",94000000,377845905,1120224046
The Lord of the Rings: The Return of the King,2003,Ian McKellen,"Dec 17, 2003",94000000,377845905,1120224046
The Lord of the Rings: The Return of the King,2003,Orlando Bloom,"Dec 17, 2003",94000000,377845905,1120224046
Spider-Man 2,2004,Tobey Maguire,"Jun 30, 2004",200000000,373524485,794697557
Spider-Man 2,2004,Kirsten Dunst,"Jun 30, 2004",200000000,373524485,794697557
Spider-Man 2,2004,Alfred Molina,"Jun 30, 2004",200000000,373524485,794697557
Spider-Man 2,2004,James Franco,"Jun 30, 2004",200000000,373524485,794697557
The Secret Life of Pets,2016,Louis C.K.,"May 8, 2016",75000000,368384330,886606412
The Secret Life of Pets,2016,Eric Stonestreet,"May 8, 2016",75000000,368384330,886606412
The Secret Life of Pets,2016,Kevin Hart,"May 8, 2016",75000000,368384330,886606412
The Secret Life of Pets,2016,Lake Bell,"May 8, 2016",75000000,368384330,886606412
Despicable Me 2,2013,Steve Carell,"Jun 26, 2013",76000000,368065385,975216835
Despicable Me 2,2013,Kristen Wiig,"Jun 26, 2013",76000000,368065385,975216835
Despicable Me 2,2013,Benjamin Bratt,"Jun 26, 2013",76000000,368065385,975216835
Despicable Me 2,2013,Miranda Cosgrove,"Jun 26, 2013",76000000,368065385,975216835
The Jungle Book,2016,Neel Sethi,"Apr 7, 2016",175000000,364001123,960360109
The Jungle Book,2016,Bill Murray,"Apr 7, 2016",175000000,364001123,960360109
The Jungle Book,2016,Ben Kingsley,"Apr 7, 2016",175000000,364001123,960360109
The Jungle Book,2016,Idris Elba,"Apr 7, 2016",175000000,364001123,960360109
Deadpool,2016,Ryan Reynolds,"Feb 9, 2016",58000000,363070709,785025593
Deadpool,2016,Morena Baccarin,"Feb 9, 2016",58000000,363070709,785025593
Deadpool,2016,T.J. Miller,"Feb 9, 2016",58000000,363070709,785025593
Deadpool,2016,Ed Skrein,"Feb 9, 2016",58000000,363070709,785025593
Inside Out,2015,Amy Poehler,"Jun 12, 2015",175000000,356461711,855210203
Inside Out,2015,Bill Hader,"Jun 12, 2015",175000000,356461711,855210203
Inside Out,2015,Lewis Black,"Jun 12, 2015",175000000,356461711,855210203
Inside Out,2015,Mindy Kaling,"Jun 12, 2015",175000000,356461711,855210203
Aladdin,2019,Will Smith,"May 22, 2019",182000000,355559216,1050959216
Aladdin,2019,Mena Massoud,"May 22, 2019",182000000,355559216,1050959216
Aladdin,2019,Naomi Scott,"May 22, 2019",182000000,355559216,1050959216
Aladdin,2019,Marwan Kenzari,"May 22, 2019",182000000,355559216,1050959216
Furious 7,2015,Vin Diesel,"Apr 1, 2015",190000000,353007020,1518722794
Furious 7,2015,Paul Walker,"Apr 1, 2015",190000000,353007020,1518722794
Furious 7,2015,Dwayne Johnson,"Apr 1, 2015",190000000,353007020,1518722794
Furious 7,2015,Jason Statham,"Apr 1, 2015",190000000,353007020,1518722794
Transformers: Dark of the Moon,2011,Shia LaBeouf,"Jun 29, 2011",195000000,352390543,1123794079
Transformers: Dark of the Moon,2011,Rosie Huntington-Whiteley,"Jun 29, 2011",195000000,352390543,1123794079
Transformers: Dark of the Moon,2011,Tyrese Gibson,"Jun 29, 2011",195000000,352390543,1123794079
Transformers: Dark of the Moon,2011,Josh Duhamel,"Jun 29, 2011",195000000,352390543,1123794079
American Sniper,2014,Bradley Cooper,"Dec 25, 2014",58000000,350126372,547326372
American Sniper,2014,Sienna Miller,"Dec 25, 2014",58000000,350126372,547326372
American Sniper,2014,Kyle Gallner,"Dec 25, 2014",58000000,350126372,547326372
American Sniper,2014,Cole Konis,"Dec 25, 2014",58000000,350126372,547326372
The Lord of the Rings: The Two Towers,2002,Elijah Wood,"Dec 18, 2002",94000000,342548984,927598249
The Lord of the Rings: The Two Towers,2002,Ian McKellen,"Dec 18, 2002",94000000,342548984,927598249
The Lord of the Rings: The Two Towers,2002,Viggo Mortensen,"Dec 18, 2002",94000000,342548984,927598249
The Lord of the Rings: The Two Towers,2002,Orlando Bloom,"Dec 18, 2002",94000000,342548984,927598249
Zootopia,2016,Ginnifer Goodwin,"Feb 10, 2016",150000000,341268248,1023784195
Zootopia,2016,Jason Bateman,"Feb 10, 2016",150000000,341268248,1023784195
Zootopia,2016,Idris Elba,"Feb 10, 2016",150000000,341268248,1023784195
Zootopia,2016,Jenny Slate,"Feb 10, 2016",150000000,341268248,1023784195
The Hunger Games: Mockingjay - Part 1,2014,Jennifer Lawrence,"Nov 19, 2014",125000000,337135885,766575131
The Hunger Games: Mockingjay - Part 1,2014,Josh Hutcherson,"Nov 19, 2014",125000000,337135885,766575131
The Hunger Games: Mockingjay - Part 1,2014,Liam Hemsworth,"Nov 19, 2014",125000000,337135885,766575131
The Hunger Games: Mockingjay - Part 1,2014,Woody Harrelson,"Nov 19, 2014",125000000,337135885,766575131
Spider-Man 3,2007,Tobey Maguire,"May 4, 2007",258000000,336530303,894860230
Spider-Man 3,2007,Kirsten Dunst,"May 4, 2007",258000000,336530303,894860230
Spider-Man 3,2007,Topher Grace,"May 4, 2007",258000000,336530303,894860230
Spider-Man 3,2007,Thomas Haden Church,"May 4, 2007",258000000,336530303,894860230
Minions,2015,Sandra Bullock,"Jun 17, 2015",74000000,336045770,1159631140
Minions,2015,Jon Hamm,"Jun 17, 2015",74000000,336045770,1159631140
Minions,2015,Michael Keaton,"Jun 17, 2015",74000000,336045770,1159631140
Minions,2015,Pierre Coffin,"Jun 17, 2015",74000000,336045770,1159631140
Joker,2019,Joaquin Phoenix,"Oct 2, 2019",55000000,335451311,1072722593
Joker,2019,Robert De Niro,"Oct 2, 2019",55000000,335451311,1072722593
Joker,2019,Zazie Beetz,"Oct 2, 2019",55000000,335451311,1072722593
Joker,2019,Frances Conroy,"Oct 2, 2019",55000000,335451311,1072722593
Aquaman,2018,Jason Momoa,"Dec 6, 2018",160000000,335061807,1143966520
Aquaman,2018,Amber Heard,"Dec 6, 2018",160000000,335061807,1143966520
Aquaman,2018,Willem Dafoe,"Dec 6, 2018",160000000,335061807,1143966520
Aquaman,2018,Patrick Wilson,"Dec 6, 2018",160000000,335061807,1143966520
Spider-Man: Homecoming,2017,Tom Holland,"Jul 5, 2017",175000000,334201140,880166350
Spider-Man: Homecoming,2017,Michael Keaton,"Jul 5, 2017",175000000,334201140,880166350
Spider-Man: Homecoming,2017,Robert Downey Jr.,"Jul 5, 2017",175000000,334201140,880166350
Spider-Man: Homecoming,2017,Marisa Tomei,"Jul 5, 2017",175000000,334201140,880166350
Alice in Wonderland,2010,Mia Wasikowska,"Mar 5, 2010",200000000,334191110,1025491110
Alice in Wonderland,2010,Johnny Depp,"Mar 5, 2010",200000000,334191110,1025491110
Alice in Wonderland,2010,Helena Bonham Carter,"Mar 5, 2010",200000000,334191110,1025491110
Alice in Wonderland,2010,Anne Hathaway,"Mar 5, 2010",200000000,334191110,1025491110
Guardians of the Galaxy,2014,Chris Pratt,"Jul 31, 2014",170000000,333172112,771137007
Guardians of the Galaxy,2014,Vin Diesel,"Jul 31, 2014",170000000,333172112,771137007
Guardians of the Galaxy,2014,Bradley Cooper,"Jul 31, 2014",170000000,333172112,771137007
Guardians of the Galaxy,2014,Zoe Saldana,"Jul 31, 2014",170000000,333172112,771137007
Batman v Superman: Dawn of Justice,2016,Ben Affleck,"Mar 23, 2016",263000000,330360194,872395091
Batman v Superman: Dawn of Justice,2016,Henry Cavill,"Mar 23, 2016",263000000,330360194,872395091
Batman v Superman: Dawn of Justice,2016,Amy Adams,"Mar 23, 2016",263000000,330360194,872395091
Batman v Superman: Dawn of Justice,2016,Jesse Eisenberg,"Mar 23, 2016",263000000,330360194,872395091
Forrest Gump,1994,Tom Hanks,"Jul 6, 1994",55000000,330151138,679838260
Forrest Gump,1994,Robin Wright,"Jul 6, 1994",55000000,330151138,679838260
Forrest Gump,1994,Gary Sinise,"Jul 6, 1994",55000000,330151138,679838260
Forrest Gump,1994,Sally Field,"Jul 6, 1994",55000000,330151138,679838260
It,2017,Bill Skarsgård,"Aug 31, 2017",35000000,328828874,701720047
It,2017,Jaeden Martell,"Aug 31, 2017",35000000,328828874,701720047
It,2017,Finn Wolfhard,"Aug 31, 2017",35000000,328828874,701720047
It,2017,Sophia Lillis,"Aug 31, 2017",35000000,328828874,701720047
Suicide Squad,2016,Will Smith,"Aug 2, 2016",175000000,325100054,746846894
Suicide Squad,2016,Jared Leto,"Aug 2, 2016",175000000,325100054,746846894
Suicide Squad,2016,Margot Robbie,"Aug 2, 2016",175000000,325100054,746846894
Suicide Squad,2016,Viola Davis,"Aug 2, 2016",175000000,325100054,746846894
Deadpool 2,2018,Ryan Reynolds,"May 11, 2018",110000000,324591735,786680557
Deadpool 2,2018,Josh Brolin,"May 11, 2018",110000000,324591735,786680557
Deadpool 2,2018,Morena Baccarin,"May 11, 2018",110000000,324591735,786680557
Deadpool 2,2018,Julian Dennison,"May 11, 2018",110000000,324591735,786680557
Shrek the Third,2007,Mike Myers,"May 17, 2007",160000000,322719944,807330936
Shrek the Third,2007,Cameron Diaz,"May 17, 2007",160000000,322719944,807330936
Shrek the Third,2007,Eddie Murphy,"May 17, 2007",160000000,322719944,807330936
Shrek the Third,2007,Antonio Banderas,"May 17, 2007",160000000,322719944,807330936
Transformers,2007,Shia LaBeouf,"Jul 2, 2007",151000000,319246193,708272592
Transformers,2007,Megan Fox,"Jul 2, 2007",151000000,319246193,708272592
Transformers,2007,Josh Duhamel,"Jul 2, 2007",151000000,319246193,708272592
Transformers,2007,Tyrese Gibson,"Jul 2, 2007",151000000,319246193,708272592
Iron Man,2008,Robert Downey Jr.,"May 2, 2008",186000000,318604126,585171547
Iron Man,2008,Gwyneth Paltrow,"May 2, 2008",186000000,318604126,585171547
Iron Man,2008,Terrence Howard,"May 2, 2008",186000000,318604126,585171547
Iron Man,2008,Jeff Bridges,"May 2, 2008",186000000,318604126,585171547
Indiana Jones and the Kingdom of the Crystal Skull,2008,Harrison Ford,"May 22, 2008",185000000,317101119,786635413
Indiana Jones and the Kingdom of the Crystal Skull,2008,Cate Blanchett,"May 22, 2008",185000000,317101119,786635413
Indiana Jones and the Kingdom of the Crystal Skull,2008,Shia LaBeouf,"May 22, 2008",185000000,317101119,786635413
Indiana Jones and the Kingdom of the Crystal Skull,2008,Karen Allen,"May 22, 2008",185000000,317101119,786635413
Jumanji: The Next Level,2019,Dwayne Johnson,"Dec 4, 2019",125000000,316831246,796579674
Jumanji: The Next Level,2019,Jack Black,"Dec 4, 2019",125000000,316831246,796579674
Jumanji: The Next Level,2019,Kevin Hart,"Dec 4, 2019",125000000,316831246,796579674
Jumanji: The Next Level,2019,Karen Gillan,"Dec 4, 2019",125000000,316831246,796579674
The Lord of the Rings: The Fellowship of the Ring,2001,Elijah Wood,"Dec 19, 2001",109000000,315544750,887210985
The Lord of the Rings: The Fellowship of the Ring,2001,Ian McKellen,"Dec 19, 2001",109000000,315544750,887210985
The Lord of the Rings: The Fellowship of the Ring,2001,Orlando Bloom,"Dec 19, 2001",109000000,315544750,887210985
The Lord of the Rings: The Fellowship of the Ring,2001,Sean Bean,"Dec 19, 2001",109000000,315544750,887210985
Thor: Ragnarok,2017,Chris Hemsworth,"Oct 25, 2017",180000000,315058289,853958289
Thor: Ragnarok,2017,Tom Hiddleston,"Oct 25, 2017",180000000,315058289,853958289
Thor: Ragnarok,2017,Cate Blanchett,"Oct 25, 2017",180000000,315058289,853958289
Thor: Ragnarok,2017,Mark Ruffalo,"Oct 25, 2017",180000000,315058289,853958289
Iron Man 2,2010,Robert Downey Jr.,"May 7, 2010",170000000,312433331,621156389
Iron Man 2,2010,Mickey Rourke,"May 7, 2010",170000000,312433331,621156389
Iron Man 2,2010,Gwyneth Paltrow,"May 7, 2010",170000000,312433331,621156389
Iron Man 2,2010,Don Cheadle,"May 7, 2010",170000000,312433331,621156389
Independence Day,1996,Will Smith,"Jul 2, 1996",75000000,306169255,817400878
Independence Day,1996,Bill Pullman,"Jul 2, 1996",75000000,306169255,817400878
Independence Day,1996,Jeff Goldblum,"Jul 2, 1996",75000000,306169255,817400878
Independence Day,1996,Mary McDonnell,"Jul 2, 1996",75000000,306169255,817400878
Skyfall,2012,Daniel Craig,"Oct 26, 2012",200000000,304360277,1110526981
Skyfall,2012,Javier Bardem,"Oct 26, 2012",200000000,304360277,1110526981
Skyfall,2012,Naomie Harris,"Oct 26, 2012",200000000,304360277,1110526981
Skyfall,2012,Judi Dench,"Oct 26, 2012",200000000,304360277,1110526981
The Hobbit: An Unexpected Journey,2012,Martin Freeman,"Dec 11, 2012",200000000,303003568,1017003568
The Hobbit: An Unexpected Journey,2012,Ian McKellen,"Dec 11, 2012",200000000,303003568,1017003568
The Hobbit: An Unexpected Journey,2012,Richard Armitage,"Dec 11, 2012",200000000,303003568,1017003568
The Hobbit: An Unexpected Journey,2012,Andy Serkis,"Dec 11, 2012",200000000,303003568,1017003568
Harry Potter and the Half-Blood Prince,2009,Daniel Radcliffe,"Jul 15, 2009",250000000,302089278,935213767
Harry Potter and the Half-Blood Prince,2009,Emma Watson,"Jul 15, 2009",250000000,302089278,935213767
Harry Potter and the Half-Blood Prince,2009,Rupert Grint,"Jul 15, 2009",250000000,302089278,935213767
Harry Potter and the Half-Blood Prince,2009,Michael Gambon,"Jul 15, 2009",250000000,302089278,935213767
The Twilight Saga: Eclipse,2010,Kristen Stewart,"Jun 30, 2010",68000000,300531751,706102828
The Twilight Saga: Eclipse,2010,Robert Pattinson,"Jun 30, 2010",68000000,300531751,706102828
The Twilight Saga: Eclipse,2010,Taylor Lautner,"Jun 30, 2010",68000000,300531751,706102828
The Twilight Saga: Eclipse,2010,Xavier Samuel,"Jun 30, 2010",68000000,300531751,706102828
The Twilight Saga: New Moon,2009,Kristen Stewart,"Nov 19, 2009",50000000,296623634,687557727
The Twilight Saga: New Moon,2009,Robert Pattinson,"Nov 19, 2009",50000000,296623634,687557727
The Twilight Saga: New Moon,2009,Taylor Lautner,"Nov 19, 2009",50000000,296623634,687557727
The Twilight Saga: New Moon,2009,Christina Jastrzembska,"Nov 19, 2009",50000000,296623634,687557727
The Sixth Sense,1999,Bruce Willis,"Aug 6, 1999",40000000,293506292,672806292
The Sixth Sense,1999,Haley Joel Osment,"Aug 6, 1999",40000000,293506292,672806292
The Sixth Sense,1999,Toni Collette,"Aug 6, 1999",40000000,293506292,672806292
The Sixth Sense,1999,Olivia Williams,"Aug 6, 1999",40000000,293506292,672806292
Up,2009,Edward Asner,"May 28, 2009",175000000,293004164,731463377
Up,2009,Jordan Nagai,"May 28, 2009",175000000,293004164,731463377
Up,2009,John Ratzenberger,"May 28, 2009",175000000,293004164,731463377
Up,2009,Christopher Plummer,"May 28, 2009",175000000,293004164,731463377
Inception,2010,Leonardo DiCaprio,"Jul 16, 2010",160000000,292576195,832551961
Inception,2010,Joseph Gordon-Levitt,"Jul 16, 2010",160000000,292576195,832551961
Inception,2010,Ellen Page,"Jul 16, 2010",160000000,292576195,832551961
Inception,2010,Ken Watanabe,"Jul 16, 2010",160000000,292576195,832551961
Harry Potter and the Order of the Phoenix,2007,Daniel Radcliffe,"Jul 11, 2007",150000000,292137260,943076457
Harry Potter and the Order of the Phoenix,2007,Emma Watson,"Jul 11, 2007",150000000,292137260,943076457
Harry Potter and the Order of the Phoenix,2007,Rupert Grint,"Jul 11, 2007",150000000,292137260,943076457
Harry Potter and the Order of the Phoenix,2007,Brendan Gleeson,"Jul 11, 2007",150000000,292137260,943076457
Man of Steel,2013,Henry Cavill,"Jun 14, 2013",225000000,291045518,667999518
Man of Steel,2013,Amy Adams,"Jun 14, 2013",225000000,291045518,667999518
Man of Steel,2013,Michael Shannon,"Jun 14, 2013",225000000,291045518,667999518
Man of Steel,2013,Diane Lane,"Jun 14, 2013",225000000,291045518,667999518
Harry Potter and the Goblet of Fire,2005,Daniel Radcliffe,"Nov 18, 2005",150000000,290201752,897099794
Harry Potter and the Goblet of Fire,2005,Emma Watson,"Nov 18, 2005",150000000,290201752,897099794
Harry Potter and the Goblet of Fire,2005,Rupert Grint,"Nov 18, 2005",150000000,290201752,897099794
Harry Potter and the Goblet of Fire,2005,Eric Sykes,"Nov 18, 2005",150000000,290201752,897099794
