,film_name,film_year,awards_won,awards_nominated,win_rate
144,The Lost Thing,2010,1,1,1.0
145,God of Love,2010,1,1,1.0
146,The Wolfman,2010,1,1,1.0
147,Strangers No More,2010,1,1,1.0
148,Inside Job,2010,1,1,1.0
149,The Hurt Locker,2009,6,9,0.667
150,Avatar,2009,3,9,0.333
151,Precious,2009,2,6,0.333
152,Up,2009,2,5,0.4
153,Crazy Heart,2009,2,3,0.667
154,Inglourious Basterds,2009,1,8,0.125
155,Star Trek,2009,1,4,0.25
156,The Young Victoria,2009,1,3,0.333
157,The Blind Side,2009,1,2,0.5
158,Music by Prudence,2009,1,1,1.0
159,The Secret in Their Eyes,2009,1,1,1.0
160,The Cove,2009,1,1,1.0
161,The New Tenants,2009,1,1,1.0
162,Logorama,2009,1,1,1.0
163,Slumdog Millionaire,2008,8,10,0.8
164,The Curious Case of Benjamin Button,2008,3,13,0.231
165,Milk,2008,2,8,0.25
166,The Dark Knight,2008,2,8,0.25
167,WALL-E,2008,1,6,0.167
168,The Reader,2008,1,5,0.2
169,The Duchess,2008,1,2,0.5
170,Departures,2008,1,1,1.0
171,Vicky Cristina Barcelona,2008,1,1,1.0
172,Smile Pinki,2008,1,1,1.0
173,Man on Wire,2008,1,1,1.0
174,Toyland,2008,1,1,1.0
175,La Maison en Petits Cubes,2008,1,1,1.0
176,No Country for Old Men,2007,4,8,0.5
177,The Bourne Ultimatum,2007,3,3,1.0
178,There Will Be Blood,2007,2,8,0.25
179,La Vie en rose,2007,2,3,0.667
180,Atonement,2007,1,7,0.143
181,Michael Clayton,2007,1,7,0.143
182,Ratatouille,2007,1,5,0.2
183,Juno,2007,1,4,0.25
184,Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3,0.333
185,The Golden Compass,2007,1,2,0.5
186,Elizabeth: The Golden Age,2007,1,2,0.5
187,Taxi to the Dark Side,2007,1,1,1.0
188,Peter & the Wolf,2007,1,1,1.0
189,Once,2007,1,1,1.0
190,Le Mozart des pickpockets,2007,1,1,1.0
191,The Counterfeiters (Die Fälscher),2007,1,1,1.0
192,Freeheld,2007,1,1,1.0
193,The Departed,2006,4,5,0.8
194,Pan's Labyrinth (El laberinto del fauno),2006,3,6,0.5
195,Dreamgirls,2006,2,8,0.25
196,Little Miss Sunshine,2006,2,4,0.5
197,An Inconvenient Truth,2006,2,2,1.0
198,Babel,2006,1,7,0.143
199,The Queen,2006,1,6,0.167
200,Letters from Iwo Jima,2006,1,4,0.25
201,Pirates of the Caribbean: Dead Man's Chest,2006,1,4,0.25
202,The Danish Poet,2006,1,1,1.0
203,Happy Feet,2006,1,1,1.0
204,The Last King of Scotland,2006,1,1,1.0
205,The Lives of Others (Das Leben der Anderen),2006,1,1,1.0
206,Marie Antoinette,2006,1,1,1.0
207,West Bank Story,2006,1,1,1.0
208,The Blood of Yingzhou District,2006,1,1,1.0
209,Crash,2005,3,6,0.5
210,Brokeback Mountain,2005,3,8,0.375
211,Memoirs of a Geisha,2005,3,6,0.5
212,King Kong,2005,3,4,0.75
213,Capote,2005,1,5,0.2
214,Walk the Line,2005,1,5,0.2
215,The Constant Gardener,2005,1,4,0.25
216,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3,0.333
217,Hustle & Flow,2005,1,2,0.5
218,Syriana,2005,1,2,0.5
219,March of the Penguins (La Marche de l'empereur),2005,1,1,1.0
220,Six Shooter,2005,1,1,1.0
221,The Moon and the Son: An Imagined Conversation,2005,1,1,1.0
222,A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1,1.0
223,Tsotsi,2005,1,1,1.0
224,Wallace & Gromit: The Curse of the Were-Rabbit,2005,1,1,1.0
225,Million Dollar Baby,2004,4,7,0.571
226,The Aviator,2004,5,11,0.455
227,Ray,2004,2,6,0.333
228,The Incredibles,2004,2,4,0.5
229,Finding Neverland,2004,1,7,0.143
230,Sideways,2004,1,5,0.2
231,Lemony Snicket's A Series of Unfortunate Events,2004,1,4,0.25
232,Spider-Man 2,2004,1,3,0.333
233,Eternal Sunshine of the Spotless Mind,2004,1,2,0.5
234,The Motorcycle Diaries,2004,1,2,0.5
235,The Sea Inside,2004,1,2,0.5
236,Born into Brothels,2004,1,1,1.0
237,Mighty Times: The Children's March,2004,1,1,1.0
238,Wasp,2004,1,1,1.0
239,Ryan,2004,1,1,1.0
240,The Lord of the Rings: The Return of the King,2003,11,11,1.0
241,Master and Commander: The Far Side of the World,2003,2,10,0.2
242,Mystic River,2003,2,6,0.333
243,Cold Mountain,2003,1,7,0.143
244,Lost in Translation,2003,1,4,0.25
245,Finding Nemo,2003,1,4,0.25
246,The Barbarian Invasions,2003,1,2,0.5
247,Two Soldiers,2003,1,1,1.0
248,Monster,2003,1,1,1.0
249,Harvie Krumpet,2003,1,1,1.0
250,Chernobyl Heart,2003,1,1,1.0
251,The Fog of War,2003,1,1,1.0
252,Chicago,2002,6,13,0.462
253,The Pianist,2002,3,7,0.429
254,The Lord of the Rings: The Two Towers,2002,2,6,0.333
255,Frida,2002,2,6,0.333
256,The Hours,2002,1,9,0.111
257,Road to Perdition,2002,1,6,0.167
258,Adaptation,2002,1,4,0.25
259,Talk to Her (Hable con ella),2002,1,2,0.5
260,This Charming Man (Der Er En Yndig Mand),2002,1,1,1.0
261,Spirited Away,2002,1,1,1.0
262,Nowhere in Africa (Nirgendwo in Afrika),2002,1,1,1.0
263,The ChubbChubbs!,2002,1,1,1.0
264,Twin Towers,2002,1,1,1.0
265,Bowling for Columbine,2002,1,1,1.0
266,8 Mile,2002,1,1,1.0
267,A Beautiful Mind,2001,4,8,0.5
268,The Lord of the Rings: The Fellowship of the Ring,2001,4,13,0.308
269,Moulin Rouge!,2001,2,8,0.25
270,Black Hawk Down,2001,2,4,0.5
271,Gosford Park,2001,1,7,0.143
272,"Monsters, Inc.",2001,1,4,0.25
273,Pearl Harbor,2001,1,4,0.25
274,Iris,2001,1,3,0.333
275,Shrek,2001,1,2,0.5
276,Training Day,2001,1,2,0.5
277,Monster's Ball,2001,1,2,0.5
278,Thoth,2001,1,1,1.0
279,For the Birds,2001,1,1,1.0
280,No Man's Land,2001,1,1,1.0
281,Murder on a Sunday Morning (Un coupable idéal),2001,1,1,1.0
282,The Accountant,2001,1,1,1.0
283,Gladiator,2000,5,12,0.417
284,"Crouching Tiger, Hidden Dragon",2000,4,10,0.4
285,Traffic,2000,4,5,0.8
286,Erin Brockovich,2000,1,5,0.2
287,Almost Famous,2000,1,4,0.25
288,Wonder Boys,2000,1,3,0.333
289,How the Grinch Stole Christmas,2000,1,3,0.333
290,U-571,2000,1,2,0.5
291,Pollock,2000,1,2,0.5
292,Father and Daughter,2000,1,1,1.0
293,Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1,1.0
294,Quiero ser (I want to be...),2000,1,1,1.0
295,Big Mama,2000,1,1,1.0
296,American Beauty,1999,5,8,0.625
297,The Matrix,1999,4,4,1.0
298,The Cider House Rules,1999,2,7,0.286
299,Topsy-Turvy,1999,2,4,0.5
300,Sleepy Hollow,1999,1,3,0.333
301,Boys Don't Cry,1999,1,2,0.5
302,Tarzan,1999,1,1,1.0
303,One Day in September,1999,1,1,1.0
304,The Red Violin (Le violon rouge),1999,1,1,1.0
305,The Old Man and the Sea,1999,1,1,1.0
306,My Mother Dreams the Satan's Disciples in New York,1999,1,1,1.0
307,King Gimp,1999,1,1,1.0
308,"Girl, Interrupted",1999,1,1,1.0
309,All About My Mother (Todo sobre mi madre),1999,1,1,1.0
310,Shakespeare in Love,1998,7,13,0.538
311,Saving Private Ryan,1998,5,11,0.455
312,Life Is Beautiful (La vita è bella),1998,3,7,0.429
313,Elizabeth,1998,1,7,0.143
314,Gods and Monsters,1998,1,3,0.333
315,The Prince of Egypt,1998,1,2,0.5
316,Affliction,1998,1,2,0.5
317,What Dreams May Come,1998,1,2,0.5
318,The Personals,1998,1,1,1.0
319,The Last Days,1998,1,1,1.0
320,Election Night (Valgaften),1998,1,1,1.0
321,Bunny,1998,1,1,1.0
322,Titanic,1997,11,14,0.786
323,Good Will Hunting,1997,2,9,0.222
324,L.A. Confidential,1997,2,9,0.222
325,As Good as It Gets,1997,2,7,0.286
326,The Full Monty,1997,1,4,0.25
327,Men in Black,1997,1,3,0.333
328,Visas and Virtue,1997,1,1,1.0
329,Character (Karakter),1997,1,1,1.0
330,Geri's Game,1997,1,1,1.0
331,A Story of Healing,1997,1,1,1.0
332,The Long Way Home,1997,1,1,1.0
333,The English Patient,1996,9,12,0.75
334,Fargo,1996,2,7,0.286
335,Shine,1996,1,7,0.143
336,Evita,1996,1,5,0.2
337,Jerry Maguire,1996,1,5,0.2
338,Independence Day,1996,1,2,0.5
339,Emma,1996,1,2,0.5
340,Sling Blade,1996,1,2,0.5
341,The Ghost and the Darkness,1996,1,1,1.0
342,Kolya,1996,1,1,1.0
343,The Nutty Professor,1996,1,1,1.0
344,Quest,1996,1,1,1.0
345,When We Were Kings,1996,1,1,1.0
346,Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1,1.0
347,Dear Diary,1996,1,1,1.0
348,Braveheart,1995,5,10,0.5
349,Apollo 13,1995,2,9,0.222
350,Pocahontas,1995,2,2,1.0
351,The Usual Suspects,1995,2,2,1.0
352,Restoration,1995,2,2,1.0
353,Babe,1995,1,7,0.143
354,Sense and Sensibility,1995,1,7,0.143
355,Il Postino: The Postman,1995,1,5,0.2
356,Dead Man Walking,1995,1,4,0.25
357,Leaving Las Vegas,1995,1,4,0.25
358,Mighty Aphrodite,1995,1,2,0.5
359,Anne Frank Remembered,1995,1,1,1.0
360,A Close Shave,1995,1,1,1.0
361,Lieberman in Love,1995,1,1,1.0
362,One Survivor Remembers,1995,1,1,1.0
363,Antonia's Line (Antonia),1995,1,1,1.0
364,Toy Story,1995,0,3,0.0
365,Forrest Gump,1994,6,13,0.462
366,The Lion King,1994,2,4,0.5
367,Speed,1994,2,3,0.667
368,Ed Wood,1994,2,2,1.0
369,Pulp Fiction,1994,1,7,0.143
370,Bullets over Broadway,1994,1,7,0.143
371,The Madness of King George,1994,1,4,0.25
372,Legends of the Fall,1994,1,3,0.333
373,A Time for Justice,1994,1,1,1.0
374,Franz Kafka's It's a Wonderful Life,1994,1,1,1.0
375,Maya Lin: A Strong Clear Vision,1994,1,1,1.0
376,Burnt by the Sun (Utomlyonnye solntsem),1994,1,1,1.0
377,Trevor,1994,1,1,1.0
378,"The Adventures of Priscilla, Queen of the Desert",1994,1,1,1.0
379,Bob's Birthday,1994,1,1,1.0
380,Blue Sky,1994,1,1,1.0
381,Schindler's List,1993,7,12,0.583
382,The Piano,1993,3,8,0.375
383,Jurassic Park,1993,3,3,1.0
384,Philadelphia,1993,2,5,0.4
385,The Fugitive,1993,1,7,0.143
386,The Age of Innocence,1993,1,5,0.2
387,The Wrong Trousers,1993,1,1,1.0
388,Belle Epoque (The Beautiful Era),1993,1,1,1.0
389,I Am a Promise: The Children of Stanton Elementary School,1993,1,1,1.0
390,Mrs. Doubtfire,1993,1,1,1.0
391,Black Rider (Schwarzfahrer),1993,1,1,1.0
392,Defending Our Lives,1993,1,1,1.0
393,Unforgiven,1992,4,9,0.444
394,Howards End,1992,3,9,0.333
395,Bram Stoker's Dracula,1992,3,4,0.75
396,Aladdin,1992,2,5,0.4
397,The Crying Game,1992,1,6,0.167
398,Scent of a Woman,1992,1,4,0.25
399,A River Runs Through It,1992,1,3,0.333
400,Indochine,1992,1,2,0.5
401,My Cousin Vinny,1992,1,1,1.0
402,The Panama Deception,1992,1,1,1.0
403,Educating Peter,1992,1,1,1.0
404,The Last of the Mohicans,1992,1,1,1.0
405,Death Becomes Her,1992,1,1,1.0
406,Omnibus,1992,1,1,1.0
407,Mona Lisa Descending a Staircase,1992,1,1,1.0
408,The Silence of the Lambs,1991,5,7,0.714
409,Terminator 2: Judgment Day,1991,4,6,0.667
410,Bugsy,1991,2,10,0.2
411,JFK,1991,2,8,0.25
412,Beauty and the Beast,1991,2,6,0.333
413,Thelma & Louise,1991,1,6,0.167
414,The Fisher King,1991,1,5,0.2
415,In the Shadow of the Stars,1991,1,1,1.0
416,Manipulation,1991,1,1,1.0
417,Mediterraneo,1991,1,1,1.0
418,Session Man,1991,1,1,1.0
419,City Slickers,1991,1,1,1.0
420,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1,1.0
421,Dances with Wolves,1990,7,12,0.583
422,Dick Tracy,1990,3,7,0.429
423,Ghost,1990,2,5,0.4
424,Goodfellas,1990,1,6,0.167
425,The Hunt for Red October,1990,1,3,0.333
426,Reversal of Fortune,1990,1,3,0.333
427,Cyrano de Bergerac,1990,1,5,0.2
428,American Dream,1990,1,1,1.0
429,Journey of Hope (Reise der Hoffnung),1990,1,1,1.0
430,Days of Waiting,1990,1,1,1.0
431,Creature Comforts,1990,1,1,1.0
432,The Lunch Date,1990,1,1,1.0
433,Misery,1990,1,1,1.0
434,Total Recall,1990,0,2,0.0
435,Driving Miss Daisy,1989,4,9,0.444
436,Glory,1989,3,5,0.6
437,Born on the Fourth of July,1989,2,8,0.25
438,My Left Foot,1989,2,5,0.4
439,The Little Mermaid,1989,2,3,0.667
440,Dead Poets Society,1989,1,4,0.25
441,The Abyss,1989,1,4,0.25
442,Indiana Jones and the Last Crusade,1989,1,3,0.333
443,Henry V,1989,1,3,0.333
444,The Johnstown Flood,1989,1,1,1.0
445,Common Threads: Stories from the Quilt,1989,1,1,1.0
446,Cinema Paradiso,1989,1,1,1.0
447,Work Experience,1989,1,1,1.0
448,Batman,1989,1,1,1.0
449,Balance,1989,1,1,1.0
450,Rain Man,1988,4,8,0.5
451,Dangerous Liaisons,1988,3,7,0.429
452,Who Framed Roger Rabbit,1988,3,6,0.5
453,Mississippi Burning,1988,1,7,0.143
454,Working Girl,1988,1,6,0.167
455,The Accidental Tourist,1988,1,4,0.25
456,A Fish Called Wanda,1988,1,3,0.333
457,Pelle the Conqueror (Pelle erobreren),1988,1,2,0.5
458,The Accused,1988,1,1,1.0
459,The Appointments of Dennis Jennings,1988,1,1,1.0
460,Beetlejuice,1988,1,1,1.0
461,Bird,1988,1,1,1.0
462,Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1,1.0
463,The Milagro Beanfield War,1988,1,1,1.0
464,Tin Toy,1988,1,1,1.0
465,You Don't Have to Die,1988,1,1,1.0
466,The Last Emperor,1987,9,9,1.0
467,Moonstruck,1987,3,6,0.5
468,The Untouchables,1987,1,4,0.25
469,Babette's Feast (Babettes gæstebud),1987,1,1,1.0
470,Dirty Dancing,1987,1,1,1.0
471,Harry and the Hendersons,1987,1,1,1.0
472,Innerspace,1987,1,1,1.0
473,The Man Who Planted Trees (L' Homme qui plantait des arbres),1987,1,1,1.0
474,Ray's Male Heterosexual Dance Hall,1987,1,1,1.0
475,The Ten-Year Lunch,1987,1,1,1.0
476,Wall Street,1987,1,1,1.0
477,Young at Heart,1987,1,1,1.0
478,RoboCop,1987,0,2,0.0
479,Platoon,1986,4,8,0.5
480,A Room with a View,1986,3,8,0.375
481,Hannah and Her Sisters,1986,3,7,0.429
482,Aliens,1986,2,7,0.286
483,The Mission,1986,1,7,0.143
484,Children of a Lesser God,1986,1,5,0.2
485,The Color of Money,1986,1,4,0.25
486,Top Gun,1986,1,4,0.25
487,Round Midnight,1986,1,2,0.5
488,Artie Shaw: Time Is All You've Got,1986,1,1,1.0
489,The Assault (De Aanslag),1986,1,1,1.0
490,Down and Out in America,1986,1,1,1.0
491,The Fly,1986,1,1,1.0
492,A Greek Tragedy,1986,1,1,1.0
493,Precious Images,1986,1,1,1.0
494,"Women – for America, for the World",1986,1,1,1.0
495,Out of Africa,1985,7,11,0.636
496,Witness,1985,2,8,0.25
497,Cocoon,1985,2,2,1.0
498,Prizzi's Honor,1985,1,8,0.125
499,Back to the Future,1985,1,4,0.25
500,Kiss of the Spider Woman,1985,1,4,0.25
501,Ran,1985,1,4,0.25
502,The Official Story (La Historia Oficial),1985,1,2,0.5
503,The Trip to Bountiful,1985,1,2,0.5
504,White Nights,1985,1,2,0.5
505,Anna & Bella,1985,1,1,1.0
506,Broken Rainbow,1985,1,1,1.0
507,Mask,1985,1,1,1.0
508,Molly's Pilgrim,1985,1,1,1.0
509,Witness to War: Dr. Charlie Clements,1985,1,1,1.0
510,Amadeus,1984,8,11,0.727
511,The Killing Fields,1984,3,7,0.429
512,A Passage to India,1984,2,11,0.182
513,Places in the Heart,1984,2,7,0.286
514,Indiana Jones and the Temple of Doom,1984,1,2,0.5
515,Charade,1984,1,1,1.0
516,Dangerous Moves (La Diagonale du fou),1984,1,1,1.0
517,Purple Rain,1984,1,1,1.0
518,The Stone Carvers,1984,1,1,1.0
519,The Times of Harvey Milk,1984,1,1,1.0
520,Up,1984,1,1,1.0
521,The Woman in Red,1984,1,1,1.0
522,The River,1984,0,4,0.0
523,Terms of Endearment,1983,5,11,0.455
524,The Right Stuff,1983,4,8,0.5
525,Fanny & Alexander (Fanny och Alexander),1983,4,6,0.667
526,Tender Mercies,1983,2,5,0.4
527,Yentl,1983,1,5,0.2
528,Flashdance,1983,1,4,0.25
529,Boys and Girls,1983,1,1,1.0
530,Flamenco at 5:15,1983,1,1,1.0
531,He Makes Me Feel Like Dancin',1983,1,1,1.0
532,Sundae in New York,1983,1,1,1.0
533,The Year of Living Dangerously,1983,1,1,1.0
534,Return of the Jedi,1983,0,4,0.0
535,Gandhi,1982,8,11,0.727
536,E.T.: The Extra-Terrestrial,1982,4,9,0.444
537,An Officer and a Gentleman,1982,2,6,0.333
538,Tootsie,1982,1,10,0.1
539,Victor/Victoria,1982,1,7,0.143
540,Sophie's Choice,1982,1,5,0.2
541,Missing,1982,1,4,0.25
542,If You Love This Planet,1982,1,1,1.0
543,Just Another Missing Kid,1982,1,1,1.0
544,A Shocking Accident,1982,1,1,1.0
545,Tango,1982,1,1,1.0
546,To Begin Again (Volver a empezar),1982,1,1,1.0
547,Quest for Fire,1982,1,1,1.0
548,Chariots of Fire,1981,4,7,0.571
549,Raiders of the Lost Ark,1981,4,8,0.5
550,Reds,1981,3,12,0.25
551,On Golden Pond,1981,3,10,0.3
552,Arthur,1981,2,4,0.5
553,An American Werewolf in London,1981,1,1,1.0
554,Close Harmony,1981,1,1,1.0
555,Crac,1981,1,1,1.0
556,Genocide,1981,1,1,1.0
557,Mephisto,1981,1,1,1.0
558,Violet,1981,1,1,1.0
559,Ordinary People,1980,4,6,0.667
560,Tess,1980,3,6,0.5
561,Raging Bull,1980,2,8,0.25
562,Fame,1980,2,6,0.333
563,Melvin and Howard,1980,2,3,0.667
564,Coal Miner's Daughter,1980,1,7,0.143
565,The Empire Strikes Back,1980,1,3,0.333
566,The Dollar Bottom,1980,1,1,1.0
567,The Fly (A Légy),1980,1,1,1.0
568,From Mao to Mozart: Isaac Stern in China,1980,1,1,1.0
569,Karl Hess: Toward Liberty,1980,1,1,1.0
570,Moscow Does Not Believe in Tears,1980,1,1,1.0
571,Kramer vs. Kramer,1979,5,9,0.556
572,All That Jazz,1979,4,9,0.444
573,Apocalypse Now,1979,2,8,0.25
574,Norma Rae,1979,2,4,0.5
575,Breaking Away,1979,1,5,0.2
576,Alien,1979,1,2,0.5
577,Being There,1979,1,2,0.5
578,A Little Romance,1979,1,2,0.5
579,Best Boy,1979,1,1,1.0
580,Board and Care,1979,1,1,1.0
581,Every Child,1979,1,1,1.0
582,Paul Robeson: Tribute to an Artist,1979,1,1,1.0
583,The Tin Drum (Die Blechtrommel),1979,1,1,1.0
584,The Black Stallion,1979,0,2,0.0
585,The Deer Hunter,1978,5,9,0.556
586,Coming Home,1978,3,8,0.375
587,Midnight Express,1978,2,6,0.333
588,Heaven Can Wait,1978,1,9,0.111
589,Days of Heaven,1978,1,4,0.25
590,California Suite,1978,1,3,0.333
591,The Buddy Holly Story,1978,1,3,0.333
592,Death on the Nile,1978,1,1,1.0
593,The Flight of the Gossamer Condor,1978,1,1,1.0
594,Get Out Your Handkerchiefs (Préparez vos mouchoirs),1978,1,1,1.0
595,Scared Straight!,1978,1,1,1.0
596,Special Delivery,1978,1,1,1.0
597,Teenage Father,1978,1,1,1.0
598,Thank God It's Friday,1978,1,1,1.0
599,Superman,1978,0,3,0.0
600,Annie Hall,1977,4,5,0.8
601,Star Wars,1977,6,10,0.6
602,Julia,1977,3,11,0.273
603,Close Encounters of the Third Kind,1977,1,8,0.125
604,The Goodbye Girl,1977,1,5,0.2
605,A Little Night Music,1977,1,2,0.5
606,Gravity Is My Enemy,1977,1,1,1.0
607,I'll Find a Way,1977,1,1,1.0
608,Madame Rosa (La Vie devant soi),1977,1,1,1.0
609,The Sand Castle (Le Château de sable),1977,1,1,1.0
610,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1,1.0
611,You Light Up My Life,1977,1,1,1.0
612,Rocky,1976,3,10,0.3
613,Network,1976,4,10,0.4
614,All the President's Men,1976,4,8,0.5
615,Bound for Glory,1976,2,6,0.333
616,A Star Is Born,1976,1,4,0.25
617,Fellini's Casanova (Il Casanova di Federico Fellini),1976,1,2,0.5
618,The Omen,1976,1,2,0.5
619,Black and White in Color (Noirs et blancs en couleur),1976,1,1,1.0
620,"Harlan County, USA",1976,1,1,1.0
621,In the Region of Ice,1976,1,1,1.0
622,Leisure,1976,1,1,1.0
623,Number Our Days,1976,1,1,1.0
624,King Kong,1976,0,2,0.0
625,Logan's Run,1976,0,2,0.0
626,One Flew over the Cuckoo's Nest,1975,5,9,0.556
627,Barry Lyndon,1975,4,7,0.571
628,Jaws,1975,3,4,0.75
629,Dog Day Afternoon,1975,1,6,0.167
630,Nashville,1975,1,5,0.2
631,Shampoo,1975,1,4,0.25
632,The Sunshine Boys,1975,1,4,0.25
633,Angel and Big Joe,1975,1,1,1.0
