title,studio,domestic_gross,foreign_gross,year
Jackass 3-D,Paramount,117200000.0,54500000,2010
The Other Guys,Sony,119200000.0,51200000,2010
Unstoppable,Fox,81600000.0,86200000,2010
Step Up 3-D,Buena Vista,42400000.0,116900000,2010
The Book of Eli,WB,94800000.0,62300000,2010
The Town,WB,92200000.0,61800000,2010
Date Night,Fox,98700000.0,53600000,2010
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010
The Wolfman,Universal,62000000.0,77800000,2010
The Bounty Hunter,Sony,67099999.0,69300000,2010
Saw 3D,Lionsgate,45700000.0,90400000,2010
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000,2010
The Fighter,Paramount,93600000.0,35600000,2010
Predators,Fox,52000000.0,75200000,2010
Dear John,Screen Gems,80000000.0,35000000,2010
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010
Tooth Fairy,Fox,60000000.0,52400000,2010
Life as We Know It,WB,53400000.0,52300000,2010
Hereafter,WB,32700000.0,72500000,2010
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000,2010
Love and Other Drugs,Fox,32400000.0,70500000,2010
Aftershock (Tangshan Dadizhen),CL Western Town,63000.0,100200000,2010
Killers,Lionsgate,47100000.0,51100000,2010
Kick-Ass,Lionsgate,48100000.0,48100000,2010
Green Zone,Universal,35100000.0,59800000,2010
Nanny McPhee Returns,Universal,29000000.0,64200000,2010
Get Him to the Greek,Universal,61000000.0,30300000,2010
Burlesque,Screen Gems,39400000.0,50100000,2010
The Last Song,Buena Vista,63000000.0,26100000,2010
Dinner for Schmucks,Pixar/Dreamworks,73000000.0,13800000,2010
Marmaduke,Fox,33600000.0,50100000,2010
Piranha 3D,Wein/Dimension,25000000.0,58200000,2010
Oceans,Buena Vista,19400000.0,63200000,2010
Edge of Darkness,WB,43300000.0,37800000,2010
Vampires Suck,Fox,36700000.0,43900000,2010
Letters to Juliet,Sumbadhat Productions,53000000.0,26100000,2010
The Back-Up Plan,CBS,37500000.0,40000000,2010
If You Are the One 2 (Fei Cheng Wu Rao II),CL Western Town,427000.0,75600000,2010
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010
Easy A,Screen Gems,58400000.0,16600000,2010
Hubble 3D,WB,52400000.0,21500000,2010
Takers,Screen Gems,57700000.0,11300000,2010
Tales from Earthsea,Buena Vista,48500.0,68600000,2010
Legion (2010),Screen Gems,40200000.0,27800000,2010
The American,Focus Features,35600000.0,32299999,2010
The Last Exorcism,Lionsgate,41000000.0,26700000,2010
The Next Three Days,Lionsgate,21100000.0,46300000,2010
The Girl Who Played with Fire,MBox,7600000.0,59500000,2010
Skyline,Universal,21400000.0,45400000,2010
Devil,Universal,33600000.0,29100000,2010
127 Hours,Fox Searchlight,18300000.0,42400000,2010
Tyler Perry's Why Did I Get Married Too?,Lionsgate,60100000.0,578000,2010
Secretariat,Buena Vista,59700000.0,537000,2010
The Ghost Writer,Sumbadhat Productions,15500000.0,44700000,2010
Morning Glory,Paramount,31000000.0,29000000,2010
Remember Me,Sumbadhat Productions,19100000.0,37000000,2010
Cop Out,WB,44900000.0,10700000,2010
The Crazies,Overture,39100000.0,15700000,2010
From Paris with Love,Lionsgate,24100000.0,28700000,2010
Daybreakers,Lionsgate,30100000.0,21300000,2010
Alpha and Omega,Lionsgate,25100000.0,25400000,2010
She's Out of My League,Paramount,32000000.0,17800000,2010
Death at a Funeral (2010),Screen Gems,42700000.0,6300000,2010
How Do You Know,Sony,30200000.0,18500000,2010
Charlie St. Cloud,Universal,31200000.0,17000000,2010
Scott Pilgrim vs. the World,Universal,31500000.0,16100000,2010
Heartbreaker,IFC Films,504000.0,46900000,2010
The Spy Next Door,Lionsgate,24300000.0,20900000,2010
"The Good, the Bad, the Weird",IFC Films,128000.0,44100000,2010
Machete,Fox,26600000.0,17500000,2010
The Girl Who Kicked the Hornet's Nest,MBox,5200000.0,38300000,2010
The Man From Nowhere,CJ Entertainment,528000.0,42500000,2010
When in Rome,Buena Vista,32700000.0,10400000,2010
My Name is Khan,Fox Searchlight,4000000.0,38300000,2010
The Concert,Weinstein Company,658000.0,40500000,2010
For Colored Girls,Lionsgate,37700000.0,17300,2010
Brooklyn's Finest,Overture,27200000.0,9300000,2010
Furry Vengeance,Sumbadhat Productions,17600000.0,18600000,2010
Faster,CBS,23200000.0,12400000,2010
The Kids Are All Right,Focus Features,20800000.0,13900000,2010
You Will Meet a Tall Dark Stranger,Sony Pictures Classics,3200000.0,31000000,2010
The Secret in Their Eyes,Sony Pictures Classics,6400000.0,27600000,2010
Avatar: Special Edition,Fox,10700000.0,22500000,2010
Leap Year,Universal,25900000.0,6700000,2010
You Again,Buena Vista,25700000.0,6300000,2010
Mesrine: Killer Instinct,MBox,552000.0,30500000,2010
The Losers,WB,23600000.0,5800000,2010
Case 39,Paramount/Viacom,13300000.0,14900000,2010
Ramona and Beezus,Fox,26200000.0,1100000,2010
Splice,WB,17000000.0,9800000,2010
Fair Game (2010),Sumbadhat Productions,9500000.0,14600000,2010
Let Me In,Overture,12100000.0,12000000,2010
Mao's Last Dancer,MGM,4800000.0,17500000,2010
Just Wright,Fox Searchlight,21500000.0,29900,2010
Our Family Wedding,Fox Searchlight,20300000.0,1200000,2010
My Soul to Take,Universal,14700000.0,6200000,2010
"I Love You, Phillip Morris",Roadside Attractions,2000000.0,18700000,2010
Country Strong,Screen Gems,20200000.0,310000,2010
Another Year,Sony Pictures Classics,3200000.0,16500000,2010
Youth in Revolt,Wein/Dimension,15300000.0,4400000,2010
Buried,Lionsgate,1000000.0,18100000,2010
[Rec] 2,Magnolia Pictures,27800.0,18500000,2010
Repo Men,Universal,13800000.0,4600000,2010
A Prophet (Un prophète),Sony Pictures Classics,2100000.0,15800000,2010
Soul Kitchen,IFC Films,277000.0,17600000,2010
Mother (2010),Magnolia Pictures,552000.0,16600000,2010
Micmacs,Sony Pictures Classics,1300000.0,15100000,2010
The Nutcracker in 3D,Freestyle Releasing,195000.0,16000000,2010
I Hate Luv Storys,UTV,848000.0,14900000,2010
Extraordinary Measures,CBS,12100000.0,3100000,2010
Somewhere,Focus Features,1800000.0,12200000,2010
Winter's Bone,Roadside Attractions,6500000.0,7300000,2010
The Last Station,Sony Pictures Classics,6600000.0,6900000,2010
Raajneeti,UTV,1500000.0,11100000,2010
Made in Dagenham,Sony Pictures Classics,1100000.0,11300000,2010
Blue Valentine,Weinstein Company,9700000.0,2600000,2010
Tamara Drewe,Sony Pictures Classics,560000.0,11400000,2010
Chloe,Sony Pictures Classics,3100000.0,8600000,2010
Looking for Eric,IFC Films,55800.0,11500000,2010
The Warrior's Way,Relativity Media,5700000.0,5400000,2010
I Am Love,Magnolia Pictures,5000000.0,5900000,2010
Jonah Hex,WB,10500000.0,356000,2010
Harry Brown,MGM,1800000.0,8500000,2010
Cyrus,Fox Searchlight,7500000.0,2500000,2010
Conviction,Fox Searchlight,6800000.0,2900000,2010
Get Low,Sony Pictures Classics,9200000.0,518000,2010
Babies,Focus Features,7300000.0,2200000,2010
Stone,Overture,1800000.0,7700000,2010
Peepli Live,UTV,758000.0,8700000,2010
Never Let Me Go,Fox Searchlight,2400000.0,7000000,2010
Mid-August Lunch,Zeit.,675000.0,8700000,2010
MacGruber,Universal,8500000.0,797000,2010
City Island,Anchor Bay Films,6700000.0,1200000,2010
Inside Job,Sony Pictures Classics,4300000.0,3600000,2010
The Joneses,Roadside Attractions,1500000.0,5500000,2010
Centurion,Magnolia Pictures,124000.0,6700000,2010
Animal Kingdom,Sony Pictures Classics,1000000.0,5700000,2010
Nowhere Boy,Weinstein Company,1500000.0,5100000,2010
It's Kind of a Funny Story,Focus Features,6400000.0,128000,2010
"Waiting for ""Superman""",Paramount/Viacom,6400000.0,9300,2010
Greenberg,Focus Features,4200000.0,1900000,2010
Coco Chanel & Igor Stravinsky,Sony Pictures Classics,1600000.0,4099999,2010
Vincere,IFC Films,619000.0,5100000,2010
The Illusionist (2010),Sony Pictures Classics,2200000.0,3400000,2010
Mademoiselle Chambon,Lorber Films,532000.0,4700000,2010
Solitary Man,Anchor Bay Films,4400000.0,818000,2010
Rabbit Hole,Lionsgate,2200000.0,2900000,2010
Vision,Zeit.,435000.0,4600000,2010
Mother and Child,Sony Pictures Classics,1100000.0,3900000,2010
Four Lions,Drafthouse Films,305000.0,4400000,2010
Wild Grass,Sony Pictures Classics,404000.0,4200000,2010
Please Give,Sony Pictures Classics,4000000.0,280000,2010
Monsters,Magnolia Pictures,237000.0,4000000,2010
Rare Exports: A Christmas Tale,Oscilloscope Laboratories,236000.0,3800000,2010
The Killer Inside Me,IFC Films,217000.0,3800000,2010
To Save a Life,MGM,3800000.0,45800,2010
Inspector Bellamy,IFC Films,108000.0,3600000,2010
Wild Target,Freestyle Releasing,109000.0,3300000,2010
Frozen (2010),Anchor Bay Films,246000.0,2900000,2010
Dabangg,Eros International,1300000.0,1700000,2010
Kites,Reliance Big Pictures,1600000.0,1300000,2010
Tees Maar Khan,UTV,1100000.0,1400000,2010
Fish Tank,IFC Films,375000.0,2000000,2010
Housefull,Eros International,1200000.0,1200000,2010
Golmaal 3,Eros International,1100000.0,935000,2010
After.Life,Anchor Bay Films,109000.0,1900000,2010
Cairo Time,IFC Films,1600000.0,391000,2010
Flipped,WB,1800000.0,,2010
Guzaarish,UTV,1000000.0,695000,2010
Ondine,Magnolia Pictures,550000.0,1100000,2010
Anjaana Anjaani,Eros International,855000.0,761000,2010
John Rabe,Strand,67500.0,1400000,2010
Restrepo,National Geographic Entertainment,1300000.0,105000,2010
Raavan,Reliance Big Pictures,709000.0,648000,2010
The City of Your Final Destination,Screen Media Films,493000.0,859000,2010
It's a Wonderful Afterlife,UTV,,1300000,2010
Ajami,Kino,622000.0,669000,2010
Army of Crime,Lorber Films,37000.0,1200000,2010
Lebanon,Sony Pictures Classics,368000.0,830000,2010
Howl,Oscilloscope Laboratories,617000.0,566000,2010
Videocracy,Kino,23700.0,1200000,2010
Casino Jack,Art Takes Over Films,1000000.0,40700,2010
Leaving,IFC Films,176000.0,893000,2010
Khatta Meetha,Eros International,542000.0,499000,2010
We Are Family,UTV,638000.0,393000,2010
North Face,MBox,711000.0,216000,2010
No One Knows About Persian Cats,IFC Films,81800.0,798000,2010
Carlos,IFC Films,146000.0,726000,2010
Hideaway (Le Refuge),Strand,34500.0,837000,2010
The Disappearance of Alice Creed,Anchor Bay Films,167000.0,701000,2010
Break Ke Baad,Reliance Big Pictures,428000.0,389000,2010
Veer (2010),Eros International,527000.0,277000,2010
Life During Wartime,IFC Films,281000.0,487000,2010
Enter the Void,IFC Films,336000.0,418000,2010
The Secret of Kells,GKIDS Films,677000.0,62700,2010
The Polar Express (IMAX re-issue 2010),WB,673000.0,,2010
No Problem,Eros International,285000.0,369000,2010
All Good Things,Magnolia Pictures,582000.0,62500,2010
Jack Goes Boating,Overture,542000.0,77600,2010
I Spit on Your Grave,Anchor Bay Films,93100.0,480000,2010
I'm Still Here,Magnolia Pictures,409000.0,160000,2010
Salt of this Sea,Lorber Films,11700.0,545000,2010
Father of My Children,IFC Films,144000.0,335000,2010
The Extra Man,Magnolia Pictures,453000.0,4500,2010
Tiny Furniture,IFC Films,392000.0,,2010
Dogtooth,Kino,110000.0,274000,2010
Grease (Sing-a-Long re-issue),Paramount,366000.0,,2010
The Good Heart,Magnolia Pictures,20900.0,323000,2010
Formosa Betrayed,Screen Media Films,225000.0,101000,2010
Red Hill,Strand,21100.0,300000,2010
Welcome to the Rileys,MGM,159000.0,158000,2010
"A Woman, A Gun and A Noodle Shop",Sony Pictures Classics,191000.0,121000,2010
The Girl on the Train,Strand,208000.0,97100,2010
Mesrine: Public Enemy No. 1,MBox,275000.0,28100,2010
44 Inch Chest,Image Entertainment,39000.0,255000,2010
Karthik Calling Karthik,Eros International,286000.0,7100,2010
Last Train Home,Zeit.,288000.0,,2010
Human Centipede,IFC Films,181000.0,70700,2010
"Lovely, Still",Monterey Media,128000.0,106000,2010
Bitch Slap,Freestyle Releasing,17400.0,182000,2010
Chance Pe Dance,UTV,169000.0,24300,2010
Client 9: The Rise and Fall of Eliot Spitzer,Magnolia Pictures,189000.0,3500,2010
Casino Jack and the United States of Money,Magnolia Pictures,177000.0,,2010
Perrier's Bounty,IFC Films,800.0,167000,2010
Spring Fever,Strand,10800.0,150000,2010
The Eclipse,Magnolia Pictures,133000.0,26400,2010
George A. Romero's Survival of the Dead,Magnolia Pictures,102000.0,41500,2010
Celine: Through the Eyes of the World,Sony,,119000,2010
Freakonomics,Magnolia Pictures,101000.0,16400,2010
Band Baaja Baaraat,Yash Raj Films,43800.0,60700,2010
White Lion,Screen Media Films,,99600,2010
Kisses,Oscilloscope Laboratories,81700.0,15300,2010
Waking Sleeping Beauty,Buena Vista,80700.0,4200,2010
Badmaash Company,Yash Raj Films,,64400,2010
Hadewijch,IFC Films,5000.0,57500,2010
Alamar,Film Movement,61600.0,,2010
Inhale,IFC Films,4100.0,51000,2010
Hatchet 2,Vitagraph Films,52600.0,,2010
District B13: Ultimatum,Magnolia Pictures,36100.0,16200,2010
Boogie Woogie,IFC Films,2600.0,44900,2010
Come Undone (2010),Film Movement,10000.0,31300,2010
The Red Baron,Monterey Media,37200.0,3100,2010
Bluebeard,Strand,33500.0,5200,2010
Daddy Longlegs,IFC Films,21800.0,11500,2010
Nenette,Kino,18000.0,5400,2010
Picture Me,Strand,12000.0,10400,2010
The Thorn in the Heart,Oscilloscope Laboratories,7400.0,10500,2010
The Taqwacores,Strand,11400.0,,2010
Kimjongilia,Lorber Films,4400.0,,2010
Aashayein (Wishes),Reliance Big Pictures,,3800,2010
Harry Potter and the Deathly Hallows Part 2,WB,381000000.0,960500000,2011
Transformers: Dark of the Moon,Pixar/Dreamworks,352400000.0,771400000,2011
Pirates of the Caribbean: On Stranger Tides,Buena Vista,241100000.0,804600000,2011
The Twilight Saga: Breaking Dawn Part 1,Sumbadhat Productions,281300000.0,430900000,2011
Mission: Impossible - Ghost Protocol,Paramount,209400000.0,485300000,2011
Kung Fu Panda 2,Pixar/Dreamworks,165200000.0,500400000,2011
Fast Five,Universal,209800000.0,416300000,2011
The Hangover Part II,WB,254500000.0,332300000,2011
The Smurfs,Sony,142600000.0,421100000,2011
Cars 2,Buena Vista,191500000.0,370700000,2011
Puss in Boots,Pixar/Dreamworks,149300000.0,405700000,2011
Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000,2011
Rio,Fox,143600000.0,341000000,2011
Rise of the Planet of the Apes,Fox,176800000.0,305000000,2011
Thor,Paramount,181000000.0,268300000,2011
The Adventures of Tintin,Paramount,77600000.0,296400000,2011
Captain America: The First Avenger,Paramount,176700000.0,193900000,2011
X-Men: First Class,Fox,146400000.0,207200000,2011
Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,209600000,2011
Real Steel,Buena Vista,85500000.0,213800000,2011
Bridesmaids,Universal,169100000.0,119300000,2011
Super 8,Paramount,127000000.0,133100000,2011
Rango,Paramount,123500000.0,122200000,2011
The Girl with the Dragon Tattoo (2011),Sony,102500000.0,130100000,2011
The Green Hornet,Sony,98800000.0,129000000,2011
Immortals,Relativity Media,83500000.0,143400000,2011
Green Lantern,WB,116600000.0,103300000,2011
The Help,Buena Vista,169700000.0,46900000,2011
Bad Teacher,Sony,100300000.0,115900000,2011
Just Go With It,Sony,103000000.0,111900000,2011
Battle: Los Angeles,Sony,83600000.0,128300000,2011
Paranormal Activity 3,Paramount,104000000.0,103000000,2011
Gnomeo and Juliet,Buena Vista,100000000.0,94000000,2011
Mr. Popper's Penguins,Fox,68200000.0,119100000,2011
Hugo,Paramount,73900000.0,111900000,2011
The Lion King (in 3D),Buena Vista,94200000.0,91300000,2011
Hop,Universal,108100000.0,75900000,2011
War Horse,Buena Vista,79900000.0,97700000,2011
The Descendants,Fox Searchlight,82600000.0,94700000,2011
Cowboys & Aliens,Universal,100200000.0,74600000,2011
In Time,Fox,37500000.0,136400000,2011
Zookeeper,Sony,80400000.0,89500000,2011
The Muppets,Buena Vista,88600000.0,76600000,2011
Limitless,Relativity Media,79200000.0,82600000,2011
Johnny English Reborn,Universal,8300000.0,151800000,2011
Tower Heist,Universal,78000000.0,74900000,2011
Midnight in Paris,Sony Pictures Classics,56800000.0,94300000,2011
Happy Feet Two,WB,64000000.0,86400000,2011
I Am Number Four,Buena Vista,55100000.0,94800000,2011
Jack and Jill,Sony,74200000.0,75500000,2011
Friends with Benefits,Screen Gems,55800000.0,93700000,2011
No Strings Attached,Paramount,70700000.0,78600000,2011
Arthur Christmas,Sony,46500000.0,101000000,2011
Source Code,Sumbadhat Productions,54700000.0,92600000,2011
"Crazy, Stupid, Love.",WB,84400000.0,58500000,2011
Contagion,WB,75700000.0,59800000,2011
The Artist,Weinstein Company,44700000.0,88800000,2011
The Three Musketeers (2011),Sumbadhat Productions,20400000.0,111900000,2011
Unknown,WB,63700000.0,67099999,2011
The Adjustment Bureau,Universal,62500000.0,65400000,2011
We Bought a Zoo,Fox,75600000.0,44500000,2011
Water for Elephants,Fox,58700000.0,58400000,2011
The Iron Lady,Weinstein Company,30000000.0,84900000,2011
Moneyball,Sony,75600000.0,34600000,2011
Sanctum,Universal,23200000.0,85400000,2011
Justin Bieber: Never Say Never,Paramount,73000000.0,26000000,2011
Paul,Universal,37400000.0,60600000,2011
Scream 4,Wein/Dimension,38200000.0,59000000,2011
Insidious,FilmDistrict,54000000.0,43000000,2011
Dolphin Tale,WB,72300000.0,23100000,2011
Season of the Witch,Relativity Media,24800000.0,66800000,2011
Sucker Punch,WB,36400000.0,53400000,2011
Red Riding Hood,WB,37700000.0,51500000,2011
Spy Kids: All the Time in the World,Wein/Dimension,38500000.0,47000000,2011
J. Edgar,WB,37300000.0,47600000,2011
"Big Mommas: Like Father, Like Son",Fox,37900000.0,44800000,2011
Abduction,Lionsgate,28100000.0,54000000,2011
"Tinker, Tailor, Soldier, Spy",Focus Features,24100000.0,56500000,2011
Priest,Screen Gems,29100000.0,49200000,2011
Drive (2011),FilmDistrict,35100000.0,41100000,2011
The Mechanic,CBS,29100000.0,47000000,2011
The Ides of March,Sony,41000000.0,35000000,2011
The Change-Up,Universal,37100000.0,38400000,2011
The Lincoln Lawyer,Lionsgate,58000000.0,17000000,2011
Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000.0,19700000,2011
Larry Crowne,Universal,35600000.0,36400000,2011
The Dilemma,Universal,48500000.0,21200000,2011
The Darkest Hour,Sumbadhat Productions,21400000.0,43200000,2011
Hanna,Focus Features,40300000.0,23500000,2011
Footloose (2011),Paramount,51800000.0,11700000,2011
Elite Squad: The Enemy Within,VVariance Films,100000.0,62900000,2011
Colombiana,Sony Pictures,36700000.0,24300000,2011
Something Borrowed,WB,39000000.0,21100000,2011
One Day,Focus Features,13800000.0,45500000,2011
Beginning of the Great Revival,CL Western Town,151000.0,58200000,2011
Killer Elite,Open Road Films,25100000.0,31300000,2011
Extremely Loud & Incredibly Close,WB,31800000.0,23400000,2011
The Tree of Life,Fox Searchlight,13300000.0,41000000,2011
Tyler Perry's Madea's Big Happy Family,Lionsgate,53300000.0,816000,2011
Detective Dee and the Mystery of the Phantom Flame,Indomina Releasing,460000.0,51300000,2011
Winnie the Pooh,Buena Vista,26700000.0,23200000,2011
Conan the Barbarian (2011),Lionsgate,21300000.0,27500000,2011
Soul Surfer,Sony Pictures,43900000.0,3200000,2011
War of the Arrows,CJ Entertainment,251000.0,45800000,2011
Arthur (2011),WB,33000000.0,12700000,2011
The Debt,Focus Features,31200000.0,14500000,2011
Beastly,CBS,27900000.0,15300000,2011
Of Gods and Men,Sony Pictures Classics,4000000.0,38200000,2011
Born to Be Wild (IMAX),WB,25900000.0,15600000,2011
Fright Night (2011),Buena Vista,18300000.0,22700000,2011
30 Minutes or Less,Sony,37100000.0,3500000,2011
The Roommate,Screen Gems,37300000.0,3200000,2011
Shark Night 3D,Relativity Media,18900000.0,21300000,2011
Monte Carlo,Fox,23200000.0,16500000,2011
50/50,Sumbadhat Productions,35000000.0,4200000,2011
Mars Needs Moms,Buena Vista,21400000.0,17600000,2011
Dream House,Universal,21300000.0,17200000,2011
Jumping the Broom,Sony Pictures,37300000.0,415000,2011
Don't Be Afraid of the Dark,FilmDistrict,24000000.0,12900000,2011
RA One,Eros International,2500000.0,33400000,2011
A Very Harold & Kumar 3D Christmas,WB,35100000.0,326000,2011
My Week with Marilyn,Weinstein Company,14600000.0,20500000,2011
The Sitter,Fox,30400000.0,4500000,2011
Jane Eyre,Focus Features,11200000.0,23500000,2011
Courageous,Sony Pictures,34500000.0,,2011
Shaolin,VVariance Films,66100.0,33600000,2011
African Cats,Buena Vista,15400000.0,15400000,2011
The Skin I Live In,Sony Pictures Classics,3200000.0,27700000,2011
I Don't Know How She Does It,Weinstein Company,9700000.0,20900000,2011
What's Your Number?,Fox,14000000.0,16399999,2011
Drive Angry,Sumbadhat Productions,10700000.0,18200000,2011
Carnage (2011),Sony Pictures Classics,2500000.0,25100000,2011
A Dangerous Method,Sony Pictures Classics,5700000.0,21800000,2011
The Thing (2011),Universal,16900000.0,10500000,2011
The Eagle,Focus Features,19500000.0,7600000,2011
Legend of the Fist: The Return of Chen Zhen,VVariance Films,50400.0,26500000,2011
Apollo 18,Wein/Dimension,17700000.0,7900000,2011
Biutiful,Roadside Attractions,5100000.0,20000000,2011
Your Highness,Universal,21600000.0,3300000,2011
Our Idiot Brother,Weinstein Company,24800000.0,,2011
The Rum Diary,FilmDistrict,13100000.0,10800000,2011
The Women on the 6th Floor,Strand,720000.0,22500000,2011
Potiche,MBox,1600000.0,21600000,2011
Warrior,Lionsgate,13700000.0,9400000,2011
Young Adult,Paramount,16300000.0,6600000,2011
Sarah's Key,Weinstein Company,7700000.0,13400000,2011
A Separation,Sony Pictures Classics,7100000.0,12800000,2011
The Guard,Sony Pictures Classics,5400000.0,14200000,2011
Margin Call,Roadside Attractions,5400000.0,14200000,2011
Glee The 3D Concert Movie,Fox,11900000.0,6800000,2011
Shame,Fox Searchlight,3900000.0,13800000,2011
13 Assassins,Magnolia Pictures,803000.0,16800000,2011
Hoodwinked Too! Hood vs. Evil,Weinstein Company,10100000.0,6800000,2011
The Heir Apparent: Largo Winch,MBox,10400.0,16900000,2011
The Last Godfather,Roadside Attractions,164000.0,16600000,2011
Delhi Belly,UTV,1500000.0,15200000,2011
Melancholia,Magnolia Pictures,3000000.0,12900000,2011
Judy Moody and the NOT Bummer Summer,Relativity Media,15000000.0,678000,2011
The Conspirator,Roadside Attractions,11500000.0,3900000,2011
Anonymous,Sony,4500000.0,10900000,2011
Ip Man 2: Legend of the Grandmaster,VVariance Films,206000.0,14900000,2011
The Housemaid,IFC Films,158000.0,14600000,2011
Desert Flower,National Geographic Entertainment,44300.0,14600000,2011
Pina,IFC Films,3500000.0,11100000,2011
Beginners,Focus Features,5800000.0,8500000,2011
My Afternoons with Margueritte,Cohen Media Group,667000.0,13600000,2011
I Saw the Devil,Magnolia Pictures,129000.0,12600000,2011
Gainsbourg: A Heroic Life,MBox,233000.0,12000000,2011
The Warring States,CL Western Town,69000.0,11800000,2011
What Women Want (Wo Zhi Nu Run Xin),CL Western Town,124000.0,11700000,2011
Snow Flower and the Secret Fan,Fox Searchlight,1300000.0,10000000,2011
Win Win,Fox Searchlight,10200000.0,652000,2011
Flying Monsters,National Geographic Entertainment,5700000.0,5100000,2011
City of Life and Death,Kino,123000.0,10600000,2011
Le Havre,Janus Films,612000.0,9900000,2011
Straw Dogs (2011),Screen Gems,10300000.0,,2011
Prom,Buena Vista,10100000.0,,2011
In a Better World,Sony Pictures Classics,1000000.0,8600000,2011
Trespass (2011),Millenium Entertainment,24100.0,9600000,2011
Saving Private Perez,Lionsgate,1400000.0,7900000,2011
Point Blank,Magnolia Pictures,708000.0,8500000,2011
Winter in Wartime,Sony Pictures Classics,543000.0,8700000,2011
Barney's Version (U.S. only),Sony Pictures Classics,4400000.0,4000000,2011
Outrage (2011),Magnolia Pictures,44700.0,8400000,2011
Last Night,Tribeca Film,99000.0,7600000,2011
The Big Year,Fox,7200000.0,244000,2011
The Beaver,Sumbadhat Productions,971000.0,6300000,2011
Take Me Home Tonight,Relativity Media,6900000.0,,2011
Cedar Rapids,Fox Searchlight,6900000.0,,2011
The Princess of Montpensier,IFC Films,352000.0,6400000,2011
Cave of Forgotten Dreams,IFC Films,5300000.0,1200000,2011
Sex and Zen 3D: Extreme Ecstasy,CL Western Town,153000.0,6200000,2011
We Need to Talk About Kevin,Oscilloscope Laboratories,1700000.0,4300000,2011
Attack the Block,Screen Gems,1000000.0,4800000,2011
Even the Rain,Vitagraph Films,518000.0,5300000,2011
Young Goethe in Love,MBox,162000.0,5600000,2011
Certified Copy,IFC Films,1400000.0,4099999,2011
Thank You (2011),UTV,464000.0,5000000,2011
The Company Men,Weinstein Company,4400000.0,441000,2011
Force,Fox Searchlight,,4800000,2011
Tucker & Dale Vs. Evil,Magnolia Pictures,224000.0,4500000,2011
London Boulevard,IFC Films,16100.0,4600000,2011
The Names of Love,MBox,514000.0,4099999,2011
Burke and Hare,IFC Films,4800.0,4300000,2011
King of Devil's Island,Film Movement,7600.0,4200000,2011
Bride Flight,MBox,501000.0,3700000,2011
Trollhunter,Magnolia Pictures,253000.0,3900000,2011
Buck,IFC Films,4000000.0,,2011
Carancho,Strand,85500.0,3900000,2011
Like Crazy,Paramount/Viacom,3400000.0,336000,2011
The Double,Image Entertainment,138000.0,3600000,2011
Don 2,Reliance Big Pictures,3700000.0,,2011
