,title,max_theaters,year,total_dom_gross($),studio
44,Indiana Jones and the Kingdom of the Crystal Skull,4264,2008,317101119,Paramount Pictures
45,Dumbo,4259,2019,114766307,Disney
46,Batman v Superman: Dawn of Justice,4256,2016,330360194,Warner Bros.
47,Cars 3,4256,2017,152901115,Disney
48,Suicide Squad,4255,2016,325100054,Warner Bros.
49,Iron Man 3,4253,2013,409013994,Disney
50,Venom,4250,2018,213515506,Sony
51,Men in Black 3,4248,2012,179020854,Sony
52,Pokémon Detective Pikachu,4248,2019,144105346,Warner Bros.
53,Abominable,4248,2019,60716390,Universal Pictures
54,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,4236,2020,84158461,Warner Bros.
55,Ready Player One,4234,2018,137690172,Warner Bros.
56,Transformers: Age of Extinction,4233,2014,245439076,Paramount Pictures
57,Star Wars: Episode VIII - The Last Jedi,4232,2017,620181382,Disney
58,Jumanji: The Next Level,4227,2019,316831246,Sony
59,Captain America: Civil War,4226,2016,408084349,Disney
60,Men in Black: International,4224,2019,80001807,Sony
61,Shrek 2,4223,2004,441226247,DreamWorks Distribution
62,Beauty and the Beast,4210,2017,504014165,Disney
63,Man of Steel,4207,2013,291045518,Warner Bros.
64,Ant-Man and the Wasp,4206,2018,216648740,Disney
65,Sonic the Hedgehog,4198,2020,146066470,Paramount Pictures
66,Aquaman,4184,2019,335061807,Warner Bros.
67,The Hunger Games: Mockingjay - Part 2,4175,2015,281723902,Lionsgate
68,Spider-Man 2,4166,2004,373585825,Sony
69,Wonder Woman,4165,2017,412563408,Warner Bros.
70,Pirates of the Caribbean: On Stranger Tides,4164,2011,241071802,Disney
71,Brave,4164,2012,237283207,Disney
72,The Hunger Games: Catching Fire,4163,2013,424668047,Lionsgate
73,Fantastic Beasts: The Crimes of Grindelwald,4163,2018,159555901,Warner Bros.
74,Inside Out,4158,2015,356461711,Disney
75,Rogue One: A Star Wars Story,4157,2016,532177324,Disney
76,Dolittle,4155,2020,77047065,Universal Pictures
77,Iron Man,4154,2008,318604126,Paramount Pictures
78,X-Men: Apocalypse,4153,2016,155442489,Twentieth Century Fox
79,The Hunger Games: Mockingjay - Part 1,4151,2014,337135885,Lionsgate
80,It,4148,2017,327481748,Warner Bros.
81,Ocean's 8,4145,2018,140218711,Warner Bros.
82,The Jungle Book,4144,2016,364001123,Disney
83,Fantastic Beasts and Where to Find Them,4144,2016,234037575,Warner Bros.
84,Madagascar,4142,2005,193595521,DreamWorks Distribution
85,The Grinch,4141,2018,270620950,Universal Pictures
86,The Hunger Games,4137,2012,408010692,Lionsgate
87,Star Wars: Episode VII - The Force Awakens,4134,2015,936662225,Disney
88,Pirates of the Caribbean: Dead Man's Chest,4133,2006,423315812,Disney
89,Transformers: The Last Knight,4132,2017,130168683,Paramount Pictures
90,Smallfoot,4131,2018,83240103,Warner Bros.
91,Independence Day: Resurgence,4130,2016,103144286,Twentieth Century Fox
92,Harry Potter and the Deathly Hallows: Part 1,4125,2010,295983305,Warner Bros.
93,The Meg,4118,2018,145443742,Warner Bros.
94,Cars 2,4115,2011,191452396,Disney
95,Rampage,4115,2018,101028233,Warner Bros.
96,Godzilla: King of the Monsters,4108,2019,110500138,Warner Bros.
97,X-Men Origins: Wolverine,4102,2009,179883157,Twentieth Century Fox
98,Ice Age: Dawn of the Dinosaurs,4102,2009,196573705,Twentieth Century Fox
99,Night at the Museum: Battle of the Smithsonian,4101,2009,177243721,Twentieth Century Fox
100,The Hobbit: An Unexpected Journey,4100,2012,303003568,Warner Bros.
101,War for the Planet of the Apes,4100,2017,146880162,Twentieth Century Fox
102,Mary Poppins Returns,4090,2018,171958438,Disney
103,Guardians of the Galaxy,4088,2014,333176600,Disney
104,The Lego Batman Movie,4088,2017,175750384,Warner Bros.
105,Terminator: Dark Fate,4086,2019,62253077,Paramount Pictures
106,Black Panther,4084,2018,700059566,Disney
107,Thor: Ragnarok,4080,2017,315058289,Disney
108,The Emoji Movie,4075,2017,86089513,Sony
109,Teenage Mutant Ninja Turtles: Out of the Shadows,4071,2016,82051601,Paramount Pictures
110,Logan,4071,2017,226277068,Twentieth Century Fox
111,Shark Tale,4070,2004,160861908,DreamWorks Distribution
112,The Twilight Saga: Breaking Dawn - Part 2,4070,2012,292324737,Lionsgate
113,The Predator,4070,2018,51024708,Twentieth Century Fox
114,Trolls,4066,2016,153707064,Twentieth Century Fox
115,Superman Returns,4065,2006,200081192,Warner Bros.
116,The Croods,4065,2013,187168425,Twentieth Century Fox
117,Mission: Impossible III,4059,2006,134029801,Paramount Pictures
118,Blade Runner 2049,4058,2017,92054159,Warner Bros.
119,Star Trek,4053,2009,257730019,Paramount Pictures
120,Justice League,4051,2017,229024295,Warner Bros.
121,The Lego Ninjago Movie,4047,2017,59281555,Warner Bros.
122,Jason Bourne,4039,2016,162434410,Universal Pictures
123,Kingsman: The Golden Circle,4038,2017,100229647,Twentieth Century Fox
124,The Mummy,4035,2017,80227895,Universal Pictures
125,Sing,4029,2017,270395425,Universal Pictures
126,Toy Story 3,4028,2010,415004880,Disney
127,Furious 7,4022,2015,353007020,Universal Pictures
128,Ralph Breaks the Internet,4017,2018,201091711,Disney
129,Dunkirk,4014,2017,188045546,Warner Bros.
130,G.I. Joe: The Rise of Cobra,4007,2009,150201498,Paramount Pictures
131,Monsters University,4004,2013,268492764,Disney
132,Fantastic Four,4004,2015,56117548,Twentieth Century Fox
133,Despicable Me 2,4003,2013,368065385,Universal Pictures
134,Cloudy With a Chance of Meatballs 2,4001,2013,119793567,Sony
135,X-Men: Days of Future Past,4001,2014,233921534,Twentieth Century Fox
136,Bohemian Rhapsody,4000,2018,216428042,Twentieth Century Fox
137,Ice Age: Collision Course,3997,2016,64063008,Twentieth Century Fox
138,WALL·E,3992,2008,223808164,Disney
139,Halloween,3990,2018,159342015,Universal Pictures
140,Cars,3988,2006,244082982,Disney
141,Mission: Impossible - Rogue Nation,3988,2015,195042377,Paramount Pictures
142,Kung Fu Panda 3,3987,2016,143528619,Twentieth Century Fox
143,Coco,3987,2017,209726015,Disney
144,1917,3987,2020,159227644,Universal Pictures
145,Teenage Mutant Ninja Turtles,3980,2014,191204754,Paramount Pictures
146,A Wrinkle in Time,3980,2018,100478608,Disney
147,Rio 2,3975,2014,131538435,Twentieth Century Fox
148,Tomorrowland,3972,2015,93436322,Disney
149,Ice Age: The Meltdown,3969,2006,195330621,Twentieth Century Fox
150,Dawn of the Planet of the Apes,3969,2014,208545589,Twentieth Century Fox
151,Hancock,3965,2008,227946274,Sony
152,Fantastic 4: Rise of the Silver Surfer,3963,2007,131921738,Twentieth Century Fox
153,Thor,3963,2011,181030624,Paramount Pictures
154,Ghostbusters,3963,2016,128350574,Sony
155,Horton Hears a Who!,3961,2008,154529439,Twentieth Century Fox
156,Zootopia,3959,2016,341268248,Disney
157,Sully,3955,2016,125070033,Warner Bros.
158,Godzilla,3952,2014,200676069,Warner Bros.
159,Mr. Peabody & Sherman,3951,2014,111506430,Twentieth Century Fox
160,Maleficent,3948,2014,241410378,Disney
161,Ratatouille,3940,2007,206445654,Disney
162,Captain America: The Winter Soldier,3938,2014,259766572,Disney
163,Divergent,3936,2014,150947895,Lionsgate
164,The Incredibles,3933,2004,261441092,Disney
165,The Angry Birds Movie,3932,2016,107509366,Sony
166,The Chronicles of Narnia: Prince Caspian,3929,2008,141621490,Disney
167,Spectre,3929,2015,200074609,Sony
168,The Hobbit: The Desolation of Smaug,3928,2013,258366855,Warner Bros.
169,Star Trek Beyond,3928,2016,158848340,Paramount Pictures
170,The Simpsons Movie,3926,2007,183135014,Twentieth Century Fox
171,The Wolverine,3924,2013,132556852,Twentieth Century Fox
172,Rango,3923,2011,123477607,Paramount Pictures
173,Storks,3922,2016,72679278,Warner Bros.
174,Get Smart,3915,2008,130319208,Warner Bros.
175,Night at the Museum: Secret of the Tomb,3914,2014,113746621,Twentieth Century Fox
176,The Call of the Wild,3914,2020,62342368,Twentieth Century Fox
177,Oz The Great and Powerful,3912,2013,234911825,Disney
178,War of the Worlds,3910,2005,234280354,Paramount Pictures
179,Star Trek Into Darkness,3907,2013,228778661,Paramount Pictures
180,The Lone Ranger,3904,2013,89302115,Disney
181,A Star Is Born,3904,2018,215288866,Warner Bros.
182,The Peanuts Movie,3902,2015,130178411,Twentieth Century Fox
183,Epic,3894,2013,107518682,Twentieth Century Fox
184,The Lego Movie,3890,2014,257760692,Warner Bros.
185,Up,3886,2009,293004164,Disney
186,Ice Age: Continental Drift,3886,2012,161321843,Twentieth Century Fox
187,American Sniper,3885,2015,350126372,Warner Bros.
188,Doctor Strange,3882,2016,232641920,Disney
189,Spider-Man,3876,2002,403706375,Sony
190,The Nun,3876,2018,117450119,Warner Bros.
191,The Hobbit: The Battle of the Five Armies,3875,2014,255119788,Warner Bros.
192,The Divergent Series: Insurgent,3875,2015,130179072,Lionsgate
193,Moana,3875,2016,248757044,Disney
194,The Angry Birds Movie 2,3869,2019,41667116,Sony
195,Ant-Man,3868,2015,180202163,Disney
196,The Smurfs 2,3867,2013,71017784,Sony
197,Crazy Rich Asians,3865,2018,174532921,Warner Bros.
198,Batman Begins,3858,2005,205343774,Warner Bros.
199,Harry Potter and the Goblet of Fire,3858,2005,290013036,Warner Bros.
200,Deadpool,3856,2016,363070709,Twentieth Century Fox
201,Harry Potter and the Prisoner of Azkaban,3855,2004,249541069,Warner Bros.
202,Doctor Sleep,3855,2019,31581712,Warner Bros.
203,The Martian,3854,2015,228433663,Twentieth Century Fox
204,Tomb Raider,3854,2018,58250803,Warner Bros.
205,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3853,2005,291710957,Disney
206,John Wick: Chapter 3 - Parabellum,3850,2019,171015687,Lionsgate
207,Jumanji: Welcome to the Jungle,3849,2018,404515480,Sony
208,Cinderella,3848,2015,201151353,Disney
209,The Spiderwick Chronicles,3847,2008,71195053,Paramount Pictures
210,Kong: Skull Island,3846,2017,168052812,Warner Bros.
211,Glass,3844,2019,111048468,Universal Pictures
212,Rio,3842,2011,143619809,Twentieth Century Fox
213,Thor: The Dark World,3841,2013,206362140,Disney
214,Planes: Fire & Rescue,3839,2014,59165787,Disney
215,Wonder Park,3838,2019,45216793,Paramount Pictures
216,Miss Peregrine's Home for Peculiar Children,3835,2016,87242834,Twentieth Century Fox
217,Open Season,3833,2006,85105259,Sony
218,National Treasure: Book of Secrets,3832,2007,219964115,Disney
219,The Boss Baby,3829,2017,175003033,Twentieth Century Fox
220,Skyscraper,3822,2018,68420120,Universal Pictures
221,Gravity,3820,2013,274092705,Warner Bros.
222,Maleficent: Mistress of Evil,3820,2019,113929605,Disney
223,Green Lantern,3816,2011,116601172,Warner Bros.
224,Spider-Man: Into the Spider-Verse,3813,2018,190241310,Sony
225,San Andreas,3812,2015,155190832,Warner Bros.
226,Turbo,3809,2013,83028128,Twentieth Century Fox
227,A Quiet Place,3808,2018,188024361,Paramount Pictures
228,Talladega Nights: The Ballad of Ricky Bobby,3807,2006,148213377,Sony
229,Happy Feet,3804,2006,198000317,Warner Bros.
230,Clash of the Titans,3802,2010,163214888,Warner Bros.
231,The Huntsman: Winter's War,3802,2016,48390190,Universal Pictures
232,Alita: Battle Angel,3802,2019,85710210,Twentieth Century Fox
233,Home,3801,2015,177397510,Twentieth Century Fox
234,Fast Five,3793,2011,209837675,Universal Pictures
235,Maze Runner: The Death Cure,3793,2018,58032443,Twentieth Century Fox
236,Inception,3792,2010,292576195,Warner Bros.
237,Oblivion,3792,2013,89107235,Universal Pictures
238,Maze Runner: The Scorch Trials,3792,2015,81697192,Twentieth Century Fox
239,Charlie and the Chocolate Factory,3790,2005,206459076,Warner Bros.
240,The Dukes of Hazzard,3785,2005,80270227,Warner Bros.
241,Terminator Genisys,3783,2015,89760956,Paramount Pictures
242,Jack Reacher: Never Go Back,3780,2016,58697076,Paramount Pictures
243,The Mummy: Tomb of the Dragon Emperor,3778,2008,102491776,Universal Pictures
244,Snow White and the Huntsman,3777,2012,155332381,Universal Pictures
245,Robots,3776,2005,128200012,Twentieth Century Fox
246,Penguins of Madagascar,3775,2014,83850911,Twentieth Century Fox
247,Bad Boys for Life,3775,2020,204417855,Sony
248,Big Hero 6,3773,2014,222527828,Disney
249,Alien: Covenant,3772,2017,74262031,Twentieth Century Fox
250,Fast & Furious 6,3771,2013,238679850,Universal Pictures
251,The Lorax,3769,2012,214030500,Universal Pictures
252,Night at the Museum,3768,2006,250863268,Twentieth Century Fox
253,Hotel Transylvania 2,3768,2015,169700110,Sony
254,Fifty Shades Freed,3768,2018,100407760,Universal Pictures
255,The Nutcracker and the Four Realms,3766,2018,54858851,Disney
256,Alice Through the Looking Glass,3763,2016,77041381,Disney
257,The Da Vinci Code,3757,2006,217536138,Sony
258,Dark Shadows,3755,2012,79727149,Warner Bros.
259,Cowboys & Aliens,3754,2011,100240551,Universal Pictures
260,The Bourne Legacy,3753,2012,113203870,Universal Pictures
261,Wreck-It Ralph,3752,2012,189422889,Disney
262,Creed II,3752,2018,115715889,Metro-Goldwyn-Mayer (MGM)
263,X2: X-Men United,3749,2003,214949694,Twentieth Century Fox
264,John Carter,3749,2012,73078100,Disney
265,The Good Dinosaur,3749,2015,123087120,Disney
266,Alvin and the Chipmunks: The Squeakquel,3747,2010,219614612,Twentieth Century Fox
267,Ford v Ferrari,3746,2019,117624357,Twentieth Century Fox
268,Charlotte's Web,3745,2006,82985708,Paramount Pictures
269,Us,3743,2019,175084580,Universal Pictures
270,Frozen,3742,2013,400738009,Disney
271,The Karate Kid,3740,2010,176591618,Sony
272,Allegiant,3740,2016,66184051,Lionsgate
273,Alice in Wonderland,3739,2010,334191110,Disney
274,Where the Wild Things Are,3735,2009,77233467,Warner Bros.
275,Dora and the Lost City of Gold,3735,2019,60477943,Paramount Pictures
276,G.I. Joe: Retaliation,3734,2013,122523060,Paramount Pictures
277,The Village,3733,2004,114197520,Disney
278,Enchanted,3730,2007,127807262,Disney
279,Peter Rabbit,3725,2018,115253424,Sony
280,Pixels,3723,2015,78747585,Sony
281,Goosebumps 2: Haunted Halloween,3723,2018,46700633,Sony
282,Mad Max: Fury Road,3722,2015,153636354,Warner Bros.
283,X-Men: Dark Phoenix,3721,2019,65845974,Twentieth Century Fox
284,Planes,3716,2013,90288712,Disney
285,Shrek,3715,2001,267665011,DreamWorks Distribution
286,Captain America: The First Avenger,3715,2011,176654505,Paramount Pictures
287,Spy,3715,2015,110825712,Twentieth Century Fox
288,X-Men: The Last Stand,3714,2006,234362462,Twentieth Century Fox
289,Fifty Shades Darker,3714,2017,114581250,Universal Pictures
290,The Revenant,3711,2016,183637894,Twentieth Century Fox
291,Pacific Rim: Uprising,3708,2018,59874525,Universal Pictures
292,Taken 2,3706,2012,139854287,Twentieth Century Fox
293,Cats & Dogs: The Revenge of Kitty Galore,3705,2010,43585753,Warner Bros.
294,Alvin and the Chipmunks: The Road Chip,3705,2015,85886987,Twentieth Century Fox
295,The Lord of the Rings: The Return of the King,3703,2003,377027325,New Line Cinema
296,Sherlock Holmes: A Game of Shadows,3703,2011,186848418,Warner Bros.
297,Battleship,3702,2012,65422625,Universal Pictures
298,Pete's Dragon,3702,2016,76233151,Disney
299,King Arthur: Legend of the Sword,3702,2017,39175066,Warner Bros.
300,Paddington 2,3702,2018,40891591,Warner Bros.
301,The Bourne Ultimatum,3701,2007,227471070,Universal Pictures
302,G-Force,3697,2009,119436770,Disney
303,The Magnificent Seven,3696,2016,93432655,Sony
304,Power Rangers,3693,2017,85364450,Lionsgate
305,X-Men: First Class,3692,2011,146408305,Twentieth Century Fox
306,Rise of the Planet of the Apes,3691,2011,176760185,Twentieth Century Fox
307,Bedtime Stories,3684,2009,110101975,Disney
308,A Christmas Carol,3683,2009,137855863,Disney
309,Harry Potter and the Chamber of Secrets,3682,2002,261988482,Warner Bros.
310,The SpongeBob Movie: Sponge Out of Water,3680,2015,162994032,Paramount Pictures
311,Little Fockers,3675,2011,148438600,Universal Pictures
312,The Hangover Part II,3675,2011,254464305,Warner Bros.
313,Hulk,3674,2003,132177234,Universal Pictures
314,Fast & Furious,3674,2009,155064265,Universal Pictures
315,The Man from U.N.C.L.E.,3673,2015,45445109,Warner Bros.
316,Harry Potter and the Sorcerer's Stone,3672,2001,317575550,Warner Bros.
317,Mission: Impossible II,3669,2000,215409889,Paramount Pictures
318,Valentine's Day,3665,2010,110485654,Warner Bros.
319,Star Wars: Episode III - Revenge of the Sith,3663,2005,380270577,Twentieth Century Fox
320,Sherlock Gnomes,3662,2018,43242871,Paramount Pictures
321,Pitch Perfect 2,3660,2015,184296230,Universal Pictures
322,Once Upon a Time... in Hollywood,3659,2019,142502728,Sony
323,Chicken Little,3658,2005,135386665,Disney
324,Wallace & Gromit: The Curse of the Were-Rabbit,3656,2005,56110897,DreamWorks Distribution
325,Dolphin Tale 2,3656,2014,42024533,Warner Bros.
326,Life of the Party,3656,2018,53059911,Warner Bros.
327,Fifty Shades of Grey,3655,2015,166167230,Universal Pictures
328,The Longest Yard,3654,2005,158119460,Paramount Pictures
329,Bolt,3654,2008,114053579,Disney
330,RV,3651,2006,71726025,Sony
331,The Other Guys,3651,2010,119219978,Sony
332,xXx: Return of Xander Cage,3651,2017,44898413,Paramount Pictures
333,The Polar Express,3650,2004,162775358,Warner Bros.
334,"Monsters, Inc.",3649,2001,255873250,Disney
335,I Am Legend,3648,2008,256393010,Warner Bros.
336,Baywatch,3647,2017,58060186,Paramount Pictures
337,Prince of Persia: The Sands of Time,3646,2010,90759676,Disney
338,Gemini Man,3642,2019,48546770,Paramount Pictures
339,Men in Black II,3641,2002,190418803,Sony
340,First Man,3640,2018,44936545,Universal Pictures
341,The Maze Runner,3638,2014,102427862,Twentieth Century Fox
342,Evan Almighty,3636,2007,100462298,Universal Pictures
343,The Invisible Man,3636,2020,64914050,Universal Pictures
344,Paul Blart: Mall Cop 2,3633,2015,71038190,Sony
345,Ferdinand,3630,2017,84410380,Twentieth Century Fox
346,King Kong,3627,2006,218080025,Universal Pictures
347,High School Musical 3,3626,2008,90559416,Disney
348,Sherlock Holmes,3626,2009,209028679,Warner Bros.
349,Lemony Snicket's A Series of Unfortunate Events,3623,2004,118634549,Paramount Pictures
350,The Lord of the Rings: The Two Towers,3622,2002,339789881,New Line Cinema
351,Ghost Rider,3620,2007,115802596,Sony
352,Fantastic Four,3619,2005,154696080,Twentieth Century Fox
353,Goosebumps,3618,2015,80080379,Sony
354,Rambo: Last Blood,3618,2019,44819352,Lionsgate
355,Hop,3616,2011,108085305,Universal Pictures
356,Austin Powers in Goldmember,3613,2002,213307889,New Line Cinema
357,Annabelle Comes Home,3613,2019,74152591,Warner Bros.
358,50 First Dates,3612,2004,120908074,Sony
359,Salt,3612,2010,118311368,Sony
360,Watchmen,3611,2009,107509799,Warner Bros.
361,Happy Feet Two,3611,2011,64006466,Warner Bros.
362,Smurfs: The Lost Village,3610,2017,45020282,Sony
363,Rocketman,3610,2019,96368160,Paramount Pictures
364,World War Z,3607,2013,202359711,Paramount Pictures
365,Speed Racer,3606,2008,43945766,Warner Bros.
366,The Matrix Reloaded,3603,2003,281576461,Warner Bros.
367,Fred Claus,3603,2007,72006777,Warner Bros.
368,Tangled,3603,2010,200821936,Disney
369,Terminator Salvation,3602,2009,125322469,Warner Bros.
370,Despicable Me,3602,2010,251513985,Universal Pictures
371,Christopher Robin,3602,2018,99215042,Disney
372,Total Recall,3601,2012,58877969,Sony
373,Wall Street: Money Never Sleeps,3597,2010,52474616,Twentieth Century Fox
374,Bumblebee,3597,2019,127195589,Paramount Pictures
375,Hercules,3595,2014,72688614,Paramount Pictures
376,Taken 3,3594,2015,89256424,Twentieth Century Fox
377,The House with a Clock in Its Walls,3592,2018,68549695,Universal Pictures
378,The Legend of Tarzan,3591,2016,126643061,Warner Bros.
379,Pet Sematary,3585,2019,54724696,Paramount Pictures
380,The Green Hornet,3584,2011,98780042,Sony
381,Van Helsing,3580,2004,120177084,Universal Pictures
382,Inferno,3576,2016,34343574,Sony
383,Hitch,3575,2005,179495555,Sony
384,Legend of the Guardians: The Owls of Ga'Hoole,3575,2010,55675313,Warner Bros.
385,Daddy's Home 2,3575,2017,104029443,Paramount Pictures
386,Noah,3571,2014,101200044,Paramount Pictures
387,The Lost World: Jurassic Park,3565,1997,229086679,Universal Pictures
388,Ocean's Thirteen,3565,2007,117154724,Warner Bros.
389,The Hangover Part III,3565,2013,112200072,Warner Bros.
390,Annabelle: Creation,3565,2017,102092201,Warner Bros.
391,Interstellar,3561,2014,188020017,Paramount Pictures
392,The Day the Earth Stood Still,3560,2008,79366978,Twentieth Century Fox
393,Poseidon,3555,2006,60674817,Warner Bros.
394,The Chronicles of Narnia: The Voyage of the Dawn Treader,3555,2010,104386950,Twentieth Century Fox
395,Footloose,3555,2011,51802742,Paramount Pictures
396,Mission: Impossible - Ghost Protocol,3555,2012,209397903,Paramount Pictures
397,A Good Day to Die Hard,3555,2013,67349198,Twentieth Century Fox
398,Blended,3555,2014,46294610,Warner Bros.
399,Meet the Fockers,3554,2005,279261160,Universal Pictures
400,The Mummy Returns,3553,2001,202019785,Universal Pictures
401,Monster House,3553,2006,73661010,Sony
402,The Great Gatsby,3550,2013,144840419,Warner Bros.
403,Bruce Almighty,3549,2003,242829261,Universal Pictures
404,Just Go with It,3548,2011,103028109,Sony
405,The Hangover,3545,2009,277322503,Warner Bros.
406,Wrath of the Titans,3545,2012,83670083,Warner Bros.
407,The A-Team,3544,2010,77222099,Twentieth Century Fox
408,Just Like Heaven,3543,2005,48318130,DreamWorks Distribution
409,Four Christmases,3540,2008,120146040,Warner Bros.
410,Happy Death Day,3535,2017,55683845,Universal Pictures
411,Land of the Lost,3534,2009,49438370,Universal Pictures
412,Grown Ups,3534,2010,162001186,Sony
413,Surf's Up,3531,2007,58867694,Sony
414,Planet of the Apes,3530,2001,180011740,Twentieth Century Fox
415,Captain Underpants: The First Epic Movie,3529,2017,73921000,Twentieth Century Fox
416,The Kid Who Would Be King,3528,2019,16790790,Twentieth Century Fox
417,Angels & Demons,3527,2009,133375846,Sony
418,Skyfall,3526,2012,304360277,Sony
419,Jack the Giant Slayer,3525,2013,65187603,Warner Bros.
420,Herbie Fully Loaded,3521,2005,66023816,Disney
421,The Legend of Zorro,3520,2005,46464023,Sony
422,Wonder,3519,2017,132422809,Lionsgate
423,Nim's Island,3518,2008,48006762,Twentieth Century Fox
424,Yogi Bear,3515,2010,100246011,Warner Bros.
425,Dolphin Tale,3515,2011,72286779,Warner Bros.
426,Pan,3515,2015,35088320,Warner Bros.
427,Mamma Mia! Here We Go Again,3514,2018,120634935,Universal Pictures
428,Snatched,3511,2017,45852178,Twentieth Century Fox
429,Gridiron Gang,3510,2006,38432823,Sony
430,The Incredible Hulk,3508,2008,134806913,Universal Pictures
431,Central Intelligence,3508,2016,127440871,Warner Bros.
432,Anchorman 2: The Legend Continues,3507,2013,125168368,Paramount Pictures
433,Marley & Me,3505,2009,143153751,Twentieth Century Fox
434,Robin Hood,3505,2010,105269730,Universal Pictures
435,New Year's Eve,3505,2011,54544638,Warner Bros.
436,Edge of Tomorrow,3505,2014,100206256,Warner Bros.
437,Terminator 3: Rise of the Machines,3504,2003,150371112,Warner Bros.
438,The Sorcerer's Apprentice,3504,2010,63150991,Disney
439,Exodus: Gods and Kings,3503,2014,65014513,Twentieth Century Fox
440,The Matrix Revolutions,3502,2003,139313948,Warner Bros.
441,Creed,3502,2015,109767581,Warner Bros.
442,Game Night,3502,2018,69179066,Warner Bros.
443,Spies in Disguise,3502,2019,66757013,Twentieth Century Fox
444,The Shaggy Dog,3501,2006,61123569,Disney
445,I Now Pronounce You Chuck & Larry,3501,2007,120059556,Universal Pictures
446,Quantum of Solace,3501,2008,168368427,Sony
447,Journey 2: The Mysterious Island,3500,2012,103860290,Warner Bros.
448,Alvin and the Chipmunks,3499,2007,217326974,Twentieth Century Fox
449,Stealth,3495,2005,32116746,Sony
450,The Boss,3495,2016,63285885,Universal Pictures
451,"I, Robot",3494,2004,144801023,Twentieth Century Fox
452,Grown Ups 2,3491,2013,133668525,Sony
453,A Beautiful Day in the Neighborhood,3491,2019,61704055,Sony
454,The Princess Diaries 2: Royal Engagement,3490,2004,95170481,Disney
455,300: Rise of an Empire,3490,2014,106580051,Warner Bros.
456,Charlie's Angels: Full Throttle,3485,2003,100830111,Sony
457,Daddy's Home,3483,2016,150357137,Paramount Pictures
458,Zookeeper,3482,2011,80360843,Sony
459,The Three Stooges,3482,2012,44338224,Twentieth Century Fox
460,This Is It,3481,2009,72091016,Sony
461,Passengers,3478,2016,100014699,Sony
462,The Pink Panther,3477,2006,82226474,Sony
463,The Princess and the Frog,3475,2009,104400899,Disney
464,Daredevil,3474,2003,102543518,Twentieth Century Fox
465,Kicking & Screaming,3470,2005,52842724,Universal Pictures
466,Rock of Ages,3470,2012,38518613,Warner Bros.
467,Pitch Perfect 3,3468,2017,104897530,Universal Pictures
468,Zombieland: Double Tap,3468,2019,73123082,Sony
469,The Cat in the Hat,3467,2003,101149285,Universal Pictures
470,The Scorpion King,3466,2002,91047077,Universal Pictures
